Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?EventWriteAppStateUnloaded@@YAKIIHIH_KIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIPEBGII0IIII@Z,0x1800797c5,Microsoft.Windows.Networking.XboxLive.SecureSockets,{514775E1-FA95-459F-B6D4-B86AD1C5B49E},AppStateUnloaded,5,0x400000000000,"PartA_PrivTags:UInt64, AppStateId:UInt32, ProcessId:UInt32, IsExclusivePartition:Bool32, TitleId:UInt32, PublicInstantiationApiEntryPoint:Int32, LifetimeInMilliseconds:UInt64, NumTcpAssociations:UInt32, NumTcpInboundAssociations:UInt32, NumTcpOutboundAssociations:UInt32, NumTcpEphemeralPortAssociations:UInt32, NumTcpAssociationsReused:UInt32, NumUdpAssociations:UInt32, NumUdpInboundAssociations:UInt32, NumUdpOutboundAssociations:UInt32, NumUdpEphemeralPortAssociations:UInt32, NumUdpAssociationsReused:UInt32, NumQosAssociations:UInt32, NumQosInboundAssociations:UInt32, NumQosOutboundAssociations:UInt32, NumNonQosSuccessfulMicrosoftConsoleAssociations:UInt32, NumNonQosSuccessfulXboxLiveComputeAssociations:UInt32, NumNonQosSuccessfulDedicatedServerAssociations:UInt32, NumNonQosSuccessfulWindowsDesktopAssociations:UInt32, NumNonQosFailedOutboundMicrosoftConsoleAssociations:UInt32, NumNonQosFailedInboundMicrosoftConsoleAssociations:UInt32, NumNonQosFailedOutboundXboxLiveComputeAssociations:UInt32, NumNonQosFailedInboundXboxLiveComputeAssociations:UInt32, NumNonQosFailedOutboundDedicatedServerAssociations:UInt32, NumNonQosFailedOutboundWindowsDesktopAssociations:UInt32, NumNonQosFailedInboundWindowsDesktopAssociations:UInt32, NumNonQosFailedOutboundAssociationsWithInvalidAddress:UInt32, NumQosSuccessfulMicrosoftConsoleAssociations:UInt32, NumQosSuccessfulXboxLiveComputeAssociations:UInt32, NumQosSuccessfulWindowsDesktopAssociations:UInt32, NumQosFailedOutboundMicrosoftConsoleAssociations:UInt32, NumQosFailedInboundMicrosoftConsoleAssociations:UInt32, NumQosFailedOutboundXboxLiveComputeAssociations:UInt32, NumQosFailedInboundXboxLiveComputeAssociations:UInt32, NumQosFailedOutboundWindowsDesktopAssociations:UInt32, NumQosFailedInboundWindowsDesktopAssociations:UInt32, NumQosFailedOutboundAssociationsWithInvalidAddress:UInt32, AppContainerSidOrServiceName:UnicodeString, NumTelemeteredLocalAddressChanges:UInt32, NumUntelemeteredLocalAddressChanges:UInt32, TimeSinceLastLocalAddressChangeEventInMilliseconds:UInt64, NumLocalIpv4AddressChanges:UInt32, NumLocalTeredoAddressChanges:UInt32, NumLocalIpv6AddressChanges:UInt32, NumLocalTeredoNatTypeAddressChanges:UInt32",SingleProvider
?EventWriteCertOperationCompleted@@YAK_KHHIIIIHPEBU_FILETIME@@1IIIIPEBEPEBG33333@Z,0x180079a38,Microsoft.Windows.Networking.XboxLive.SecureSockets,{514775E1-FA95-459F-B6D4-B86AD1C5B49E},CertOperationCompleted,5,0x400000000000,"PartA_PrivTags:UInt64, IpsecSecurityRealmId:UInt64, RelyingPartyType:Int32, CertOperationType:Int32, CertDataSize:UInt32, ResultCode:UInt32, DurationMs:UInt32, NumCertificatesRemoved:UInt32, CertificateAlreadyExisted:Bool32, NotBeforeTime:FileTime, NotAfterTime:FileTime, PublicKeyAlgorithmParametersSize:UInt32, PublicKeySizeInBits:UInt32, SignatureAlgorithmParametersSize:UInt32, Sha1Hash:Binary, RelyingParty:UnicodeString, SubjectRelativeDistinguishedName:UnicodeString, IssuerRelativeDistinguishedName:UnicodeString, PublicKeyAlgorithmOid:UnicodeString, SignatureAlgorithmOid:UnicodeString, EnhancedKeyUsages:UnicodeString",SingleProvider
?EventWriteCoreTeredoStateCurrent@@YAKI_KIIHH00I00I00I00I00I00I0I0I0I0IIIIIIIIIHHGG0IIIIPEBG1@Z,0x180079e05,Microsoft.Windows.Networking.XboxLive.SecureSockets,{514775E1-FA95-459F-B6D4-B86AD1C5B49E},CoreTeredoStateCurrent,5,0x400000000000,"PartA_PrivTags:UInt64, ReportId:UInt32, TimeSinceLast:UInt64, UpdateFlags:UInt32, CoreStateTelemetryFlags:UInt32, TeredoState:Int32, LastTeredoState:Int32, DurationInState:UInt64, MostRecentDurationOutOfState:UInt64, TimesEnteredOrLeftCurrentState:UInt32, MostRecentDurationReady:UInt64, MostRecentDurationNotReady:UInt64, TimesReadinessChanged:UInt32, MostRecentDurationRegistered:UInt64, MostRecentDurationNotRegistered:UInt64, TimesRegistrationChanged:UInt32, MostRecentDurationReadyWhileRegistered:UInt64, MostRecentDurationNotReadyRegistered:UInt64, TimesReadyWithRegistrationChanged:UInt32, MostRecentDurationWithTeredoAddress:UInt64, MostRecentDurationWithoutTeredoAddress:UInt64, TimesWithTeredoAddressChanged:UInt32, MostRecentDurationLowPower:UInt64, MostRecentDurationHighPower:UInt64, TimesPowerChanged:UInt32, MostRecentDurationOffline:UInt64, TimesEnteredOrLeftOffline:UInt32, MostRecentDurationTransitioning:UInt64, TimesTransitionStateChanged:UInt32, MostRecentDurationQualified:UInt64, TimesEnteredOrLeftQualified:UInt32, MostRecentDurationDormant:UInt64, TimesEnteredOrLeftDormant:UInt32, DifferentLocalTeredoAddresses:UInt32, DifferentTeredoServerAddresses:UInt32, DifferentTeredoAddressFlags:UInt32, DifferentTeredoPublicAddressAndPorts:UInt32, DifferentTeredoPublicAddresses:UInt32, DifferentPrimaryTeredoPortNumbers:UInt32, TimesBecameReadyWithConnections:UInt32, TimesBecameUnreadyWithConnections:UInt32, TeredoNatType:Int32, LastTeredoNatType:Int32, PrimaryTeredoPortNumber:UInt16, LastValidPrimaryTeredoPortNumber:UInt16, UnderlyingInterfaceLuid:UInt64, UnderlyingInterfaceIndex:UInt32, UnderlyingInterfaceType:UInt32, NumActiveSecureConnections:UInt32, NumTeredoOffloadedPeers:UInt32, TeredoAddress:UnicodeString, LastValidTeredoAddress:UnicodeString",SingleProvider
?EventWriteCoreTeredoStateTotal@@YAKI_KIIHH00I00I00I00I00I00I0I0I0I0IIIIIIIIIHHGG0IIIIPEBG1@Z,0x18007a299,Microsoft.Windows.Networking.XboxLive.SecureSockets,{514775E1-FA95-459F-B6D4-B86AD1C5B49E},CoreTeredoStateTotal,5,0x400000000000,"PartA_PrivTags:UInt64, ReportId:UInt32, TimeSinceLast:UInt64, UpdateFlags:UInt32, CoreStateTelemetryFlags:UInt32, TeredoState:Int32, LastTeredoState:Int32, DurationInSameState:UInt64, DurationInOtherStates:UInt64, TimesEnteredOrLeftCurrentState:UInt32, ReadyTime:UInt64, NotReadyTime:UInt64, TimesReadinessChanged:UInt32, RegisteredTime:UInt64, NotRegisteredTime:UInt64, TimesRegistrationChanged:UInt32, ReadyWhileRegisteredTime:UInt64, NotReadyRegisteredTime:UInt64, TimesReadyWithRegistrationChanged:UInt32, DurationWithTeredoAddress:UInt64, DurationWithoutTeredoAddress:UInt64, TimesWithTeredoAddressChanged:UInt32, LowPowerTime:UInt64, HighPowerTime:UInt64, TimesPowerChanged:UInt32, DurationOffline:UInt64, TimesEnteredOrLeftOffline:UInt32, DurationTransitioning:UInt64, TimesTransitionStateChanged:UInt32, DurationQualified:UInt64, TimesEnteredOrLeftQualified:UInt32, DurationDormant:UInt64, TimesEnteredOrLeftDormant:UInt32, DifferentLocalTeredoAddresses:UInt32, DifferentTeredoServerAddresses:UInt32, DifferentTeredoAddressFlags:UInt32, DifferentTeredoPublicAddressAndPorts:UInt32, DifferentTeredoPublicAddresses:UInt32, DifferentPrimaryTeredoPortNumbers:UInt32, TimesBecameReadyWithConnections:UInt32, TimesBecameUnreadyWithConnections:UInt32, TeredoNatType:Int32, LastTeredoNatType:Int32, PrimaryTeredoPortNumber:UInt16, LastValidPrimaryTeredoPortNumber:UInt16, UnderlyingInterfaceLuid:UInt64, UnderlyingInterfaceIndex:UInt32, UnderlyingInterfaceType:UInt32, NumActiveSecureConnections:UInt32, NumTeredoOffloadedPeers:UInt32, TeredoAddress:UnicodeString, LastValidTeredoAddress:UnicodeString",SingleProvider
?EventWriteDefaultQosEndpointDiscoveryCompleted@@YAKIIHIIIIHHHGIIIPEBG0000@Z,0x18007a4c6,Microsoft.Windows.Networking.XboxLive.SecureSockets,{514775E1-FA95-459F-B6D4-B86AD1C5B49E},DefaultQosEndpointDiscoveryCompleted,5,0x400000000000,"PartA_PrivTags:UInt64, AppStateId:UInt32, ProcessId:UInt32, IsExclusivePartition:Bool32, TitleId:UInt32, ResultCode:UInt32, TokenLength:UInt32, TotalDurationMs:UInt32, XblAuthManagerCreateDurationMs:Int32, GetTokenAndSignatureDurationMs:Int32, HttpRequestDurationMs:Int32, DiscoveryServiceRemotePort:UInt16, ResponseStatusCode:UInt32, ResponseLength:UInt32, NumRegions:UInt32, AppContainerSidOrServiceName:UnicodeString, PreferredRegion:UnicodeString, SelectedRegion:UnicodeString, DiscoveryServiceRemoteAddress:UnicodeString, QosEndpointHostname:UnicodeString",SingleProvider
?EventWriteDefaultQosEndpointXboxLiveDeviceAddressRetrievalCompleted@@YAKIIHIIIHGIIPEBG0000@Z,0x18007a662,Microsoft.Windows.Networking.XboxLive.SecureSockets,{514775E1-FA95-459F-B6D4-B86AD1C5B49E},DefaultQosEndpointXboxLiveDeviceAddressRetrievalCompleted,5,0x400000000000,"PartA_PrivTags:UInt64, AppStateId:UInt32, ProcessId:UInt32, IsExclusivePartition:Bool32, TitleId:UInt32, ResultCode:UInt32, TotalDurationMs:UInt32, HttpRequestDurationMs:Int32, RemotePort:UInt16, ResponseStatusCode:UInt32, ResponseLength:UInt32, AppContainerSidOrServiceName:UnicodeString, SelectedRegion:UnicodeString, QosEndpointHostname:UnicodeString, RemoteAddress:UnicodeString, XboxLiveDeviceAddress:UnicodeString",SingleProvider
?EventWriteEncounteredDifferentPlatformAppVersion@@YAKIIHIPEBGEEIPEBU_GUID@@111_KIIIGGEI11112PEBDE320G2HH@Z,0x18007a95a,Microsoft.Windows.Networking.XboxLive.SecureSockets,{514775E1-FA95-459F-B6D4-B86AD1C5B49E},EncounteredDifferentPlatformAppVersion,5,0x400000000000,"PartA_PrivTags:UInt64, AppStateId:UInt32, ProcessId:UInt32, IsExclusivePartition:Bool32, TitleId:UInt32, AppContainerSidOrServiceName:UnicodeString, LocalProtocolMinorVersion:UInt8, EncounteredPlatformType:UInt8, NewPlatformVersionNumber:UInt32, LocalPrimaryScid:GUID, LocalProductId:GUID, LocalContentId:GUID, LocalBuildId:GUID, LocalBuildVersion:UInt64, EncounteredPlatformVersionMajor:UInt32, EncounteredPlatformVersionMinor:UInt32, EncounteredPlatformVersionBuild:UInt32, EncounteredPlatformVersionServicePackMajor:UInt16, EncounteredPlatformVersionServicePackMinor:UInt16, EncounteredProtocolMinorVersion:UInt8, EncounteredTitleId:UInt32, EncounteredPrimaryScid:GUID, EncounteredProductId:GUID, EncounteredContentId:GUID, EncounteredBuildId:GUID, EncounteredBuildVersion:UInt64, EncounteredSandboxId:AnsiString, EncounteredAppSidInfoType:UInt8, EncounteredAppSidString:AnsiString, FirstRemoteSecureDeviceId:UInt64, FirstRemoteAddressString:UnicodeString, FirstRemoteManagerPort:UInt16, FirstSecureDeviceAssociationId:UInt64, IsFirstAssociationForQos:Bool32, IsFirstAssociationAccepted:Bool32",SingleProvider
?EventWriteLocalAddressSnapshotChanged@@YAKIIHIII_KIIIIIIIIIIIIIIIIIIIIIIEHEHHPEBGII@Z,0x18007ac31,Microsoft.Windows.Networking.XboxLive.SecureSockets,{514775E1-FA95-459F-B6D4-B86AD1C5B49E},LocalAddressSnapshotChanged,5,0x400000000000,"PartA_PrivTags:UInt64, AppStateId:UInt32, ProcessId:UInt32, IsExclusivePartition:Bool32, TitleId:UInt32, EventNum:UInt32, NumSkipped:UInt32, TimeSinceLastInMilliseconds:UInt64, NumSteadyStates:UInt32, NumRegisters:UInt32, NumResumes:UInt32, NumIpv4Adds:UInt32, NumIpv4Removes:UInt32, NumTeredoAdds:UInt32, NumTeredoRemoves:UInt32, NumIpv6Adds:UInt32, NumIpv6Removes:UInt32, NumTeredoNatTypeChanges:UInt32, NumTeredoAddressChanges:UInt32, NumTeredoUnderlyingIpv4AddressChanges:UInt32, AddressCountIpv4Loopback:UInt32, AddressCountIpv4LinkLocal:UInt32, AddressCountIpv4Private:UInt32, AddressCountIpv4Global:UInt32, AddressCountIpv6Loopback:UInt32, AddressCountIpv6LinkLocalTemporary:UInt32, AddressCountIpv6LinkLocalPermanent:UInt32, AddressCountIpv6Teredo:UInt32, AddressCountIpv6GlobalTemporary:UInt32, AddressCountIpv6GlobalPermanent:UInt32, TeredoState:UInt8, TeredoInSteadyState:Bool32, TeredoNatType:UInt8, TeredoPortPreservingNat:Bool32, TeredoUpnpNat:Bool32, AppContainerSidOrServiceName:UnicodeString, AddressCountIpv6NonGlobalTemporary:UInt32, AddressCountIpv6NonGlobalPermanent:UInt32",SingleProvider
?EventWriteManagerProcessingReady@@YAKHIIHHHHPEBG@Z,0x18007addb,Microsoft.Windows.Networking.XboxLive.SecureSockets,{514775E1-FA95-459F-B6D4-B86AD1C5B49E},ManagerProcessingReady,5,0x400000000000,"PartA_PrivTags:UInt64, InstantiationApiEntryPoint:Int32, StartupTimeInMilliseconds:UInt32, NumFirewallProducts:UInt32, FirewallCategoryBootOwned:Bool32, FirewallCategoryStealthOwned:Bool32, FirewallCategoryFirewallOwned:Bool32, FirewallCategoryConSecOwned:Bool32, FirstFirewallProductDisplayName:UnicodeString",SingleProvider
?EventWriteManagerProcessingStopped@@YAKI_KII0@Z,0x18007ae9d,Microsoft.Windows.Networking.XboxLive.SecureSockets,{514775E1-FA95-459F-B6D4-B86AD1C5B49E},ManagerProcessingStopped,5,0x400000000000,"PartA_PrivTags:UInt64, StartupResultCode:UInt32, LocalDeviceId:UInt64, NumAppStates:UInt32, CleanupTimeInMilliseconds:UInt32, LifetimeInMilliseconds:UInt64",SingleProvider
