Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?CreateKey@CertificatePrivateKeyHelper@@SAJ_KPEBG1AEBUPrivateKeyUIPolicy@1@K_NAEA_K@Z,0x1800826b4,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},CertificatePrivateKeyHelper::CreateKey_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?CreateKey@CertificatePrivateKeyHelper@@SAJ_KPEBG1AEBUPrivateKeyUIPolicy@1@K_NAEA_K@Z,0x18008298a,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},CertificatePrivateKeyHelper::CreateKey_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, hr:Int32, providerName:UnicodeString",Direct-Preceding
?DeviceP2PCertificateUpdate@@YAJPEAVAadContextFunctions@@PEAXAEAVDiagnosticContext@@PEAH@Z,0x18002a56a,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DeviceP2PCertificateUpdate_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DeviceP2PCertificateUpdate@@YAJPEAVAadContextFunctions@@PEAXAEAVDiagnosticContext@@PEAH@Z,0x18002a7ab,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DeviceP2PCertificateUpdate_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
?DoAcceptPeerCertificate@@YAJPEAVAadContextFunctions@@PEAXHPEBU_CERT_CONTEXT@@PEAPEAU_APPLUGIN_USER_INFO@@@Z,0x18000d4b8,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoAcceptPeerCertificate_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DoAcceptPeerCertificate@@YAJPEAVAadContextFunctions@@PEAXHPEBU_CERT_CONTEXT@@PEAPEAU_APPLUGIN_USER_INFO@@@Z,0x18000d78f,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoAcceptPeerCertificate_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
?DoAssembleOpaqueData@@YAJPEAVAadContextFunctions@@PEAU_AP_BLOB@@11@Z,0x18000d8eb,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoAssembleOpaqueData_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DoAssembleOpaqueData@@YAJPEAVAadContextFunctions@@PEAU_AP_BLOB@@11@Z,0x18000dad5,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoAssembleOpaqueData_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
?DoDisassembleOpaqueData@@YAJPEAVAadContextFunctions@@PEAU_AP_BLOB@@11@Z,0x18000dc1a,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoDisassembleOpaqueData_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DoDisassembleOpaqueData@@YAJPEAVAadContextFunctions@@PEAU_AP_BLOB@@11@Z,0x18000de16,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoDisassembleOpaqueData_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
?DoGenericCallPkg@@YAJPEAVAadContextFunctions@@PEAX1PEAU_AP_BLOB@@22@Z,0x18000e367,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGenericCallPkg_Info,4,0x400000000000,"PartA_PrivTags:UInt64, correlationID:UnicodeString, genericCallPackageCallType:UInt32, callingPackageSID:UnicodeString, tokenBindingCacheStats:UnicodeString, ssoCacheStats:UnicodeString",Direct-Preceding
?DoGenericCallPkg@@YAJPEAVAadContextFunctions@@PEAX1PEAU_AP_BLOB@@22@Z,0x18000df56,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGenericCallPkg_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DoGenericCallPkg@@YAJPEAVAadContextFunctions@@PEAX1PEAU_AP_BLOB@@22@Z,0x18000e604,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGenericCallPkg_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
?DoGetCertificateFromCred@@YAJPEAVAadContextFunctions@@PEAXPEAU_LUID@@PEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAPEAX@Z,0x18000e9b3,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetCertificateFromCred_Info,4,0x400000000000,"PartA_PrivTags:UInt64, correlationID:UnicodeString, credentialType:UInt32, joinState:UInt32",Direct-Preceding
?DoGetCertificateFromCred@@YAJPEAVAadContextFunctions@@PEAXPEAU_LUID@@PEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAPEAX@Z,0x18000e7b8,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetCertificateFromCred_Start,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?DoGetCertificateFromCred@@YAJPEAVAadContextFunctions@@PEAXPEAU_LUID@@PEAU_DECRYPTED_AUTH_DATA@@AEAVDiagnosticContext@@PEAPEAX@Z,0x18000ecba,Microsoft.AAD.CloudAp.Provider,{74D91EC4-4680-40D2-A213-45E2D2B95F50},DoGetCertificateFromCred_Stop,5,0x400000000000,"PartA_PrivTags:UInt64, status:Int32",Direct-Preceding
