Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?AddRemoveGame@TraceHelper@Internal@Capture@Media@Windows@@SAXPEAVTraceHelperCorrelationVector@@IPEBG11111I@Z,0x18005979c,Microsoft.Windows.BcastDVR,{B2235AF2-251A-4D6E-BEB0-DB27BD29EB45},AddRemoveGame,5,0x400000000000,"__TlgCV__:AnsiString, changeType:UInt32, appId:UnicodeString, processName:UnicodeString, processPath:UnicodeString, processWorkingDirectory:UnicodeString, errorCode:UInt32",Direct-Preceding
?Initialize@SystemManager@Internal@Capture@Media@Windows@@IEAAJXZ,0x18001cda4,Microsoft.Windows.BcastDVR,{B2235AF2-251A-4D6E-BEB0-DB27BD29EB45},BcastDVR_SystemManager_Start,5,0x0,version:UnicodeString,Direct-Nearest
?Uninitialize@SystemManager@Internal@Capture@Media@Windows@@IEAAXXZ,0x18001e6da,Microsoft.Windows.BcastDVR,{B2235AF2-251A-4D6E-BEB0-DB27BD29EB45},BcastDVR_SystemManager_Stop,5,0x0,(none),Direct-Nearest
?Broadcast@TraceHelper@Internal@Capture@Media@Windows@@SAXPEAVTraceHelperCorrelationVector@@PEBVBroadcastCaptureInfo@2345@_NII@Z,0x180059b40,Microsoft.Windows.BcastDVR,{B2235AF2-251A-4D6E-BEB0-DB27BD29EB45},Broadcast,5,0x400000000000,"__TlgCV__:AnsiString, audioBitrate:UInt32, videoBitrate:UInt32, videoWidth:UInt32, videoHeight:UInt32, appType:UInt32, appId:UnicodeString, gameDvrGuid:UnicodeString, videoMode:UInt32, lengthBroadcastSeconds:UInt32, windowWidth:UInt32, windowHeight:UInt32, gpuDetails:UnicodeString, cpuDetails:UnicodeString, memoryDetails:UnicodeString, encodersDetails:UnicodeString, encoderUsed:UnicodeString, gpuUsed:UnicodeString, audioCaptured:UInt8(Boolean), micCaptured:UInt8(Boolean), echoCancellation:UInt8(Boolean), cameraCaptured:UInt8(Boolean), cameraPositionX:Int32, cameraPositionY:Int32, cameraVideoWidth:UInt32, cameraVideoHeight:UInt32, cameraHardwareUsed:UnicodeString, microphoneHardwareUsed:UnicodeString, microphoneGain:Double, systemAudioGain:Double, broadcastProviderId:UnicodeString, broadcastStarted:UInt8(Boolean), broadcastExitErrorCode:UInt32, applicationLoopbackUsed:UInt8(Boolean), sourceColor:UnicodeString, encodingColor:UnicodeString, dolbySilence:UInt8(Boolean), beamSessionId:UnicodeString, broadcastProviderExitErrorCode:UInt32",Direct-Preceding
?EncodingEnd@TraceHelper@Internal@Capture@Media@Windows@@SAXPEAVTraceHelperCorrelationVector@@NPEBG1111111IIIII11I@Z,0x180059e4c,Microsoft.Windows.BcastDVR,{B2235AF2-251A-4D6E-BEB0-DB27BD29EB45},EncodingEnd,5,0x400000000000,"__TlgCV__:AnsiString, duration:Double, appId:UnicodeString, gpuDetails:UnicodeString, cpuDetails:UnicodeString, memoryDetails:UnicodeString, encodersDetails:UnicodeString, encoderUsed:UnicodeString, gpuUsed:UnicodeString, historicalCaptureEnabled:UInt32, videoBitrate:UInt32, videoBufferSize:UInt32, bcastDVRMode:UInt32, userDesiredFPS:UInt32, sourceColor:UnicodeString, encodingColor:UnicodeString, encodingFormatUsed:UInt32",Direct-Preceding
?Error@TraceHelper@Internal@Capture@Media@Windows@@SAXPEAVTraceHelperCorrelationVector@@W4AppCaptureTraceErrorId@@IPEBG222222222@Z,0x18005a4f8,Microsoft.Windows.BcastDVR,{B2235AF2-251A-4D6E-BEB0-DB27BD29EB45},Error,5,0x400000000000,"__TlgCV__:AnsiString, errorID:UInt32, errorCode:UInt32, errorName:UnicodeString, appId:UnicodeString, gameDvrGuid:UnicodeString, gpuDetails:UnicodeString, cpuDetails:UnicodeString, memoryDetails:UnicodeString, encodersDetails:UnicodeString, encoderUsed:UnicodeString, gpuUsed:UnicodeString, errorHistory:UnicodeString, errorCount:UInt32, consecErrorCount:UInt32, broadcastProviderId:UnicodeString, bcastDVRMode:UInt32",Direct-Preceding
?PublicAPICalled@TraceHelper@Internal@Capture@Media@Windows@@SAXPEBG0W4PublicAPICalledId@@0I@Z,0x18005a889,Microsoft.Windows.BcastDVR,{B2235AF2-251A-4D6E-BEB0-DB27BD29EB45},PublicAPICalled,5,0x400000000000,"callerAppId:UnicodeString, gameDvrGuid:UnicodeString, ApiCalled:AnsiString, Parameters:UnicodeString, ReturnCode:UInt32, DroppedEvents:UInt32",Direct-Preceding
?Record@TraceHelper@Internal@Capture@Media@Windows@@SAXPEAVTraceHelperCorrelationVector@@PEBVRecordCaptureInfo@2345@@Z,0x18005ac1f,Microsoft.Windows.BcastDVR,{B2235AF2-251A-4D6E-BEB0-DB27BD29EB45},Record,5,0x400000000000,"__TlgCV__:AnsiString, recordingType:UInt32, audioBitrate:UInt32, videoBitrate:UInt32, videoWidth:UInt32, videoHeight:UInt32, appType:UInt32, appId:UnicodeString, gameDvrGuid:UnicodeString, videoMode:UInt32, lengthActualMS:UInt32, lengthIntendedMS:UInt32, fileSizeKB:Double, windowWidth:UInt32, windowHeight:UInt32, writeDurationMS:Double, gpuDetails:UnicodeString, cpuDetails:UnicodeString, memoryDetails:UnicodeString, encodersDetails:UnicodeString, encoderUsed:UnicodeString, gpuUsed:UnicodeString, audioCaptured:UInt32, micCaptured:UInt32, echoCancellation:UInt32, microphoneHardwareUsed:UnicodeString, microphoneGain:Double, systemAudioGain:Double, userDesiredFPS:UInt32, actualFPS:Double, applicationLoopbackUsed:UInt8(Boolean), sourceColor:UnicodeString, encodingColor:UnicodeString, DolbySilence:UInt8(Boolean), encodingFormatUsed:UInt32",Direct-Preceding
?ScreenShot@TraceHelper@Internal@Capture@Media@Windows@@SAXPEBUCaptureTargetInfo@2345@IIINPEBG1@Z,0x18005afff,Microsoft.Windows.BcastDVR,{B2235AF2-251A-4D6E-BEB0-DB27BD29EB45},Screenshot,5,0x400000000000,"appType:UInt32, appId:UnicodeString, gameDvrGuid:UnicodeString, videoMode:UInt32, width:UInt32, height:UInt32, fileSizeKB:Double, sourceColor:UnicodeString, encodingColor:UnicodeString",Direct-Preceding
?AVMux_AttributeMicrophoneUsage@DesktopLogProvider@@SAXJI@Z,0x1800ac424,Microsoft.Windows.Media.Capture,{AB74FBE2-37EF-48C4-B9BA-91AE7804A0B7},BcastDVR_AVMux_AttributeMicrophoneUsage,5,0x0,"hr:Int32(HResult), targetProcessId:UInt32",CallGraph-d1
