Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
BfsAccessRegistryKeyAsUserCallback,0x14000e26c,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),Direct-Preceding
BfsAddPolicyToGlobalFileTable,0x14000bb64,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),Direct-Preceding
BfsAddPolicyToGlobalFileTable,0x14000bbd1,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),Direct-Preceding
BfsAdjustRegistryKeySecurity,0x14000e37b,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),Direct-Preceding
BfsAdjustRegistryKeySecurity,0x14000e409,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),Direct-Preceding
BfsAdjustRegistryKeySecurity,0x14000e54c,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),Direct-Preceding
BfsAllocateAndConcatenatePath,0x14000504e,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),Direct-Preceding
BfsApplyPolicyAsUser,0x140005298,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),Direct-Preceding
BfsBuildPathFromComponents,0x1400054d5,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),Direct-Preceding
BfsCalculateRegistryPrefix,0x14000e67b,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),Direct-Preceding
BfsCalculateRegistryPrefix,0x14000e746,Microsoft.Windows.BrokeringFileSystem,{D5A97A72-C8F9-5A9C-431D-CD07E82A85D1},BfsStatusLogging,3,0x0,Status:UInt32(NTStatus),Direct-Preceding
