Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VRemoteSessionTraceProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180047305,Microsoft.Windows.CDP.Session,{30AD9F59-EC19-54B2-4BDF-76DBFC7404A6},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VRemoteSessionTraceProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18004744d,Microsoft.Windows.CDP.Session,{30AD9F59-EC19-54B2-4BDF-76DBFC7404A6},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VRemoteSessionTraceProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18004bbf1,Microsoft.Windows.CDP.Session,{30AD9F59-EC19-54B2-4BDF-76DBFC7404A6},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?LogError_@RemoteSessionTraceProvider@@QEAAXPEBGZZ,0x180032516,Microsoft.Windows.CDP.Session,{30AD9F59-EC19-54B2-4BDF-76DBFC7404A6},LogError,2,0x0,loggingMessage:UnicodeString,CallGraph-d2
?LogInfo_@RemoteSessionTraceProvider@@QEAAXPEBGZZ,0x180005575,Microsoft.Windows.CDP.Session,{30AD9F59-EC19-54B2-4BDF-76DBFC7404A6},LogInfo,4,0x0,loggingMessage:UnicodeString,CallGraph-d1
?LogInfo_@RemoteSessionTraceProvider@@QEAAXPEBGZZ,0x1800055af,Microsoft.Windows.CDP.Session,{30AD9F59-EC19-54B2-4BDF-76DBFC7404A6},LogInfo,4,0x0,loggingMessage:UnicodeString,CallGraph-d1
?LogVerbose_@RemoteSessionTraceProvider@@QEAAXPEBGZZ,0x180047226,Microsoft.Windows.CDP.Session,{30AD9F59-EC19-54B2-4BDF-76DBFC7404A6},LogVerbose,5,0x0,loggingMessage:UnicodeString,CallGraph-d2
?LogWarning_@RemoteSessionTraceProvider@@QEAAXPEBGZZ,0x180052076,Microsoft.Windows.CDP.Session,{30AD9F59-EC19-54B2-4BDF-76DBFC7404A6},LogWarning,3,0x0,loggingMessage:UnicodeString,CallGraph-d2
?StartActivity@SessionAcceptParticipant@RemoteSessionTraceProvider@@QEAAXU_GUID@@0@Z,0x18004b206,Microsoft.Windows.CDP.Session,{30AD9F59-EC19-54B2-4BDF-76DBFC7404A6},SessionAcceptParticipant,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, SessionId:GUID, ParticipantId:GUID",CallGraph-d2
?StopActivity@SessionAcceptParticipant@RemoteSessionTraceProvider@@MEAAXXZ,0x18004bcc2,Microsoft.Windows.CDP.Session,{30AD9F59-EC19-54B2-4BDF-76DBFC7404A6},SessionAcceptParticipant,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
