Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?LogTelemetry@ColorTransformAggregateValues@@UEAAXXZ,0x1802a800e,Microsoft.Windows.Graphics.Direct2D,{7067398C-BAE7-4191-BF16-C436DE658BAF},ColorTransformAggregate,5,0x200000000000,"version:UInt32, elapsedTimeInMs:UInt64, colorSpaceOverflowCount:UInt32, colorSpaceTransformOverflowCount:UInt32, sourceDxgiColorSpaces:UInt32[], sourceDxgiColorSpacesCount:UInt32[], destDxgiColorSpaces:UInt32[], destDxgiColorSpacesCount:UInt32[], transforms:UInt64[], transformsCount:UInt32[], colorContextTypes:UInt32[], colorContextTypesCount:UInt32[], PartA_PrivTags:UInt64",SingleProvider
?LogTelemetry@CreateEffectAggregateValues@@UEAAXXZ,0x1801b35cc,Microsoft.Windows.Graphics.Direct2D,{7067398C-BAE7-4191-BF16-C436DE658BAF},CreateEffectAggregate,5,0x200000000000,"version:UInt32, elapsedTimeInMs:UInt64, telemetryOverflowCount:UInt32, effectCLSIDs:GUID[], successCounts:UInt32[], failCounts:UInt32[], PartA_PrivTags:UInt64",SingleProvider
?AddToCache@CShaderLinkingGraph@@IEAAJAEBVCLinkedShaderSignature@@PEAUID3D10Blob@@PEAPEAVCPixelShader@@@Z,0x180135b10,Microsoft.Windows.Graphics.Direct2D,{7067398C-BAE7-4191-BF16-C436DE658BAF},LinkedShaderAddedToCache,5,0x200000000000,"shaderBlobSize:UInt32, inputCount:UInt32, instructionCount:UInt32, complexity:Float, PartA_PrivTags:UInt64",SingleProvider
??0EventClass_Bitmap_CopyFromBitmap@@QEAA@PEAVTraceLogPolicy@@PEBUID2D1Bitmap@@PEBUD2D_POINT_2U@@1PEBUD2D_RECT_U@@@Z,0x1802f7785,Microsoft.Windows.Graphics.Direct2D,{7067398C-BAE7-4191-BF16-C436DE658BAF},MethodSampled,5,0x200000000000,"interfaceName:AnsiString, methodName:AnsiString, eventVersion:Int32, pParentObject:HexInt64, destPointOpParamSpecified:Int32, destPointX:UInt32, destPointY:UInt32, bitmap:HexInt64, srcRectOpParamSpecified:Int32, srcRectLeft:UInt32, srcRectTop:UInt32, srcRectRight:UInt32, srcRectBottom:UInt32, PartA_PrivTags:UInt64",SingleProvider
??0EventClass_Bitmap_CopyFromMemory@@QEAA@PEAVTraceLogPolicy@@PEBUID2D1Bitmap@@PEBUD2D_RECT_U@@PEBXI@Z,0x18030b55f,Microsoft.Windows.Graphics.Direct2D,{7067398C-BAE7-4191-BF16-C436DE658BAF},MethodSampled,5,0x200000000000,"interfaceName:AnsiString, methodName:AnsiString, eventVersion:Int32, pParentObject:HexInt64, dstRectOpParamSpecified:Int32, dstRectLeft:UInt32, dstRectTop:UInt32, dstRectRight:UInt32, dstRectBottom:UInt32, srcData:HexInt64, pitch:UInt32, PartA_PrivTags:UInt64",SingleProvider
??0EventClass_Bitmap_CopyFromRenderTarget@@QEAA@PEAVTraceLogPolicy@@PEBUID2D1Bitmap@@PEBUD2D_POINT_2U@@PEBUID2D1RenderTarget@@PEBUD2D_RECT_U@@@Z,0x1801b674c,Microsoft.Windows.Graphics.Direct2D,{7067398C-BAE7-4191-BF16-C436DE658BAF},MethodSampled,5,0x200000000000,"interfaceName:AnsiString, methodName:AnsiString, eventVersion:Int32, pParentObject:HexInt64, destPointOpParamSpecified:Int32, destPointX:UInt32, destPointY:UInt32, renderTarget:HexInt64, srcRectOpParamSpecified:Int32, srcRectLeft:UInt32, srcRectTop:UInt32, srcRectRight:UInt32, srcRectBottom:UInt32, PartA_PrivTags:UInt64",SingleProvider
??0EventClass_DCRenderTarget_BindDC@@QEAA@PEAVTraceLogPolicy@@PEBUID2D1DCRenderTarget@@PEAUHDC__@@PEBUtagRECT@@@Z,0x1802f67fd,Microsoft.Windows.Graphics.Direct2D,{7067398C-BAE7-4191-BF16-C436DE658BAF},MethodSampled,5,0x200000000000,"interfaceName:AnsiString, methodName:AnsiString, eventVersion:Int32, pParentObject:HexInt64, hDC:UInt32, pSubRectLeft:UInt32, pSubRectTop:UInt32, pSubRectRight:UInt32, pSubRectBottom:UInt32, PartA_PrivTags:UInt64",SingleProvider
??0EventClass_Device1_CreateDeviceContext@@QEAA@PEAVTraceLogPolicy@@PEBUID2D1Device1@@W4D2D1_DEVICE_CONTEXT_OPTIONS@@PEAPEAUID2D1DeviceContext1@@@Z,0x1801ab134,Microsoft.Windows.Graphics.Direct2D,{7067398C-BAE7-4191-BF16-C436DE658BAF},MethodSampled,5,0x200000000000,"interfaceName:AnsiString, methodName:AnsiString, eventVersion:Int32, pParentObject:HexInt64, options:UInt32, ppdeviceContext1:HexInt64, PartA_PrivTags:UInt64",SingleProvider
??0EventClass_Device2_CreateDeviceContext@@QEAA@PEAVTraceLogPolicy@@PEBUID2D1Device2@@W4D2D1_DEVICE_CONTEXT_OPTIONS@@PEAPEAUID2D1DeviceContext2@@@Z,0x1801de610,Microsoft.Windows.Graphics.Direct2D,{7067398C-BAE7-4191-BF16-C436DE658BAF},MethodSampled,5,0x200000000000,"interfaceName:AnsiString, methodName:AnsiString, eventVersion:Int32, pParentObject:HexInt64, options:UInt32, ppdeviceContext2:HexInt64, PartA_PrivTags:UInt64",SingleProvider
??0EventClass_Device3_CreateDeviceContext@@QEAA@PEAVTraceLogPolicy@@PEBUID2D1Device3@@W4D2D1_DEVICE_CONTEXT_OPTIONS@@PEAPEAUID2D1DeviceContext3@@@Z,0x1801de71c,Microsoft.Windows.Graphics.Direct2D,{7067398C-BAE7-4191-BF16-C436DE658BAF},MethodSampled,5,0x200000000000,"interfaceName:AnsiString, methodName:AnsiString, eventVersion:Int32, pParentObject:HexInt64, options:UInt32, ppdeviceContext3:HexInt64, PartA_PrivTags:UInt64",SingleProvider
