Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
DampFreezeWorkerThread,0x1400136a1,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},DampFreezeWorkerThread,4,0x1,(none),Direct-Preceding
DampFreezeWorkerThread,0x14001378a,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},DampFreezeWorkerThread,4,0x1,Status:UInt32(NTStatus),Direct-Preceding
DampIoDispatch,0x140011333,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},DampIoDispatch,4,0x1,IrpSp->MajorFunction:UInt8,Direct-Preceding
DampIoDispatch,0x1400118af,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},DampIoDispatch,4,0x1,Status:UInt32(NTStatus),Direct-Preceding
DampExemptCheckCallbackRoutine,0x140012b3a,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},ExemptCheckCallbackRoutine,4,0x1,SessionId:UInt32,Direct-Preceding
DampExemptCheckCallbackRoutine,0x140012d17,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},ExemptCheckCallbackRoutine,4,0x1,"SessionId:UInt32, Status:UInt32(NTStatus), ClientOwnership:UInt8, DamGroupIndex:UInt32",Direct-Preceding
DampSession0JobFreeze,0x140014c68,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},FreezeSession0Job,4,0x4,"ExemptGroup:UInt8, Freeze:UInt8(Boolean)",Direct-Preceding
DampSession0JobFreeze,0x140014d21,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},FreezeSession0Job,4,0x4,(none),Direct-Preceding
DampFreezeUserSessionJob,0x140012e20,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},FreezeUserSessionJob,4,0x2,"SessionId:UInt32, ExemptGroup:UInt8, Freeze:UInt8(Boolean)",Direct-Preceding
DampFreezeUserSessionJob,0x140012ef4,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},FreezeUserSessionJob,4,0x2,(none),Direct-Preceding
DampFreezeUserSessions,0x140012f9f,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},FreezeUserSessions,5,0x2,"ExemptGroup:UInt32, Freeze:UInt8(Boolean)",Direct-Preceding
DampFreezeUserSessions,0x140013060,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},FreezeUserSessions,5,0x2,(none),Direct-Preceding
DampGetSessionContext,0x140013c30,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},InsertNewSession,4,0x1,SessionId:UInt32,Direct-Preceding
DampPdcControlCallback,0x14001455d,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},PdcControlCallback,4,0x2,Flags:HexInt32,Direct-Preceding
DampPdcResiliencyCallback,0x1400146a2,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},PdcResiliencyCallback,4,0x6,(none),Direct-Preceding
DampPdcStateCallback,0x1400147b7,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},PdcStateCallback,4,0x2,(none),Direct-Preceding
DampFreezeWorkerHandleFreezeEvent,0x14001321b,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},PhaseTransition,4,0x80,"TargetPhase:Int32, CurrentPhase:Int32",Direct-Preceding
DampFreezeWorkerHandleFreezeEvent,0x140013489,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},PhaseTransition,4,0x80,"TargetPhase:Int32, CurrentPhase:Int32, NextTargetPhase:Int32",Direct-Preceding
DampFreezeWorkerHandleFreezeEvent,0x140013330,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},PhaseTransitionPerformanceAggregate,4,0x400000000010,"Count:Int64, DurationTotalMs:Int64, DurationMaxMs:Int64, Activate:UInt8(Boolean), TransitionTypeId:UInt32, PartA_PrivTags:UInt64",Direct-Preceding
DampFreezeWorkerUpdatePostAndUnlock,0x14001390b,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},Phase_ChangeSignal,4,0x40,"NewTargetPhase:Int32, OldTargetPhase:Int32, CurrentPhase:Int32",Direct-Preceding
DampAddProcessToJobObject,0x14001264c,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},ProcessAdded,5,0x1,"status:UInt32(NTStatus), pid:UInt32(PID), imageFileName:CountedString, commandLine:CountedString, sessionId:UInt32, forceAdd:UInt8(Boolean), exemptionGroup:UInt32, registerAtLaunch:UInt8(Boolean)",Direct-Preceding
DampProcessTreeInsert,0x1400149af,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},ProcessTree_Insert,5,0x1,"Entry:HexInt64, pid:UInt32(PID)",Direct-Preceding
DampProcessTreeRemove,0x140014b8f,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},ProcessTree_Remove,5,0x1,"Entry:HexInt64, pid:UInt32(PID)",Direct-Preceding
DampHandleProcessTermination,0x140014418,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},RemoveSession,4,0x1,SessionId:UInt32,Direct-Preceding
DampTracingControlCallback,0x14001507e,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},Rundown,4,0xff,"System:HexInt32, CurrentPhase:UInt32, TargetPhase:UInt32",Direct-Preceding
DampIoDispatch,0x14001144a,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},SetUnfrezeDelaySleep,4,0x1,UnfrezeDelayMs:UInt32,Direct-Preceding
DampUserSessionDelayNotificationCallback,0x140015323,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},UserSessionDelayNotificationCallback,5,0x10,(none),Direct-Preceding
DampUserSessionDelayNotificationCallback,0x140015398,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},UserSessionDelayNotificationCallback,4,0x10,(none),Direct-Preceding
DampUserSessionDelayWorkItemRoutine,0x14001545f,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},UserSessionDelayWorkItemRoutine,5,0x10,"WatchDogSleepEnabled:UInt8(Boolean), UnFreezeDelayMs:UInt32",Direct-Preceding
DampUserSessionDelayWorkItemRoutine,0x1400154e3,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},UserSessionDelayWorkItemRoutine,4,0x10,(none),Direct-Preceding
DampWildCardPolicyUseUpdateWorker,0x14001684b,Microsoft.Windows.DesktopActivityModerator,{60AE66D1-1C8C-5461-5284-FE74DD01096E},WildCardPolicyUseUpdateWorker,4,0x1,"Result:UInt8(Boolean), MajorVersion:UInt32, MinorVersion:UInt32, Edition:UInt32",Direct-Preceding
LookUpTableFlushComplete,0x140019209,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},TlgAggregateSummary,5,0x200000000000,"PartA_PrivTags:UInt64, UtcAggParams:Struct(Boolean), Period:UInt32, MaxEvents:UInt32, Mode:UInt8, Provider:GUID, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt32, Mode:UInt8",Direct-Preceding
