Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VPersonalizationCspLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1400110e1,Microsoft.Windows.Shell.Personalization.CSP,{22111816-32DE-5F2F-7260-2E7C4A7899CE},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VPersonalizationCspLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x140011234,Microsoft.Windows.Shell.Personalization.CSP,{22111816-32DE-5F2F-7260-2E7C4A7899CE},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x14000bc9a,Microsoft.Windows.Shell.Personalization.CSP,{22111816-32DE-5F2F-7260-2E7C4A7899CE},ActivityStoppedAutomatically,5,0x400000000000,(none),GlobalFallback
?StartActivity@DownloadImage@PersonalizationCspLoggingTelemetry@@QEAAXH@Z,0x140012efe,Microsoft.Windows.Shell.Personalization.CSP,{22111816-32DE-5F2F-7260-2E7C4A7899CE},DownloadImage,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, feature:Int32",CallGraph-d1
?Stop@DownloadImage@PersonalizationCspLoggingTelemetry@@QEAAXK@Z,0x140013099,Microsoft.Windows.Shell.Personalization.CSP,{22111816-32DE-5F2F-7260-2E7C4A7899CE},DownloadImage,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, imageSize:UInt32",CallGraph-d1
?Stop@DownloadImage@PersonalizationCspLoggingTelemetry@@QEAAXK@Z,0x140013246,Microsoft.Windows.Shell.Personalization.CSP,{22111816-32DE-5F2F-7260-2E7C4A7899CE},DownloadImage,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, imageSize:UInt32",CallGraph-d1
?StopActivity@DownloadImage@PersonalizationCspLoggingTelemetry@@MEAAXXZ,0x14001341b,Microsoft.Windows.Shell.Personalization.CSP,{22111816-32DE-5F2F-7260-2E7C4A7899CE},DownloadImage,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@DownloadImage@PersonalizationCspLoggingTelemetry@@MEAAXXZ,0x1400135b0,Microsoft.Windows.Shell.Personalization.CSP,{22111816-32DE-5F2F-7260-2E7C4A7899CE},DownloadImage,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x14001240b,Microsoft.Windows.Shell.Personalization.CSP,{22111816-32DE-5F2F-7260-2E7C4A7899CE},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x14001255e,Microsoft.Windows.Shell.Personalization.CSP,{22111816-32DE-5F2F-7260-2E7C4A7899CE},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",GlobalFallback
