Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_1800BBE4C,0x1800bc46a,Microsoft.OSG.DU.DeliveryOptClient,{F13CD440-A9B2-4D51-8B09-62DC6AD60194},DownloadCanceled,4,0x800000000000,"__TlgCV__:AnsiString, experimentId:UInt32, errorCode:Int32(HResult), reasonCode:Int32, sessionID:GUID, predefinedCallerName:AnsiString, updateID:AnsiString, jobID:GUID, fileID:AnsiString, cdnUrl:AnsiString, cdnIp:AnsiString, routeToCacheServer:AnsiString, bytesFromCDN:UInt64, bytesFromCacheServer:UInt64, bytesFromPeers:UInt64, bytesFromLinkLocalPeers:UInt64, bytesFromGroupPeers:UInt64, bytesFromIntPeers:UInt64, bytesFromLedbat:UInt64, bytesFromLocalCache:UInt64, dataSourcesTotal:AnsiString, background:Bool32, cdnErrorCodes:Int32[], cdnErrorCounts:UInt16[], peerConnErrorCodes:Int32[], peerConnErrorCounts:UInt16[], fileSystemErrorCodes:Int32[], fileSystemErrorCounts:UInt16[], isVpn:UInt32, totalTimeMs:UInt64, sessionTimeMs:UInt64",Direct-Preceding
sub_1800BBE4C,0x1800bc855,Microsoft.OSG.DU.DeliveryOptClient,{F13CD440-A9B2-4D51-8B09-62DC6AD60194},DownloadCanceled,4,0x800000000000,"__TlgCV__:AnsiString, experimentId:UInt32, errorCode:Int32(HResult), reasonCode:Int32, sessionID:GUID, predefinedCallerName:AnsiString, updateID:AnsiString, jobID:GUID, fileID:AnsiString, cdnUrl:AnsiString, cdnIp:AnsiString, routeToCacheServer:AnsiString, bytesFromCDN:UInt64, bytesFromCacheServer:UInt64, bytesFromPeers:UInt64, bytesFromLinkLocalPeers:UInt64, bytesFromGroupPeers:UInt64, bytesFromIntPeers:UInt64, bytesFromLedbat:UInt64, bytesFromLocalCache:UInt64, dataSourcesTotal:AnsiString, background:Bool32, cdnErrorCodes:Int32[], cdnErrorCounts:UInt16[], isVpn:UInt32, totalTimeMs:UInt64, sessionTimeMs:UInt64",Direct-Preceding
sub_1800B9970,0x1800ba0c0,Microsoft.OSG.DU.DeliveryOptClient,{F13CD440-A9B2-4D51-8B09-62DC6AD60194},DownloadCompleted,5,0x800000000000,"__TlgCV__:AnsiString, experimentId:UInt32, sessionID:GUID, predefinedCallerName:AnsiString, updateID:AnsiString, jobID:GUID, fileID:AnsiString, bytesRequested:UInt64, fileSize:UInt64, bytesFromCDN:UInt64, bytesFromCacheServer:UInt64, bytesFromPeers:UInt64, bytesFromLinkLocalPeers:UInt64, bytesFromGroupPeers:UInt64, bytesFromIntPeers:UInt64, bytesFromLedbat:UInt64, bytesFromLocalCache:UInt64, dataSourcesTotal:AnsiString, cdnUrl:AnsiString, cdnIp:AnsiString, routeToCacheServer:AnsiString, numPeers:UInt32, numPeersLocal:UInt32, expiresAt:AnsiString, cdnConnectionCount:UInt32, cacheServerConnectionCount:UInt64, lanConnectionCount:UInt32, linkLocalConnectionCount:UInt32, groupConnectionCount:UInt32, internetConnectionCount:UInt32, downlinkBps:UInt32, uplinkBps:UInt32, downlinkUsageBps:UInt32, uplinkUsageBps:UInt32, totalTimeMs:UInt64, sessionTimeMs:UInt64, groupID:AnsiString, background:Bool32, restrictedUpload:Int32, downloadMode:UInt32, downloadModeSrc:Int32, downloadModeReason:Int32, cdnErrorCodes:Int32[], cdnErrorCounts:UInt16[], peerConnErrorCodes:Int32[], peerConnErrorCounts:UInt16[], fileSystemErrorCodes:Int32[], fileSystemErrorCounts:UInt16[], isVpn:UInt32, isEncrypted:UInt8(Boolean), isThrottled:UInt8(Boolean), congestionPrevention:UInt8(Boolean)",Direct-Preceding
sub_1800B9970,0x1800ba5c9,Microsoft.OSG.DU.DeliveryOptClient,{F13CD440-A9B2-4D51-8B09-62DC6AD60194},DownloadCompleted,5,0x800000000000,"__TlgCV__:AnsiString, experimentId:UInt32, sessionID:GUID, predefinedCallerName:AnsiString, updateID:AnsiString, jobID:GUID, fileID:AnsiString, bytesRequested:UInt64, fileSize:UInt64, bytesFromCDN:UInt64, bytesFromCacheServer:UInt64, bytesFromPeers:UInt64, bytesFromLinkLocalPeers:UInt64, bytesFromGroupPeers:UInt64, bytesFromIntPeers:UInt64, bytesFromLedbat:UInt64, bytesFromLocalCache:UInt64, dataSourcesTotal:AnsiString, cdnUrl:AnsiString, cdnIp:AnsiString, routeToCacheServer:AnsiString, numPeers:UInt32, numPeersLocal:UInt32, expiresAt:AnsiString, cdnConnectionCount:UInt32, cacheServerConnectionCount:UInt64, lanConnectionCount:UInt32, linkLocalConnectionCount:UInt32, groupConnectionCount:UInt32, internetConnectionCount:UInt32, downlinkBps:UInt32, uplinkBps:UInt32, downlinkUsageBps:UInt32, uplinkUsageBps:UInt32, totalTimeMs:UInt64, sessionTimeMs:UInt64, groupID:AnsiString, background:Bool32, restrictedUpload:Int32, downloadMode:UInt32, downloadModeSrc:Int32, downloadModeReason:Int32, cdnErrorCodes:Int32[], cdnErrorCounts:UInt16[], isVpn:UInt32, isEncrypted:UInt8(Boolean), isThrottled:UInt8(Boolean), congestionPrevention:UInt8(Boolean)",Direct-Preceding
sub_1800BCFD4,0x1800bd396,Microsoft.OSG.DU.DeliveryOptClient,{F13CD440-A9B2-4D51-8B09-62DC6AD60194},DownloadHungItself,2,0x800000000000,"__TlgCV__:AnsiString, experimentId:UInt32, errorCode:Int32(HResult), sessionID:GUID, predefinedCallerName:AnsiString, updateID:AnsiString, jobID:GUID, fileID:AnsiString, cdnUrl:AnsiString, cdnIp:AnsiString, progressPercent:UInt32, background:Bool32, isVpn:UInt32",Direct-Preceding
sub_1800BB20C,0x1800bb4ef,Microsoft.OSG.DU.DeliveryOptClient,{F13CD440-A9B2-4D51-8B09-62DC6AD60194},DownloadPaused,4,0x400000000000,"__TlgCV__:AnsiString, experimentId:UInt32, errorCode:Int32(HResult), reasonCode:Int32, sessionID:GUID, predefinedCallerName:AnsiString, updateID:AnsiString, jobID:GUID, fileID:AnsiString, cdnUrl:AnsiString, routeToCacheServer:AnsiString, background:Bool32, isVpn:UInt32, totalTimeMs:UInt64, sessionTimeMs:UInt64",Direct-Preceding
sub_1800BB20C,0x1800bb703,Microsoft.OSG.DU.DeliveryOptClient,{F13CD440-A9B2-4D51-8B09-62DC6AD60194},DownloadPaused,4,0x800000000000,"__TlgCV__:AnsiString, experimentId:UInt32, errorCode:Int32(HResult), reasonCode:Int32, sessionID:GUID, predefinedCallerName:AnsiString, updateID:AnsiString, jobID:GUID, fileID:AnsiString, cdnUrl:AnsiString, routeToCacheServer:AnsiString, background:Bool32, isVpn:UInt32, totalTimeMs:UInt64, sessionTimeMs:UInt64",Direct-Preceding
sub_1800BAFAC,0x1800bb14f,Microsoft.OSG.DU.DeliveryOptClient,{F13CD440-A9B2-4D51-8B09-62DC6AD60194},DownloadProgress,4,0x400000000000,"__TlgCV__:AnsiString, experimentId:UInt32, sessionID:GUID, predefinedCallerName:AnsiString, updateID:AnsiString, jobID:GUID, fileID:AnsiString, progressPercent:UInt32, isVpn:UInt32",Direct-Preceding
sub_1800BB908,0x1800bbcbd,Microsoft.OSG.DU.DeliveryOptClient,{F13CD440-A9B2-4D51-8B09-62DC6AD60194},DownloadResumed,4,0x400000000000,"__TlgCV__:AnsiString, experimentId:UInt32, errorCode:Int32(HResult), sessionID:GUID, predefinedCallerName:AnsiString, updateID:AnsiString, jobID:GUID, costFlags:UInt32, fileID:AnsiString, cdnUrl:AnsiString, background:Bool32, downloadMode:UInt32, downloadModeSrc:Int32, downloadModeReason:Int32, isVpn:UInt32",Direct-Preceding
sub_1800B8FA4,0x1800b93b2,Microsoft.OSG.DU.DeliveryOptClient,{F13CD440-A9B2-4D51-8B09-62DC6AD60194},DownloadStarted,5,0x800000000000,"__TlgCV__:AnsiString, experimentId:UInt32, errorCode:Int32(HResult), peerID:AnsiString, doClientVersion:AnsiString, UusVersion:AnsiString, jobID:GUID, sessionID:GUID, predefinedCallerName:AnsiString, callerAppPackageName:AnsiString, updateID:AnsiString, costFlags:UInt32, fileID:AnsiString, fileSize:UInt64, fileSizeCaller:UInt64, bytesRequested:UInt64, cdnUrl:AnsiString, routeToCacheServer:AnsiString, filePath:AnsiString, groupID:AnsiString, background:Bool32, downloadMode:UInt32, downloadModeSrc:Int32, downloadModeReason:Int32, diceRoll:Double, deviceProfile:HexInt32, isVpn:UInt32, isEncrypted:UInt8(Boolean), setConfigs:AnsiString, isThrottled:UInt8(Boolean)",Direct-Preceding
