Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??0CMultiSIMCSP@@IEAA@XZ,0x18000b112,Microsoft.Windows.Cellcore.LPA.CSP,{612AA4D1-4C02-424C-AC7E-EE5307277AC8},CMultiSIMCSP constructor,4,0x0,"Location:AnsiString, constructor called:UInt32",Direct-Preceding
??1CMultiSIMCSP@@MEAA@XZ,0x18000b29e,Microsoft.Windows.Cellcore.LPA.CSP,{612AA4D1-4C02-424C-AC7E-EE5307277AC8},CMultiSIMCSP destructor,4,0x0,"Location:AnsiString, destructor called:UInt32",Direct-Preceding
??0CeUICCsCSP@@IEAA@XZ,0x18000b1fc,Microsoft.Windows.Cellcore.LPA.CSP,{612AA4D1-4C02-424C-AC7E-EE5307277AC8},CeUICCsCSP constructor,4,0x0,"Location:AnsiString, constructor called:UInt32",Direct-Preceding
??1CeUICCsCSP@@MEAA@XZ,0x18000b33e,Microsoft.Windows.Cellcore.LPA.CSP,{612AA4D1-4C02-424C-AC7E-EE5307277AC8},CeUICCsCSP destructor,4,0x0,"Location:AnsiString, destructor called:UInt32",Direct-Preceding
?Initialize@LpaHelper@@QEAAJXZ,0x180016325,Microsoft.Windows.Cellcore.LPA.CSP,{612AA4D1-4C02-424C-AC7E-EE5307277AC8},CreateEvent,2,0x0,"Location:AnsiString, m_hInitCompletion:HexInt64, hr:Int32(HResult)",Direct-Preceding
?Initialize@LpaHelper@@QEAAJXZ,0x180016345,Microsoft.Windows.Cellcore.LPA.CSP,{612AA4D1-4C02-424C-AC7E-EE5307277AC8},CreateEvent,4,0x0,"Location:AnsiString, m_hInitCompletion:HexInt64, hr:Int32(HResult)",Direct-Preceding
??0CeUICCsCSP@@IEAA@XZ,0x18000b1b9,Microsoft.Windows.Cellcore.LPA.CSP,{612AA4D1-4C02-424C-AC7E-EE5307277AC8},EUICCscsp::CreateInstance,4,0x0,"Location:AnsiString, m_hrLpaHelperInitialResult:Int32(HResult)",Direct-Preceding
?ProcessEnterpriseDownloadServerDetails@LpaHelper@@AEAAXPEBULPA_ENTERPRISE_DISCOVERY_EVENT@@@Z,0x180016d93,Microsoft.Windows.Cellcore.LPA.CSP,{612AA4D1-4C02-424C-AC7E-EE5307277AC8},EnterpriseDownloadServerDetails,4,0x0,"Location:AnsiString, esimId:UnicodeString, state:UInt32, autoEnable:UInt32, isDiscoveryServer:UInt32, maximumAttempts:UInt32, serverName:UnicodeString, profileId:UnicodeString, errorDetail:UInt32",Direct-Preceding
?ProcessEnterpriseEsimDetails@LpaHelper@@AEAAXPEBULPA_ENTERPRISE_ESIM_DETAILS@@@Z,0x180017105,Microsoft.Windows.Cellcore.LPA.CSP,{612AA4D1-4C02-424C-AC7E-EE5307277AC8},EnterpriseEsimDetails,4,0x0,"Location:AnsiString, cbSize:UInt32, dwParams:HexInt32, esimId:UnicodeString, hrActionResult:Int32(HResult), dwNumProfiles:UInt32",Direct-Preceding
?ProcessEnterpriseProfileDetails@LpaHelper@@AEAAXPEBULPA_ENTERPRISE_PROFILE_DETAILS@@@Z,0x18001742b,Microsoft.Windows.Cellcore.LPA.CSP,{612AA4D1-4C02-424C-AC7E-EE5307277AC8},EnterpriseProfileDetails,4,0x0,"Location:AnsiString, dwParams:HexInt32, esimId:UnicodeString, profileId:UnicodeString, state:UInt32, serverName:UnicodeString, matchingId:UnicodeString",Direct-Preceding
?ProcessEsimDetails@LpaHelper@@AEAAXPEBULPA_ESIM_DETAILS@@@Z,0x1800177b0,Microsoft.Windows.Cellcore.LPA.CSP,{612AA4D1-4C02-424C-AC7E-EE5307277AC8},EsimDetails,4,0x0,"Location:AnsiString, cbSize:UInt32, dwParams:HexInt32, esimId:UnicodeString, info.dwParams:HexInt32, state:UInt32, dwPolicies:HexInt32, dwNumProfiles:UInt32",Direct-Preceding
?GetValue@CeUICCsNode@@UEAAJPEAUtagVARIANT@@@Z,0x18000ecb9,Microsoft.Windows.Cellcore.LPA.CSP,{612AA4D1-4C02-424C-AC7E-EE5307277AC8},GetSessionVariable,4,0x0,"Location:AnsiString, m_NodeInfo.dwNodeId:UInt32, hr:Int32(HResult)",Direct-Preceding
