Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VEfsTraceLoggingProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800146b5,Microsoft.Windows.Security.Efs,{4E04241F-30F8-5111-A04E-DF3C9C867433},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VEfsTraceLoggingProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800147fd,Microsoft.Windows.Security.Efs,{4E04241F-30F8-5111-A04E-DF3C9C867433},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VEfsTraceLoggingProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180013761,Microsoft.Windows.Security.Efs,{4E04241F-30F8-5111-A04E-DF3C9C867433},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VEfsTraceLoggingProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180014b2d,Microsoft.Windows.Security.Efs,{4E04241F-30F8-5111-A04E-DF3C9C867433},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?Stop@?$ActivityBase@VEfsTraceLoggingProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180009ab9,Microsoft.Windows.Security.Efs,{4E04241F-30F8-5111-A04E-DF3C9C867433},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@EdpAccess@EfsTelemetry@@QEAAXXZ,0x18000a08a,Microsoft.Windows.Security.Efs,{4E04241F-30F8-5111-A04E-DF3C9C867433},EdpAccess,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@EdpAccess@EfsTelemetry@@MEAAXXZ,0x18000a9e7,Microsoft.Windows.Security.Efs,{4E04241F-30F8-5111-A04E-DF3C9C867433},EdpAccess,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@EdpAccess@EfsTelemetry@@MEAAXXZ,0x18000ab6f,Microsoft.Windows.Security.Efs,{4E04241F-30F8-5111-A04E-DF3C9C867433},EdpAccess,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@EdpQueryPolicy@EfsTelemetry@@QEAAXXZ,0x180014a5a,Microsoft.Windows.Security.Efs,{4E04241F-30F8-5111-A04E-DF3C9C867433},EdpQueryPolicy,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@EdpQueryPolicy@EfsTelemetry@@MEAAXXZ,0x180014c02,Microsoft.Windows.Security.Efs,{4E04241F-30F8-5111-A04E-DF3C9C867433},EdpQueryPolicy,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@EdpQueryPolicy@EfsTelemetry@@MEAAXXZ,0x180014d67,Microsoft.Windows.Security.Efs,{4E04241F-30F8-5111-A04E-DF3C9C867433},EdpQueryPolicy,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$EdpQueryPolicyLog@AEAW4EDP_CALLER@@AEAW4_EdpPolicyEnforcementMode@@AEAPEBGAEAPEBGAEA_N_NAEA_NAEAHAEAW4EDP_POLICY_RESULT@@AEAW43@AEAJ@EdpQueryPolicy@EfsTelemetry@@SAXAEAW4EDP_CALLER@@AEAW4_EdpPolicyEnforcementMode@@AEAPEBG2AEA_N$$QEA_N3AEAHAEAW4EDP_POLICY_RESULT@@6AEAJ@Z,0x1800141f0,Microsoft.Windows.Security.Efs,{4E04241F-30F8-5111-A04E-DF3C9C867433},EdpQueryPolicyLog,5,0x400000000000,"callerType:UInt32, enforcementMode:UInt32, sourceAppInfo:UnicodeString, targetAppInfo:UnicodeString, useEnterpriseIdForUIEnforcement:UInt8(Boolean), accessExplicitlyAllowedByPolicy:UInt8(Boolean), doesUserConsent:UInt8(Boolean), isExempt:Int32, localResult:UInt32, result:UInt32, status:Int32",CallGraph-d2
