Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
AddEntryToTransactionList,0x1800016a7,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AddEntryToTransactionList,5,0x0,Message:UnicodeString,Direct-Preceding
AddEntryToTransactionList,0x1800017eb,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AddEntryToTransactionList,5,0x0,Message:UnicodeString,Direct-Preceding
AddEntryToTransactionList,0x18000187f,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AddEntryToTransactionList,2,0x0,Message:UnicodeString,Direct-Preceding
AddLsnListEntry,0x1800019e1,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AddLsnListEntry,5,0x0,Message:UnicodeString,Direct-Preceding
AddLsnListEntry,0x180001aac,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AddLsnListEntry,2,0x0,Message:UnicodeString,Direct-Preceding
AddLsnListEntry,0x180001baf,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AddLsnListEntry,5,0x0,Message:UnicodeString,Direct-Preceding
AddPendingRenameToRegistry,0x18002e18f,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AddPendingRenameToRegistry,4,0x0,Message:UnicodeString,Direct-Preceding
AllocHandleContext,0x180032a07,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AllocHandleContext,5,0x0,Message:UnicodeString,Direct-Preceding
AllocHandleContext,0x180032c90,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AllocHandleContext,5,0x0,Message:UnicodeString,Direct-Preceding
AllocHandleContext,0x180032d61,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AllocHandleContext,2,0x0,Message:UnicodeString,Direct-Preceding
AppendLsn,0x180001d6b,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AppendLsn,5,0x0,Message:UnicodeString,Direct-Preceding
AppendLsn,0x180001eec,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AppendLsn,5,0x0,Message:UnicodeString,Direct-Preceding
AppendLsn,0x180001f22,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AppendLsn,5,0x0,Message:UnicodeString,Direct-Preceding
AppendLsn,0x180001fe1,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},AppendLsn,2,0x0,Message:UnicodeString,Direct-Preceding
BuildDirTree,0x180002156,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},BuildDirTree,5,0x0,Message:UnicodeString,Direct-Preceding
BuildDirTree,0x180002405,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},BuildDirTree,4,0x0,Message:UnicodeString,Direct-Preceding
BuildDirTree,0x1800024c9,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},BuildDirTree,5,0x0,Message:UnicodeString,Direct-Preceding
BuildDirTree,0x1800026f2,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},BuildDirTree,5,0x0,Message:UnicodeString,Direct-Preceding
BuildDirTree,0x1800027ff,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},BuildDirTree,4,0x0,Message:UnicodeString,Direct-Preceding
BuildDirTree,0x180002931,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},BuildDirTree,5,0x0,Message:UnicodeString,Direct-Preceding
BuildDirTree,0x180002962,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},BuildDirTree,2,0x0,Message:UnicodeString,Direct-Preceding
CleanDirectory,0x180002b28,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},CleanDirectory,5,0x0,Message:UnicodeString,Direct-Preceding
CleanDirectory,0x180002db4,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},CleanDirectory,5,0x0,Message:UnicodeString,Direct-Preceding
CleanDirectory,0x180002eb0,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},CleanDirectory,2,0x0,Message:UnicodeString,Direct-Preceding
CleanDirectory,0x180003024,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},CleanDirectory,2,0x0,Message:UnicodeString,Direct-Preceding
CleanDirectory,0x18000316e,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},CleanDirectory,5,0x0,Message:UnicodeString,Direct-Preceding
CleanDirectory,0x180003295,Microsoft.Windows.FileSystem.FsTxLib,{A769C516-A969-5004-92FB-40DA03F2FAC9},CleanDirectory,2,0x0,Message:UnicodeString,Direct-Preceding
