Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?LogEventTpmSeal@CFveApiBase@@QEAAJPEBU_FVE_EVENT_LOG@@@Z,0x180047f3c,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.CFveApi.LogOnSealV2,4,0x400000000000,LogText:AnsiString,Direct-Preceding
?ConversionEncryptEx@CFveApi@@QEAAJK@Z,0x1800937b1,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.CFveApi.StartEncryption,4,0x400000000000,"FveId:GUID, ConversionStatus:UInt32, EncryptionFlags:UInt32, Flags:UInt32, FlagsExt:UInt64, FlagsExt2:UInt64, ExitCode:Int32",Direct-Preceding
?ConversionEncryptEx@CFveApi@@QEAAJK@Z,0x1800ea2d9,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.CFveApi.StartEncryption,4,0x400000000000,"FveId:GUID, ConversionStatus:UInt32, EncryptionFlags:UInt32, Flags:UInt32, FlagsExt:UInt64, FlagsExt2:UInt64, ExitCode:Int32",Direct-Preceding
?ConversionEncryptEx@CFveApi@@QEAAJK@Z,0x1800936d2,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.CFveApi.StartEncryption.Wipe,4,0x400000000000,"FveId:GUID, ConversionStatus:UInt32, EncryptionFlags:UInt32, PrevWipeState:UInt32, Flags:UInt32, FlagsExt:UInt64, FlagsExt2:UInt64, ExitCode:Int32",Direct-Preceding
?ConversionEncryptEx@CFveApi@@QEAAJK@Z,0x1800ea1fa,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.CFveApi.StartEncryption.Wipe,4,0x400000000000,"FveId:GUID, ConversionStatus:UInt32, EncryptionFlags:UInt32, PrevWipeState:UInt32, Flags:UInt32, FlagsExt:UInt64, FlagsExt2:UInt64, ExitCode:Int32",Direct-Preceding
?CheckDEInitPrerequisites@CFveApi@@IEAAJ_N@Z,0x18009a2cd,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.CfveApi.Check_DE_PreReq,4,0x400000000000,"SupportFlags:UInt32, SupportStatus:Int32, IsUserInitiated:UInt8(Boolean), ExitCode:Int32",Direct-Preceding
?ConversionEncryptPendingRebootEx@CFveApi@@QEAAJK@Z,0x180093e91,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.CfveApi.StartEncryptionAfterReboot,4,0x400000000000,"FveID:GUID, EncryptionFlags:UInt32, ExitCode:Int32",Direct-Preceding
?ConversionEncryptPendingRebootEx@CFveApi@@QEAAJK@Z,0x1800ea37c,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.CfveApi.StartEncryptionAfterReboot,4,0x400000000000,"FveID:GUID, EncryptionFlags:UInt32, ExitCode:Int32",Direct-Preceding
?UnlockVolume@CFveApiBase@@QEAAJPEBU_FVE_AUTH_INFORMATION@@_NP6AXPEBX@ZPEA_N@Z,0x1800495f6,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.CfveApi.UnlockVolume,4,0x400000000000,"ProtectorType:UInt32, FveID:GUID, ProtectorID:GUID, ExitCode:Int32, KeyRotationAttempted:Int32, hrKeyRotation:Int32, ReadOnlyMount:Int32, FipsComplaintRP:UInt8, StatusFlags:UInt32, AuthFlags:UInt32, PartA_PrivTags:UInt64",Direct-Preceding
?UnlockVolume@CFveApiBase@@QEAAJPEBU_FVE_AUTH_INFORMATION@@_NP6AXPEBX@ZPEA_N@Z,0x1800e8da0,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.CfveApi.UnlockVolume,4,0x400000000000,"ProtectorType:UInt32, FveID:GUID, ProtectorID:GUID, ExitCode:Int32, KeyRotationAttempted:Int32, hrKeyRotation:Int32, ReadOnlyMount:Int32, FipsComplaintRP:UInt8, StatusFlags:UInt32, AuthFlags:UInt32, PartA_PrivTags:UInt64",Direct-Preceding
?CheckRecoveryPasswordDifferenceAndSubmitAADDeletionRequests@CFveApiBase@@QEAAJPEBU_FVE_DATASET@@0K_N@Z,0x1800351e8,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.FveApi.AAD.Deletion.Errors,4,0x400000000000,"FailedMethod:UnicodeString, hrIgnoredError:Int32, PartA_PrivTags:UInt64",Direct-Preceding
?CheckRecoveryPasswordDifferenceAndSubmitAADDeletionRequests@CFveApiBase@@QEAAJPEBU_FVE_DATASET@@0K_N@Z,0x18003524a,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.FveApi.AAD.Deletion.Errors,4,0x400000000000,"FailedMethod:UnicodeString, hrIgnoredError:Int32, PartA_PrivTags:UInt64",Direct-Preceding
FveAddPredictiveTpmProtector,0x18005fe38,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.FveApi.AddPredictiveTpmProtector,4,0x400000000000,"hr:Int32(HResult), LineNumber:UInt32, PartA_PrivTags:UInt64",Direct-Preceding
?DeleteAuthMethod@CFveApi@@QEAAJPEBU_GUID@@_N@Z,0x18009662d,FveAPILoggingProvider,{D0974663-5C08-408F-9445-35BB55075757},BitLocker.FveApi.Auth.Delete,4,0x400000000000,"FveID:GUID, AuthMethodGuid:GUID, RecycleKeys:UInt8(Boolean), State:UInt32, DEProtectorRemoved:UInt8(Boolean), AllowDelete:UInt8(Boolean), ErrorLine:UnicodeString, hr:Int32, PartA_PrivTags:UInt64",Direct-Preceding
