Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
AslTelemetryFlush,0x18005985f,Microsoft.Windows.Compatibility.Asl,{18608E62-A628-49D9-8C02-55972E097D24},TelemetryClient,5,0x200000000000,"PartA_PrivTags:UInt64, BinFileVersion:UInt64, ChannelName:AnsiString, CorrelationVectors:AnsiString, Types:AnsiString, Names:AnsiString, Counts:AnsiString, Metrics:AnsiString, Messages:UnicodeString, ActivityResults:AnsiString",Direct-Preceding
?ProcessCITRecord@@YAJPEAU_CTEL_RECORD_PROCESSING_PARAMS@@PEA_K@Z,0x180039b1f,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},InventoryMiscellaneousCITAdd,5,0x800000000000,"__TlgCV__:AnsiString, InventoryVersion:UnicodeString, PartB_Ms.Device.DeviceInventoryChange:Struct(PID), action:Int32, objectType:UnicodeString, objectInstanceId:UnicodeString, syncId:UnicodeString, inventoryId:UnicodeString, RecordId:UnicodeString, EntryId:UInt16, EntryIdMax:UInt16, ProgramId:UnicodeString, FileId:UnicodeString, ExtraInfo:UnicodeString, StartTimeLocal:FileTime, CurrentTimeLocal:FileTime, PeriodStartLocal:FileTime, AggregationPeriodInS:UInt32, BitPeriodInS:UInt32, MajorVersion:UInt8, MinorVersion:UInt8, SingleBitmapSize:UInt16, Stats:Binary, SpanStats:Binary, Bitmaps:Binary, __TlgCV__:AnsiString",CallGraph-d1
?ProcessCITRecord@@YAJPEAU_CTEL_RECORD_PROCESSING_PARAMS@@PEA_K@Z,0x180039df5,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},InventoryMiscellaneousCITAdd,5,0x800000000000,"__TlgCV__:AnsiString, InventoryVersion:UnicodeString, PartB_Ms.Device.DeviceInventoryChange:Struct(PID), action:Int32, objectType:UnicodeString, objectInstanceId:UnicodeString, syncId:UnicodeString, inventoryId:UnicodeString, RecordId:UnicodeString, EntryId:UInt16, EntryIdMax:UInt16, ProgramId:UnicodeString, FileId:UnicodeString, ExtraInfo:UnicodeString, StartTimeLocal:FileTime, CurrentTimeLocal:FileTime, PeriodStartLocal:FileTime, AggregationPeriodInS:UInt32, BitPeriodInS:UInt32, MajorVersion:UInt8, MinorVersion:UInt8, SingleBitmapSize:UInt16, Stats:Binary, SpanStats:Binary, Bitmaps:Binary, __TlgCV__:AnsiString",CallGraph-d1
?ProcessCITRecord@@YAJPEAU_CTEL_RECORD_PROCESSING_PARAMS@@PEA_K@Z,0x18003a12f,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},InventoryMiscellaneousCITAdd,5,0x800000000000,"__TlgCV__:AnsiString, InventoryVersion:UnicodeString, PartB_Ms.Device.DeviceInventoryChange:Struct(PID), action:Int32, objectType:UnicodeString, objectInstanceId:UnicodeString, syncId:UnicodeString, inventoryId:UnicodeString, RecordId:UnicodeString, EntryId:UInt16, EntryIdMax:UInt16, ProgramId:UnicodeString, FileId:UnicodeString, ExtraInfo:UnicodeString, StartTimeLocal:FileTime, CurrentTimeLocal:FileTime, PeriodStartLocal:FileTime, AggregationPeriodInS:UInt32, BitPeriodInS:UInt32, MajorVersion:UInt8, MinorVersion:UInt8, SingleBitmapSize:UInt16, Stats:Binary, SpanStats:Binary, Bitmaps:Binary, __TlgCV__:AnsiString",CallGraph-d1
?ProcessCITRecord@@YAJPEAU_CTEL_RECORD_PROCESSING_PARAMS@@PEA_K@Z,0x18003a40b,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},InventoryMiscellaneousCITAdd,5,0x800000000000,"__TlgCV__:AnsiString, InventoryVersion:UnicodeString, PartB_Ms.Device.DeviceInventoryChange:Struct(PID), action:Int32, objectType:UnicodeString, objectInstanceId:UnicodeString, syncId:UnicodeString, inventoryId:UnicodeString, RecordId:UnicodeString, EntryId:UInt16, EntryIdMax:UInt16, ProgramId:UnicodeString, FileId:UnicodeString, ExtraInfo:UnicodeString, StartTimeLocal:FileTime, CurrentTimeLocal:FileTime, PeriodStartLocal:FileTime, AggregationPeriodInS:UInt32, BitPeriodInS:UInt32, MajorVersion:UInt8, MinorVersion:UInt8, SingleBitmapSize:UInt16, Stats:Binary, SpanStats:Binary, Bitmaps:Binary, __TlgCV__:AnsiString",CallGraph-d1
?ProcessCITRecord@@YAJPEAU_CTEL_RECORD_PROCESSING_PARAMS@@PEA_K@Z,0x18003ad8d,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},InventoryMiscellaneousCITAdd,5,0x800000000000,"__TlgCV__:AnsiString, InventoryVersion:UnicodeString, PartB_Ms.Device.DeviceInventoryChange:Struct(PID), action:Int32, objectType:UnicodeString, objectInstanceId:UnicodeString, syncId:UnicodeString, inventoryId:UnicodeString, RecordId:UnicodeString, EntryId:UInt16, EntryIdMax:UInt16, ProgramId:UnicodeString, FileId:UnicodeString, ExtraInfo:UnicodeString, StartTimeLocal:FileTime, CurrentTimeLocal:FileTime, PeriodStartLocal:FileTime, AggregationPeriodInS:UInt32, BitPeriodInS:UInt32, MajorVersion:UInt8, MinorVersion:UInt8, SingleBitmapSize:UInt16, Stats:Binary, SpanStats:Binary, Bitmaps:Binary, __TlgCV__:AnsiString",CallGraph-d1
?ProcessCITRecord@@YAJPEAU_CTEL_RECORD_PROCESSING_PARAMS@@PEA_K@Z,0x18003b0bb,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},InventoryMiscellaneousCITAdd,5,0x800000000000,"__TlgCV__:AnsiString, InventoryVersion:UnicodeString, PartB_Ms.Device.DeviceInventoryChange:Struct(PID), action:Int32, objectType:UnicodeString, objectInstanceId:UnicodeString, syncId:UnicodeString, inventoryId:UnicodeString, RecordId:UnicodeString, EntryId:UInt16, EntryIdMax:UInt16, ProgramId:UnicodeString, FileId:UnicodeString, ExtraInfo:UnicodeString, StartTimeLocal:FileTime, CurrentTimeLocal:FileTime, PeriodStartLocal:FileTime, AggregationPeriodInS:UInt32, BitPeriodInS:UInt32, MajorVersion:UInt8, MinorVersion:UInt8, SingleBitmapSize:UInt16, Stats:Binary, SpanStats:Binary, Bitmaps:Binary, __TlgCV__:AnsiString",CallGraph-d1
?GetCITDataForNamespaceTelemetryPoints@@YAJAEAVPiiFilter@@PEBG@Z,0x18003876b,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},InventoryMiscellaneousCITModuleLoadedAdd,5,0x800000000000,"__TlgCV__:AnsiString, InventoryVersion:UnicodeString, PartB_Ms.Device.DeviceInventoryChange:Struct(PID), action:Int32, objectType:UnicodeString, objectInstanceId:UnicodeString, syncId:UnicodeString, inventoryId:UnicodeString, PartA_PrivTags:UInt64, DataNamespace:UnicodeString, ModulePath:UnicodeString, ModuleBinFileVersion:UnicodeString, ProgramID:UnicodeString, FileID:UnicodeString, BinaryPath:UnicodeString, TimeLoaded:UInt64, __TlgCV__:AnsiString",CallGraph-d1
?GetCITDataForNamespaceTelemetryPoints@@YAJAEAVPiiFilter@@PEBG@Z,0x18003898d,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},InventoryMiscellaneousCITModuleLoadedAdd,5,0x800000000000,"__TlgCV__:AnsiString, InventoryVersion:UnicodeString, PartB_Ms.Device.DeviceInventoryChange:Struct(PID), action:Int32, objectType:UnicodeString, objectInstanceId:UnicodeString, syncId:UnicodeString, inventoryId:UnicodeString, PartA_PrivTags:UInt64, DataNamespace:UnicodeString, ModulePath:UnicodeString, ModuleBinFileVersion:UnicodeString, ProgramID:UnicodeString, FileID:UnicodeString, BinaryPath:UnicodeString, TimeLoaded:UInt64, __TlgCV__:AnsiString",CallGraph-d1
?GetCITAdditionalDataTelemetryPoints@@YAJXZ,0x180037ae4,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},InventoryMiscellaneousCITModuleLoadedStartSync,5,0x800000000000,"__TlgCV__:AnsiString, InventoryVersion:UnicodeString, PartB_Ms.Device.DeviceInventoryChange:Struct(PID), action:Int32, objectType:UnicodeString, objectInstanceId:UnicodeString, syncId:UnicodeString, inventoryId:UnicodeString, PartA_PrivTags:UInt64, __TlgCV__:AnsiString",CallGraph-d2
