Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_FFFFF800002DC08C,0xfffff800002dc0eb,Microsoft.Windows.HyperV.Hypervisor.Diagnostics,{F1C134A0-5523-5865-1AFF-B9F82E911CC3},AM DMA mirror failure,5,0x0,"ElementsProcessed:UInt32, failingElement.StartPage:HexInt64, failingElement.PageCount:HexInt32, Line:UInt16, Status:UInt16(Hex)",Direct-Preceding
sub_FFFFF800002DC188,0xfffff800002dc1df,Microsoft.Windows.HyperV.Hypervisor.Diagnostics,{F1C134A0-5523-5865-1AFF-B9F82E911CC3},AM mirror failure,5,0x0,"(Partition)->PartitionId:UInt64, Line:UInt16, Status:UInt16(Hex)",Direct-Preceding
sub_FFFFF80000242628,0xfffff8000024293b,Microsoft.Windows.HyperV.Hypervisor.Diagnostics,{F1C134A0-5523-5865-1AFF-B9F82E911CC3},AP microcode update status,5,0x0,"ApNumber:UInt32, ApMcUpdateStatus:Struct(TID), Valid:Bool32, UpdateLoadStatus:UInt32, UpdateRevision:UInt64, PreviousUpdateRevision:UInt64, PlatformSpecificField1:UInt32, PlatformSpecificField2:UInt32",Direct-Preceding
sub_FFFFF80000248DC0,0xfffff80000249290,Microsoft.Windows.HyperV.Hypervisor.Diagnostics,{F1C134A0-5523-5865-1AFF-B9F82E911CC3},BootInfo,5,0x0,"Flags:HexInt64, StartupMode:UInt32, IommuLegacySoftReboot:UInt8(Boolean)",Direct-Preceding
sub_FFFFF80000248AC8,0xfffff80000248bc5,Microsoft.Windows.HyperV.Hypervisor.Diagnostics,{F1C134A0-5523-5865-1AFF-B9F82E911CC3},BootPerf,5,0x0,"Phase:HexInt64, Duration:UInt64",Direct-Preceding
sub_FFFFF80000248DC0,0xfffff80000249359,Microsoft.Windows.HyperV.Hypervisor.Diagnostics,{F1C134A0-5523-5865-1AFF-B9F82E911CC3},BootPerf,5,0x0,"Phase:HexInt64, Duration:UInt64",Direct-Preceding
sub_FFFFF80000248DC0,0xfffff800002493db,Microsoft.Windows.HyperV.Hypervisor.Diagnostics,{F1C134A0-5523-5865-1AFF-B9F82E911CC3},BootPerf,5,0x0,"Phase:HexInt64, Duration:UInt64",Direct-Preceding
sub_FFFFF80000248DC0,0xfffff8000024945d,Microsoft.Windows.HyperV.Hypervisor.Diagnostics,{F1C134A0-5523-5865-1AFF-B9F82E911CC3},BootPerf,5,0x0,"Phase:HexInt64, Duration:UInt64",Direct-Preceding
sub_FFFFF80000248DC0,0xfffff800002494db,Microsoft.Windows.HyperV.Hypervisor.Diagnostics,{F1C134A0-5523-5865-1AFF-B9F82E911CC3},BootPerf,5,0x0,"Phase:HexInt64, Duration:UInt64",Direct-Preceding
sub_FFFFF80000248DC0,0xfffff800002498c8,Microsoft.Windows.HyperV.Hypervisor.Diagnostics,{F1C134A0-5523-5865-1AFF-B9F82E911CC3},BootPerf,5,0x0,"Phase:HexInt64, Duration:UInt64",Direct-Preceding
