Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_1C000ACEC,0x1c000ad20,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},AllocateMemoryFailed,5,0x400000000000,size:UInt32,SingleProvider
sub_1C001B630,0x1c001b76b,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},AttachDeviceFailed,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C0008FD0,0x1c0009109,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},BufferOverflow,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C000AD64,0x1c000ad98,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},ConnectInterruptFailed,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C001915C,0x1c0019492,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},DetectButtonNumbersFailed,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C000A364,0x1c000a398,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},DeviceNotConnected,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C0009FD8,0x1c000a00c,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},DriverLoaded,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C000B208,0x1c000b322,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},EnableTransmissionFailed,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C0008FD0,0x1c00090ee,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},ErrorInDpcDiscovered,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C0009B40,0x1c0009b74,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},InvalidStartIoRequest,5,0x400000000000,ioctl:UInt32,SingleProvider
sub_1C000A3DC,0x1c000a410,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},ResetCommandFailed,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C000A454,0x1c000a488,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},ResetResponseFailed,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C0009BB8,0x1c0009bf4,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},RetriesExceeded,5,0x400000000000,"status:UInt32(NTStatus), irpMajor:UInt8, ioctl:UInt32, retryCount:UInt8",SingleProvider
sub_1C000A4CC,0x1c000a500,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},SelectScansetFailed,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C000A544,0x1c000a578,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},SetLedFailed,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C000B6F0,0x1c000b724,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},SetResolutionFailed,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C000B768,0x1c000b79c,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},SetSampleRateFailed,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C000A5BC,0x1c000a5f0,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},SetTypematicFailed,5,0x400000000000,status:UInt32(NTStatus),SingleProvider
sub_1C0009C74,0x1c0009cb1,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},Timeout,5,0x400000000000,"irpMajor:UInt8, ioctl:UInt32",SingleProvider
sub_1C000A050,0x1c000a08d,Microsoft.Windows.I8042Port,{DDB15654-924F-42DE-8BE1-2F8BF4946BE1},TransmitControllerCommandFailed,5,0x400000000000,"command:UInt8, verify:UInt8",SingleProvider
