Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
IoRateLogBoostThread,0x1c0001290,Microsoft.Windows.IoRate,{FA93663E-D1D9-5E9C-24A0-C2040A13062F},BoostThread,4,0x4,"Thread:HexInt64, UnblockedCount:UInt32",SingleProvider
IoRateLogSplitIo,0x1c000658c,Microsoft.Windows.IoRate,{FA93663E-D1D9-5E9C-24A0-C2040A13062F},IoSplit,4,0x4,"OriginalIrp:HexInt64, OriginalSize:UInt32, SplitSize:UInt32, NTSTATUS:UInt32(NTStatus)",SingleProvider
IoRateLogParametersWatchFailure,0x1c00076a1,Microsoft.Windows.IoRate,{FA93663E-D1D9-5E9C-24A0-C2040A13062F},ParametersWatchFailure,4,0x400000000004,NTSTATUS:UInt32(NTStatus),SingleProvider
IoRateProcessIrpHelper,0x1c0004d9b,Microsoft.Windows.IoRate,{FA93663E-D1D9-5E9C-24A0-C2040A13062F},ProcessIrp,5,0x1,"Irp:HexInt64, Flags:HexInt32, BlockStartTime:UInt64, Reason:UInt32, RateControl:HexInt64",SingleProvider
IoRateProcessIrpHelper,0x1c0004ddc,Microsoft.Windows.IoRate,{FA93663E-D1D9-5E9C-24A0-C2040A13062F},ProcessIrp,5,0x1,"Irp:HexInt64, Flags:HexInt32, BlockStartTime:UInt64, Reason:UInt32, RateControl:HexInt64",SingleProvider
IoRateLogRateControlRefresh,0x1c0001b2a,Microsoft.Windows.IoRate,{FA93663E-D1D9-5E9C-24A0-C2040A13062F},RateControlRefresh,4,0x4,"RateControl:HexInt64, OldAttributionServiceTime:UInt64, OldAttributionQueueTime:UInt64, OldAttributionSize:UInt64, OldAttributionIoCount:UInt64, NewAttributionServiceTime:UInt64, NewAttributionQueueTime:UInt64, NewAttributionSize:UInt64, NewAttributionIoCount:UInt64",SingleProvider
IoRateLogRateControlStart,0x1c00018b5,Microsoft.Windows.IoRate,{FA93663E-D1D9-5E9C-24A0-C2040A13062F},RateControlStart,4,0x4,"RateControl:HexInt64, IopsCap:UInt64, BandwidthCap:UInt64, TimePercentCap:UInt64, IopsReservation:UInt64, BandwidthReservation:UInt64, TimePercentReservation:UInt64, IopsCriticalReservation:UInt64, BandwidthCriticalReservation:UInt64, TimePercentCriticalReservation:UInt64, IopsSoftCap:UInt64, BandwidthSoftCap:UInt64, TimePercentSoftCap:UInt64, IopsLimitExcess:UInt64, BandwidthLimitExcess:UInt64, TimePercentLimitExcess:UInt64, VolumeDeviceId:HexInt64, StartingAttributionServiceTime:UInt64, StartingAttributionQueueTime:UInt64, StartingAttributionSize:UInt64, StartingAttributionIoCount:UInt64, NTSTATUS:UInt32(NTStatus)",SingleProvider
IoRateLogRateControlStop,0x1c0001fd9,Microsoft.Windows.IoRate,{FA93663E-D1D9-5E9C-24A0-C2040A13062F},RateControlStop,4,0x4,"RateControl:HexInt64, IopsCap:UInt64, BandwidthCap:UInt64, TimePercentCap:UInt64, IopsReservation:UInt64, BandwidthReservation:UInt64, TimePercentReservation:UInt64, IopsCriticalReservation:UInt64, BandwidthCriticalReservation:UInt64, TimePercentCriticalReservation:UInt64, IopsSoftCap:UInt64, BandwidthSoftCap:UInt64, TimePercentSoftCap:UInt64, IopsLimitExcess:UInt64, BandwidthLimitExcess:UInt64, TimePercentLimitExcess:UInt64, VolumeDeviceId:HexInt64, StartNonOverlappedServiceTime:UInt64, StartNonOverlappedQueueTime:UInt64, StartTotalSize:UInt64, StartIoCount:UInt64, StartInterruptTime:UInt64, LastSnapshotNonOverlappedServiceTime:UInt64, LastSnapshotNonOverlappedQueueTime:UInt64, LastSnapshotTotalSize:UInt64, LastSnapshotIoCount:UInt64, LastSnapshotInterruptTime:UInt64",SingleProvider
IoRateLogRateControlsRefreshStart,0x1c0001d52,Microsoft.Windows.IoRate,{FA93663E-D1D9-5E9C-24A0-C2040A13062F},RateControlsRefresh,4,0x4,NewRefreshGeneration:UInt32,SingleProvider
IoRateLogRateControlsRefreshStop,0x1c0001cd7,Microsoft.Windows.IoRate,{FA93663E-D1D9-5E9C-24A0-C2040A13062F},RateControlsRefresh,4,0x4,(none),SingleProvider
IoRateLogThrottledIosRecheckStart,0x1c0003790,Microsoft.Windows.IoRate,{FA93663E-D1D9-5E9C-24A0-C2040A13062F},ThrottledIosRecheck,4,0x4,"EntriesToRecheck:HexInt64, Flags:HexInt32",SingleProvider
IoRateLogThrottledIosRecheckStop,0x1c000382e,Microsoft.Windows.IoRate,{FA93663E-D1D9-5E9C-24A0-C2040A13062F},ThrottledIosRecheck,4,0x4,"EntriesToRecheck:HexInt64, RecheckedCount:UInt32, ScheduledDPC:UInt8(Boolean)",SingleProvider
IoRateLogUnblockIo,0x1c0005fdf,Microsoft.Windows.IoRate,{FA93663E-D1D9-5E9C-24A0-C2040A13062F},UnblockIo,4,0x2,"Irp:HexInt64, IssuingThread:HexInt64, IssuingThreadId:UInt32, Reason:UInt32, BlockedTime:UInt64, OutstandingCoutAtBlockTime:UInt32, OutstandingCoutAtUnblockTime:UInt32",SingleProvider
