Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?LogSessionErrors@TracingFailureCache@@QEAAXU_GUID@@KJPEBD@Z,0x1800e190e,Microsoft.Windows.MediaFoundation.CallStack,{53CC8A8B-3182-5101-7405-8DFC7E5F313E},MFCallstackFull,4,0x0,"MFMediaTelemetrySessionID:GUID, MFMediaTelemetrySessionInstance:UInt32, ver:AnsiString, component:AnsiString, hash:AnsiString, res:Int32(HResult), errTime:HexInt64, modules:AnsiString, functions:AnsiString, func:AnsiString, line:UInt32, errIndex:UInt32",Direct-Preceding
?LogTopNErrors@TracingFailureCache@@QEAAXK@Z,0x1800e1d4d,Microsoft.Windows.MediaFoundation.CallStack,{53CC8A8B-3182-5101-7405-8DFC7E5F313E},MFCallstackFull,4,0x0,"MFMediaTelemetrySessionID:GUID, MFMediaTelemetrySessionInstance:UInt32, ver:AnsiString, component:AnsiString, hash:AnsiString, res:Int32(HResult), errTime:HexInt64, errCount:UInt32, modules:AnsiString, functions:AnsiString, func:AnsiString, line:UInt32, errIndex:UInt32",Direct-Preceding
?LogTopNErrors@TracingFailureCache@@QEAAXK@Z,0x1800e1ee9,Microsoft.Windows.MediaFoundation.CallStack,{53CC8A8B-3182-5101-7405-8DFC7E5F313E},MFCallstackStatistics,4,0x400000000000,"MFMediaTelemetrySessionID:GUID, MFMediaTelemetrySessionInstance:UInt32, ver:AnsiString, totalErrorCount:UInt32, nullIdCount:UInt32, evictionCount:UInt32",Direct-Preceding
?LogSessionErrors@TracingFailureCache@@QEAAXU_GUID@@KJPEBD@Z,0x1800e17d5,Microsoft.Windows.MediaFoundation.CallStack,{53CC8A8B-3182-5101-7405-8DFC7E5F313E},MFCallstackTruncated,2,0x400000000000,"MFMediaTelemetrySessionID:GUID, MFMediaTelemetrySessionInstance:UInt32, ver:AnsiString, component:AnsiString, hash:AnsiString, res:Int32(HResult), errTime:HexInt64, modules:AnsiString, functions:AnsiString, func:AnsiString, line:UInt32, errIndex:UInt32",Direct-Preceding
?LogTopNErrors@TracingFailureCache@@QEAAXK@Z,0x1800e1c02,Microsoft.Windows.MediaFoundation.CallStack,{53CC8A8B-3182-5101-7405-8DFC7E5F313E},MFCallstackTruncated,2,0x400000000000,"MFMediaTelemetrySessionID:GUID, MFMediaTelemetrySessionInstance:UInt32, ver:AnsiString, component:AnsiString, hash:AnsiString, res:Int32(HResult), errTime:HexInt64, errCount:UInt32, modules:AnsiString, functions:AnsiString, func:AnsiString, line:UInt32, errIndex:UInt32",Direct-Preceding
?LogTransformAppSvcTelemetry@CMFWinrtAppServiceActivate@@AEAAXJK@Z,0x180123ba7,Microsoft.Windows.MediaFoundation.CodecAppSvc,{FBDC4594-A4A9-5F04-AF86-7BD18A7938B9},OnAppSvcActivate,4,0x400000000001,"MFMediaTelemetrySessionID:GUID, MFMediaTelemetrySessionInstance:UInt32, InstanceId:GUID, ErrorCode:Int32(HResult), AppServiceName:UnicodeString, PackageFamilyName:UnicodeString, PackageFullName:UnicodeString, ActivateTimeInMs:UInt32",Direct-Preceding
?LogInProcTransformTelemetry@CMFWinrtInprocActivate@@AEAAXJK@Z,0x1800b3ba1,Microsoft.Windows.MediaFoundation.CodecAppSvc,{FBDC4594-A4A9-5F04-AF86-7BD18A7938B9},OnInProcActivate,4,0x400000000000,"MFMediaTelemetrySessionID:GUID, MFMediaTelemetrySessionInstance:UInt32, InstanceId:GUID, ErrorCode:Int32(HResult), ActivatableClassId:UnicodeString, PackageFamilyName:UnicodeString, PackageFullName:UnicodeString, ExtensionArchitecture:UnicodeString, MFTCategory:GUID, ActivateTimeInMs:UInt32",Direct-Preceding
?LogEMEObjectActivateTelemetry@EMEStoreObjectDllManager@Protection@Media@Windows@@AEAAXJPEAUHSTRING__@@K@Z,0x1801057d3,Microsoft.Windows.MediaFoundation.CodecAppSvc,{FBDC4594-A4A9-5F04-AF86-7BD18A7938B9},OnInProcEMEObjectActivation,4,0x400000000000,"MFMediaTelemetrySessionID:GUID, MFMediaTelemetrySessionInstance:UInt32, ErrorCode:Int32(HResult), ActivatableClassId:UnicodeString, PackageFullName:UnicodeString, PackageFamilyName:UnicodeString, ActivateTimeInMs:UInt32",Direct-Preceding
?LogEMEObjectGenerateRequestTelemetry@CMFContentDecryptionModuleSessionStoreWrapper@@AEAAXJ@Z,0x18010592c,Microsoft.Windows.MediaFoundation.CodecAppSvc,{FBDC4594-A4A9-5F04-AF86-7BD18A7938B9},OnInProcEMEObjectGenerateRequest,4,0x400000000000,"MFMediaTelemetrySessionID:GUID, MFMediaTelemetrySessionInstance:UInt32, ErrorCode:Int32(HResult), PackageFullName:UnicodeString",Direct-Preceding
?LogAppServiceTelemetry@CMFMediaSourceAppServiceConnector@@QEAAXW4_MEDIASRC_APPSVC_TELEMETRY_LOG_REASON@@J@Z,0x18011c630,Microsoft.Windows.MediaFoundation.CodecAppSvc,{FBDC4594-A4A9-5F04-AF86-7BD18A7938B9},OnMediaSrcAppSvcByteStreamCreate,4,0x400000000000,"MFMediaTelemetrySessionID:GUID, MFMediaTelemetrySessionInstance:UInt32, InstanceId:GUID, AppServiceName:UnicodeString, PackageFamilyName:UnicodeString, PackageFullName:UnicodeString, LogReason:AnsiString, ErrorCode:Int32(HResult)",Direct-Preceding
