Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VUIManagerTraceLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18000bff5,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VUIManagerTraceLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18000c123,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VUIManagerTraceLogging@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18000c421,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?ReportStopActivity@?$ActivityBase@VUIManagerTraceLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x18000e829,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?ReportStopActivity@?$ActivityBase@VUIManagerTraceLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x18000e993,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Hex), hresult:UInt32, threadId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?Stop@?$ActivityBase@VUIManagerTraceLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18000fce5,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?Stop@?$ActivityBase@VUIManagerTraceLogging@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18000fdb0,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?_SetPage@CandidateList@@AEAAJHW4CL_PAGE_CHANGE_FOCUS_BEHAVIOR@@W4CL_UI_UPDATE_TYPE@@W4CL_INTERACTION_TYPE@@W4CL_REALIZATION_FLAGS@@W4CL_PAGE_CHANGE_ANIMATION@@@Z,0x18004597a,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},CandidatePageChanged,5,0x200000000000,"editId:GUID, CurrentPage:Int32",CallGraph-d3
?_HandleManipulationCompleted@CandidateList@@AEAAXXZ,0x180043c8a,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},CandidateTouchPanEnd,5,0x200000000000,editId:GUID,CallGraph-d3
?StartActivity@HideCandidateListActivity@UIManagerTraceLoggingTelemetry@@QEAAXXZ,0x18000f932,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},HideCandidateListActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@HideCandidateListActivity@UIManagerTraceLoggingTelemetry@@MEAAXXZ,0x18000fe67,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},HideCandidateListActivity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@HideCandidateListActivity@UIManagerTraceLoggingTelemetry@@MEAAXXZ,0x18000ffef,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},HideCandidateListActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@HideCommandingUIActivity@UIManagerTraceLoggingTelemetry@@QEAAXXZ,0x18000f9ba,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},HideCommandingUIActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@HideCommandingUIActivity@UIManagerTraceLoggingTelemetry@@MEAAXXZ,0x1800100a7,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},HideCommandingUIActivity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@HideCommandingUIActivity@UIManagerTraceLoggingTelemetry@@MEAAXXZ,0x18001022f,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},HideCommandingUIActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@ShowCandidateListActivity@UIManagerTraceLoggingTelemetry@@QEAAXGAEBU_GUID@@0@Z,0x18000fb02,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},ShowCandidateListActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, langid:UInt32, classidIME:GUID, guidIMEProfile:GUID",CallGraph-d2
?StopActivity@ShowCandidateListActivity@UIManagerTraceLoggingTelemetry@@MEAAXXZ,0x1800102e7,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},ShowCandidateListActivity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@ShowCandidateListActivity@UIManagerTraceLoggingTelemetry@@MEAAXXZ,0x18001046f,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},ShowCandidateListActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@ShowCommandingUIActivity@UIManagerTraceLoggingTelemetry@@QEAAXG@Z,0x18000fbbf,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},ShowCommandingUIActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, langid:UInt32",CallGraph-d2
?StopActivity@ShowCommandingUIActivity@UIManagerTraceLoggingTelemetry@@MEAAXXZ,0x180010527,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},ShowCommandingUIActivity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@ShowCommandingUIActivity@UIManagerTraceLoggingTelemetry@@MEAAXXZ,0x1800106af,Microsoft.Windows.Desktop.TextInput.UIManager,{03E60CF9-4FA0-5DDD-7452-1D05CE7D61BD},ShowCommandingUIActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?_HandleManipulationStarted@CandidateList@@AEAAXXZ,0x180043e37,Microsoft.Windows.TextInput.LinguisticData,{864C5689-9310-594C-5CEF-000695F5ACE8},CandidateTouchPanStart,5,0x200000000000,editId:GUID,CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18003b6c1,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18003b8d3,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18003b62c,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureUsage,5,0x2,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
