Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?LogDriverInfoEvent@WindowsTelemetry@onnxruntime@@UEBAXV?$basic_string_view@DU?$char_traits@D@std@@@std@@AEBV?$basic_string_view@_WU?$char_traits@_W@std@@@4@1@Z,0x180a62988,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},DriverInfo,4,0x800000000000,"UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64, schemaVersion:UInt8, deviceClass:AnsiString, driverNames:UnicodeString, driverVersions:UnicodeString",Direct-Preceding
?LogDriverInfoEvent@WindowsTelemetry@onnxruntime@@UEBAXV?$basic_string_view@DU?$char_traits@D@std@@@std@@AEBV?$basic_string_view@_WU?$char_traits@_W@std@@@4@1@Z,0x180a629be,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},DriverInfo,4,0x800000000000,"UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64, schemaVersion:UInt8, deviceClass:AnsiString, driverNames:UnicodeString, driverVersions:UnicodeString",Direct-Preceding
?LogAutoEpSelection@WindowsTelemetry@onnxruntime@@UEBAXIAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AEBV?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@4@1@Z,0x180a626c2,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},EpAutoSelection,4,0x800000000001,"UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64, schemaVersion:UInt8, sessionId:UInt32, selectionPolicy:AnsiString, requestedExecutionProviderIds:AnsiString, availableExecutionProviderIds:AnsiString",Direct-Preceding
?LogAutoEpSelection@WindowsTelemetry@onnxruntime@@UEBAXIAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AEBV?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@4@1@Z,0x180a626e8,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},EpAutoSelection,4,0x800000000001,"UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64, schemaVersion:UInt8, sessionId:UInt32, selectionPolicy:AnsiString, requestedExecutionProviderIds:AnsiString, availableExecutionProviderIds:AnsiString",Direct-Preceding
?LogEvaluationStart@WindowsTelemetry@onnxruntime@@UEBAXI@Z,0x180a62a92,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},EvaluationStart,5,0x0,sessionId:UInt32,Direct-Preceding
?LogEvaluationStart@WindowsTelemetry@onnxruntime@@UEBAXI@Z,0x180a62ad0,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},EvaluationStart,5,0x0,sessionId:UInt32,Direct-Preceding
?LogEvaluationStop@WindowsTelemetry@onnxruntime@@UEBAXI@Z,0x180a62b92,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},EvaluationStop,5,0x0,sessionId:UInt32,Direct-Preceding
?LogEvaluationStop@WindowsTelemetry@onnxruntime@@UEBAXI@Z,0x180a62bd0,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},EvaluationStop,5,0x0,sessionId:UInt32,Direct-Preceding
?LogExecutionProviderEvent@WindowsTelemetry@onnxruntime@@UEBAXPEAU_LUID@@@Z,0x180a62cea,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},ExecutionProviderEvent,5,0x800000000000,"UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64, adapterLuidLowPart:UInt32, adapterLuidHighPart:UInt32",Direct-Preceding
?LogExecutionProviderEvent@WindowsTelemetry@onnxruntime@@UEBAXPEAU_LUID@@@Z,0x180a62d42,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},ExecutionProviderEvent,5,0x800000000000,"UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64, adapterLuidLowPart:UInt32, adapterLuidHighPart:UInt32",Direct-Preceding
?LogProcessInfo@WindowsTelemetry@onnxruntime@@UEBAXXZ,0x180a62eb1,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},ProcessInfo,4,0x800000000000,"UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64, schemaVersion:UInt8, runtimeVersion:AnsiString, isDebuggerAttached:Bool32, isRedist:Bool32, frameworkName:AnsiString",Direct-Preceding
?LogProcessInfo@WindowsTelemetry@onnxruntime@@UEBAXXZ,0x180a62f03,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},ProcessInfo,4,0x800000000000,"UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64, schemaVersion:UInt8, runtimeVersion:AnsiString, isDebuggerAttached:Bool32, isRedist:Bool32, frameworkName:AnsiString",Direct-Preceding
?LogProviderOptions@WindowsTelemetry@onnxruntime@@UEBAXAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@0_N@Z,0x180a6300a,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},ProviderOptions,4,0x800000000001,"UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64, schemaVersion:UInt8, providerId:AnsiString, providerOptions:AnsiString",Direct-Preceding
?LogProviderOptions@WindowsTelemetry@onnxruntime@@UEBAXAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@0_N@Z,0x180a6308a,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},ProviderOptions_CaptureState,4,0x1,"UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64, schemaVersion:UInt8, providerId:AnsiString, providerOptions:AnsiString",Direct-Preceding
?LogRuntimeError@WindowsTelemetry@onnxruntime@@UEBAXIAEBVStatus@common@2@PEBD1I@Z,0x180a63228,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},RuntimeError,2,0x800000000000,"UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64, schemaVersion:UInt8, hResult:Int32(HResult), sessionId:UInt32, errorCode:UInt32, errorCategory:UInt32, errorMessage:AnsiString, file:AnsiString, function:AnsiString, line:Int32",Direct-Preceding
?LogRuntimePerf@WindowsTelemetry@onnxruntime@@UEBAXII_JV?$unordered_map@_J_JU?$hash@_J@std@@U?$equal_to@_J@2@V?$allocator@U?$pair@$$CB_J_J@std@@@2@@std@@@Z,0x180a63ad1,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},RuntimePerf,5,0x800000000000,"UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64, schemaVersion:UInt8, sessionId:UInt32, totalRuns:UInt32, totalRunDuration:Int64, totalRunDurationPerBatchSize:AnsiString",Direct-Preceding
?LogRuntimePerf@WindowsTelemetry@onnxruntime@@UEBAXII_JV?$unordered_map@_J_JU?$hash@_J@std@@U?$equal_to@_J@2@V?$allocator@U?$pair@$$CB_J_J@std@@@2@@std@@@Z,0x180a63af7,Microsoft.ML.ONNXRuntime,{3A26B1FF-7484-7484-7484-15261F42614D},RuntimePerf,5,0x800000000000,"UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64, schemaVersion:UInt8, sessionId:UInt32, totalRuns:UInt32, totalRunDuration:Int64, totalRunDurationPerBatchSize:AnsiString",Direct-Preceding
