Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VPpfTraceLoggingProvider@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180009691,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VPpfTraceLoggingProvider@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800097e4,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VPpfTraceLoggingProvider@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18000b111,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$AlgoPcrBitmapAndSizeInfo@AEAIAEAGAEAGAEAIAEAI@PpfInitializeActivity@PpfTraceLoggingProvider@@QEAAXAEAIAEAG100@Z,0x18000b5fe,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},AlgoPcrBitmapAndSizeInfo,5,0x400000000000,"PpfEventLogSize:UInt32, AlgoID:UInt32, DigestSize:UInt32, SupportedDigestAlgIDBitmap:UInt32, PCRBitmap:UInt32",CallGraph-d1
?StartActivity@CleanupBitLockerReducedPcrProfileActivity@PpfTraceLoggingProvider@@QEAAXXZ,0x180036008,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},CleanupBitLockerReducedPcrProfileActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@CleanupBitLockerReducedPcrProfileActivity@PpfTraceLoggingProvider@@MEAAXXZ,0x1800360f3,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},CleanupBitLockerReducedPcrProfileActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@CleanupBitLockerReducedPcrProfileActivity@PpfTraceLoggingProvider@@MEAAXXZ,0x180036280,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},CleanupBitLockerReducedPcrProfileActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@FirmwareDeviceQueryCallbackActivity@PpfTraceLoggingProvider@@QEAAXXZ,0x180033310,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},FirmwareDeviceQueryCallbackActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@FirmwareDeviceQueryCallbackActivity@PpfTraceLoggingProvider@@MEAAXXZ,0x180033513,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},FirmwareDeviceQueryCallbackActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@FirmwareDeviceQueryCallbackActivity@PpfTraceLoggingProvider@@MEAAXXZ,0x1800336a0,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},FirmwareDeviceQueryCallbackActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@NotifySingleSubscriberActivity@PpfTraceLoggingProvider@@QEAAXPEBG0PEBDI_K@Z,0x18000ae05,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},NotifySingleSubscriberActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, FriendlyName:UnicodeString, DllName:UnicodeString, PredictionsUpdatedFnName:AnsiString, Scenario:UInt32, Usn:UInt64, PartA_PrivTags:UInt64",CallGraph-d1
?StartActivity@NotifySingleSubscriberActivity@PpfTraceLoggingProvider@@QEAAXPEBG0PEBDI_K@Z,0x18000af9f,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},NotifySingleSubscriberActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, FriendlyName:UnicodeString, DllName:UnicodeString, PredictionsUpdatedFnName:AnsiString, Scenario:UInt32, Usn:UInt64, PartA_PrivTags:UInt64",CallGraph-d1
?StopActivity@NotifySingleSubscriberActivity@PpfTraceLoggingProvider@@MEAAXXZ,0x18000b203,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},NotifySingleSubscriberActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@NotifySingleSubscriberActivity@PpfTraceLoggingProvider@@MEAAXXZ,0x18000b390,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},NotifySingleSubscriberActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@PpfCommitActivity@PpfTraceLoggingProvider@@QEAAXXZ,0x180011ecc,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},PpfCommitActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@PpfCommitActivity@PpfTraceLoggingProvider@@MEAAXXZ,0x180012543,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},PpfCommitActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@PpfCommitActivity@PpfTraceLoggingProvider@@MEAAXXZ,0x1800126d0,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},PpfCommitActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StopActivity@PpfCommitActivity@PpfTraceLoggingProvider@@QEAAX_N@Z,0x1800127ef,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},PpfCommitActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, Changed:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d1
?StopActivity@PpfCommitActivity@PpfTraceLoggingProvider@@QEAAX_N@Z,0x1800129b7,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},PpfCommitActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, Changed:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d1
?StartActivity@PpfGenerateFinalPcrValuesForPpfEventLogActivity@PpfTraceLoggingProvider@@QEAAXXZ,0x180011fe8,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},PpfGenerateFinalPcrValuesForPpfEventLogActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@PpfGenerateFinalPcrValuesForPpfEventLogActivity@PpfTraceLoggingProvider@@MEAAXXZ,0x180012b23,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},PpfGenerateFinalPcrValuesForPpfEventLogActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@PpfGenerateFinalPcrValuesForPpfEventLogActivity@PpfTraceLoggingProvider@@MEAAXXZ,0x180012cb0,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},PpfGenerateFinalPcrValuesForPpfEventLogActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@PpfGetPredictionsIntActivity@PpfTraceLoggingProvider@@QEAAXXZ,0x180012104,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},PpfGetPredictionsIntActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@PpfGetPredictionsIntActivity@PpfTraceLoggingProvider@@MEAAXXZ,0x180012db3,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},PpfGetPredictionsIntActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@PpfGetPredictionsIntActivity@PpfTraceLoggingProvider@@MEAAXXZ,0x180012f40,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},PpfGetPredictionsIntActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StopActivity@PpfGetPredictionsIntActivity@PpfTraceLoggingProvider@@QEAAXIGKGPEBG_K@Z,0x1800131eb,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},PpfGetPredictionsIntActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, PcrBitmap:UInt32, AlgID:UInt16, NumPredictions:UInt32, DigestSize:UInt16, AllTransformNames:UnicodeString, Usn:UInt64, PartA_PrivTags:UInt64",CallGraph-d1
?StopActivity@PpfGetPredictionsIntActivity@PpfTraceLoggingProvider@@QEAAXIGKGPEBG_K@Z,0x180013362,Microsoft.Windows.Security.Pcrpf,{8334C027-3D06-5985-F28A-F25EA6DF6F7E},PpfGetPredictionsIntActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, PcrBitmap:UInt32, AlgID:UInt16, NumPredictions:UInt32, DigestSize:UInt16, AllTransformNames:UnicodeString, Usn:UInt64, PartA_PrivTags:UInt64",CallGraph-d1
