Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
AssignS0IdleSettings,0x140001f77,Microsoft.Windows.Pluton.Driver.Intel,{3E9EFE67-8226-5462-2FFE-4BE381C8E03B},DriverInit,4,0x400000000000,"Function Name:AnsiString, File Name:AnsiString, File Line#:Int32, status:UInt32(NTStatus), Message:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
DriverEntry,0x14000d1d3,Microsoft.Windows.Pluton.Driver.Intel,{3E9EFE67-8226-5462-2FFE-4BE381C8E03B},DriverInit,4,0x400000000000,"Function Name:AnsiString, File Name:AnsiString, File Line#:Int32, status:UInt32(NTStatus), Message:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
GetDeviceHardwareId,0x14000174c,Microsoft.Windows.Pluton.Driver.Intel,{3E9EFE67-8226-5462-2FFE-4BE381C8E03B},DriverInit,4,0x400000000000,"Function Name:AnsiString, File Name:AnsiString, File Line#:Int32, status:UInt32(NTStatus), Message:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
GetDeviceHardwareId,0x140001818,Microsoft.Windows.Pluton.Driver.Intel,{3E9EFE67-8226-5462-2FFE-4BE381C8E03B},DriverInit,4,0x400000000000,"Function Name:AnsiString, File Name:AnsiString, File Line#:Int32, status:UInt32(NTStatus), Message:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
IpseCreateDevice,0x14000b210,Microsoft.Windows.Pluton.Driver.Intel,{3E9EFE67-8226-5462-2FFE-4BE381C8E03B},DriverInit,4,0x400000000000,"Function Name:AnsiString, File Name:AnsiString, File Line#:Int32, status:UInt32(NTStatus), Message:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
IpseCreateDevice,0x14000b2f2,Microsoft.Windows.Pluton.Driver.Intel,{3E9EFE67-8226-5462-2FFE-4BE381C8E03B},DriverInit,4,0x400000000000,"Function Name:AnsiString, File Name:AnsiString, File Line#:Int32, status:UInt32(NTStatus), Message:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
IpseCreateDevice,0x14000b35b,Microsoft.Windows.Pluton.Driver.Intel,{3E9EFE67-8226-5462-2FFE-4BE381C8E03B},DriverInit,4,0x400000000000,"Function Name:AnsiString, File Name:AnsiString, File Line#:Int32, status:UInt32(NTStatus), Message:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
IpseCreateDevice,0x14000b3d1,Microsoft.Windows.Pluton.Driver.Intel,{3E9EFE67-8226-5462-2FFE-4BE381C8E03B},DriverInit,4,0x400000000000,"Function Name:AnsiString, File Name:AnsiString, File Line#:Int32, status:UInt32(NTStatus), Message:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
IpseCreateDevice,0x14000b560,Microsoft.Windows.Pluton.Driver.Intel,{3E9EFE67-8226-5462-2FFE-4BE381C8E03B},DriverInit,4,0x400000000000,"Function Name:AnsiString, File Name:AnsiString, File Line#:Int32, status:UInt32(NTStatus), Message:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
IpseCreateDevice,0x14000b60b,Microsoft.Windows.Pluton.Driver.Intel,{3E9EFE67-8226-5462-2FFE-4BE381C8E03B},DriverInit,4,0x400000000000,"Function Name:AnsiString, File Name:AnsiString, File Line#:Int32, status:UInt32(NTStatus), Message:AnsiString, PartA_PrivTags:UInt64",Direct-Preceding
