Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VAdmxIngestionTraceProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180076af5,Microsoft.Windows.DeviceManagement.AdmxIngestion,{64E05266-27B6-4F6B-AB9E-AB7CC9497089},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VAdmxIngestionTraceProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180076c3d,Microsoft.Windows.DeviceManagement.AdmxIngestion,{64E05266-27B6-4F6B-AB9E-AB7CC9497089},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StartActivity@AdmxIngestionStatus@AdmxIngestionTraceProvider@@QEAAXPEBG@Z,0x180078285,Microsoft.Windows.DeviceManagement.AdmxIngestion,{64E05266-27B6-4F6B-AB9E-AB7CC9497089},AdmxIngestionStatus,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, Mode:UnicodeString, __TlgCV__:AnsiString",CallGraph-d2
?Stop@AdmxIngestionStatus@AdmxIngestionTraceProvider@@QEAAXPEBG00KK@Z,0x180078557,Microsoft.Windows.DeviceManagement.AdmxIngestion,{64E05266-27B6-4F6B-AB9E-AB7CC9497089},AdmxIngestionStatus,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, AppName:UnicodeString, SettingType:UnicodeString, FileUid:UnicodeString, Policies:UInt32, Status:UInt32, __TlgCV__:AnsiString",CallGraph-d2
?Stop@AdmxIngestionStatus@AdmxIngestionTraceProvider@@QEAAXPEBG00KK@Z,0x1800785da,Microsoft.Windows.DeviceManagement.AdmxIngestion,{64E05266-27B6-4F6B-AB9E-AB7CC9497089},AdmxIngestionStatus,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, AppName:UnicodeString, SettingType:UnicodeString, FileUid:UnicodeString, Policies:UInt32, Status:UInt32, __TlgCV__:AnsiString",CallGraph-d2
?StopActivity@AdmxIngestionStatus@AdmxIngestionTraceProvider@@MEAAXXZ,0x1800786f2,Microsoft.Windows.DeviceManagement.AdmxIngestion,{64E05266-27B6-4F6B-AB9E-AB7CC9497089},AdmxIngestionStatus,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@AdmxIngestionStatus@AdmxIngestionTraceProvider@@MEAAXXZ,0x180078857,Microsoft.Windows.DeviceManagement.AdmxIngestion,{64E05266-27B6-4F6B-AB9E-AB7CC9497089},AdmxIngestionStatus,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?CircularReferencingInCategories_@AdmxIngestionTraceProvider@@QEAAXPEBG0@Z,0x180079847,Microsoft.Windows.DeviceManagement.AdmxIngestion,{64E05266-27B6-4F6B-AB9E-AB7CC9497089},Circular dependency in ADMX categories,5,0x0,"category:UnicodeString, parentCategory:UnicodeString, __TlgCV__:AnsiString",CallGraph-d2
?DeleteAdmxDataFailedSinceAreaIsSet_@AdmxIngestionTraceProvider@@QEAAXPEBGJ@Z,0x180075b04,Microsoft.Windows.DeviceManagement.AdmxIngestion,{64E05266-27B6-4F6B-AB9E-AB7CC9497089},Delete ADMX Metadata,5,0x0,"HResult:Int32(HResult), AreaName:UnicodeString, __TlgCV__:AnsiString",CallGraph-d2
?DoesNotContainRequiredAttribute_@AdmxIngestionTraceProvider@@QEAAXPEBG0PEAUIXmlReader@@@Z,0x18007faf7,Microsoft.Windows.DeviceManagement.AdmxIngestion,{64E05266-27B6-4F6B-AB9E-AB7CC9497089},DoesNotContainRequiredAttribute,5,0x0,"TagName:UnicodeString, MissingAttribute:UnicodeString, LineNumber:UInt32, LinePosition:UInt32, __TlgCV__:AnsiString",CallGraph-d2
