Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?BitsCalledDuringSystemSetup_@CTelemetry@@QEAAXPEBG@Z,0x1800a7b3f,Microsoft-Windows-BITS-Client,{E021C29E-7473-4952-B897-618C19A78A41},BitsCalledDuringSystemSetup,5,0x200000000000,callerServiceName:UnicodeString,CallGraph-d1
?CrmAPIFailure_@CTelemetry@@QEAAXPEBGJ@Z,0x1800edf3f,Microsoft-Windows-BITS-Client,{E021C29E-7473-4952-B897-618C19A78A41},CrmAPIFailure,5,0x200000000000,"apiName:UnicodeString, hresult:Int32(HResult)",CallGraph-d1
?DatabaseCorruptionDetected_@CTelemetry@@QEAAXJW4MANAGER_STATE@@@Z,0x1800a7f7b,Microsoft-Windows-BITS-Client,{E021C29E-7473-4952-B897-618C19A78A41},DatabaseCorruptionDetected,5,0x200000000000,"hresult:Int32(HResult), serviceState:UnicodeString",CallGraph-d1
?DatabaseFailure_@CTelemetry@@QEAAXPEBDHJW4MANAGER_STATE@@@Z,0x1800e30f5,Microsoft-Windows-BITS-Client,{E021C29E-7473-4952-B897-618C19A78A41},DatabaseFailure,5,0x200000000000,"functionName:AnsiString, lineNumber:Int64, hresult:Int32(HResult), serviceState:UnicodeString",CallGraph-d1
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x1800a3d45,Microsoft-Windows-BITS-Client,{E021C29E-7473-4952-B897-618C19A78A41},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x1800a3f07,Microsoft-Windows-BITS-Client,{E021C29E-7473-4952-B897-618C19A78A41},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",GlobalFallback
?FileTransferStartedOrResumed_@CTelemetry@@QEAAXPEBG0AEBU_GUID@@W4BG_JOB_TYPE@@1_K3W4PROTOCOL_TYPE@@_N505@Z,0x1800455e3,Microsoft-Windows-BITS-Client,{E021C29E-7473-4952-B897-618C19A78A41},FileTransferStartedOrResumed,5,0x0,"jobName:UnicodeString, processPath:UnicodeString, jobId:GUID, jobType:UnicodeString, transferId:GUID, bytesToTransfer:UInt64, bytesTransferred:UInt64, protocolType:UnicodeString, isThrottled:UInt8(Boolean), isUsingBranchCache:UInt8(Boolean), isLowPriorityTcpEnabled:UInt8(Boolean), appUserModelId:UnicodeString",CallGraph-d1
?JobBlockedByPolicy_@CTelemetry@@QEAAXPEBG0AEBU_GUID@@W4BG_JOB_TYPE@@JKKKW4BG_JOB_PRIORITY@@_N0AEBUSmePolicyID@@AEBUSmePolicyEvaluation@@@Z,0x1800d114a,Microsoft-Windows-BITS-Client,{E021C29E-7473-4952-B897-618C19A78A41},JobBlockedByPolicy,5,0x400000000000,"jobName:UnicodeString, processPath:UnicodeString, jobId:GUID, jobType:UnicodeString, hresult:Int32(HResult), transferPolicy:UInt32, powerPolicy:UInt32, mediaRestrictions:UInt32, jobPriority:UnicodeString, interruptiveUIState:Bool32, appUserModelId:UnicodeString, crmClientId:Int32, crmActivityId:Int32, smePolicyStatus:UnicodeString, smePolicyBlockingReasons:HexInt32",CallGraph-d1
?JobCreated_@CTelemetry@@QEAAXPEBG0AEBU_GUID@@W4BG_JOB_TYPE@@0@Z,0x1800451f2,Microsoft-Windows-BITS-Client,{E021C29E-7473-4952-B897-618C19A78A41},JobCreated,5,0x0,"jobName:UnicodeString, processPath:UnicodeString, jobId:GUID, jobType:UnicodeString, appUserModelId:UnicodeString",CallGraph-d1
?JobCreated_@CTelemetry@@QEAAXPEBG0AEBU_GUID@@W4BG_JOB_TYPE@@0@Z,0x180045231,Microsoft-Windows-BITS-Client,{E021C29E-7473-4952-B897-618C19A78A41},JobCreated,5,0x0,"jobName:UnicodeString, processPath:UnicodeString, jobId:GUID, jobType:UnicodeString, appUserModelId:UnicodeString",CallGraph-d1
