Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?WriteCredentialPlumbingEvent@@YAXKU_GUID@@@Z,0x18005b991,EAPRasTlsEvents,{06C071F2-6C59-5D55-6B31-1578DD063DDC},CredentialPlumbing,5,0x200000000000,"resultCode:UInt64, interfaceGuid:GUID",Direct-Preceding
?WriteCredentialUnPlumbingEvent@@YAXKKU_GUID@@@Z,0x18005ba48,EAPRasTlsEvents,{06C071F2-6C59-5D55-6B31-1578DD063DDC},CredentialUnPlumbing,5,0x200000000000,"credentialType:UInt64, resultCode:UInt64, interfaceGuid:GUID",Direct-Preceding
?WriteTlsAuthFailEvent@@YAXPEAU_EAPTLS_CONTROL_BLOCK@@K@Z,0x18005bcd0,EAPRasTlsEvents,{06C071F2-6C59-5D55-6B31-1578DD063DDC},EAPTLSAuthFail,5,0x200000000000,"eapOuterMethod:UInt64, isFastReconnected:Bool32, eapTLSRawResultCode:UInt64, interfaceGuid:GUID, authResultCode:UInt64",Direct-Preceding
?WriteTlsAuthSuccessEvent@@YAXPEAU_EAPTLS_CONTROL_BLOCK@@@Z,0x18005c17f,EAPRasTlsEvents,{06C071F2-6C59-5D55-6B31-1578DD063DDC},EAPTLSAuthPass,5,0x200000000000,"eapOuterMethod:UInt64, isFastReconnected:Bool32, interfaceGuid:GUID, authResultCode:UInt64",Direct-Preceding
?WriteTlsTraceLoggingEvent@@YAXPEAU_EAPTLS_CONTROL_BLOCK@@EH@Z,0x18005c2b9,EAPRasTlsEvents,{06C071F2-6C59-5D55-6B31-1578DD063DDC},EAPTLSAuthResult,5,0x200000000000,"eapOuterMethod:UInt64, isOuterMethodPassed:Bool32, isFastReconnected:Bool32, interfaceGuid:GUID, eapPacket:UInt64, authResultCode:UInt64",Direct-Preceding
?WritePeapAuthFailEvent@@YAXPEAU_PEAP_CONTROL_BLOCK@@K@Z,0x18005bb73,EAPRasTlsEvents,{06C071F2-6C59-5D55-6B31-1578DD063DDC},PEAPAuthFail,5,0x200000000000,"eapOuterMethod:UInt64, eapInnerMethod:UInt64, isFastReconnectEnabled:Bool32, isFastReconnected:Bool32, interfaceGuid:GUID, authResultCode:UInt64",Direct-Preceding
?WritePeapTraceLoggingEvent@@YAXPEAU_PEAP_CONTROL_BLOCK@@EK@Z,0x1800338e5,EAPRasTlsEvents,{06C071F2-6C59-5D55-6B31-1578DD063DDC},PEAPAuthResult,5,0x200000000000,"eapOuterMethod:UInt64, eapInnerMethod:UInt64, isOuterMethodPassed:Bool32, isInnerMethodPassed:Bool32, isInnerEAPOptional:Bool32, isFastReconnectEnabled:Bool32, isFastReconnected:Bool32, interfaceGuid:GUID, eapPacket:UInt64, authResultCode:UInt64",Direct-Preceding
?WriteSSORegKeyValueEvent@@YAXHU_GUID@@@Z,0x180069c50,EapCredEvents,{06C071F2-6C59-5D55-6B31-1578DD063DDC},EAPSSORegKey,5,0x200000000000,"isFeatureEnabled:Bool32, interfaceGuid:GUID",Direct-Preceding
?EAPAuthenticationResultAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@JPEBGJ@Z,0x180051fcf,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},EAPAuthenticationResultAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, authenticationResult:Int32(HResult), reason:UnicodeString, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?EAPCreateCertificateListAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@IIIIIPEBG1J@Z,0x18002cd90,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},EAPCreateCertificateListAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, selected:UInt32, skippedDueToFailure:UInt32, skippedDidNotSatisfyFilters:UInt32, skippedNotValid:UInt32, totalConsidered:UInt32, storeName:UnicodeString, storeType:UnicodeString, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d2
?EAPTlsBeginAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@J@Z,0x18002d008,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},EAPTlsBeginAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d1
?EAPTlsBeginAction@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@J@Z,0x18002d030,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},EAPTlsBeginAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, result:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d1
?EAPTlsEndEvent@GetConnected@NetworkingTriageScenario@@SAXAEBURequiredFields@12@@Z,0x18002d1ac,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},EAPTlsEndEvent,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
?TlsBasedMethodCompletion@EapHostTelemetry@@SAXQEBD_NW4EapHostTelemetryTlsVersion@@1@Z,0x18002f157,Microsoft.Windows.Networking.EAPPHost,{745976BE-5E09-5C76-EABD-76C93C9212D2},TlsBasedMethodCompletion,5,0x400000000000,"methodName:AnsiString, convergedTlsStack:UInt8(Boolean), tlsVersionUsed:UInt32, authenticationSuccessful:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d1
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18005a3cd,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18005a58f,Unknown,Unknown,FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Unresolved
