Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
PfXpLogDecompressScenario,0x1800239a6,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},ALPFDecompressScenario,5,0x0,"CompressedSize:UInt32, DecompressedSize:UInt32, Result:UInt32",Direct-Preceding
PfIuCheckAndEmitHistoryMeasures,0x180019860,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},IntelligentUpkeepDailySummary,4,0x400000000000,"Date:SystemTime, PreviousDataMissing:Bool32, SummaryArray:UInt16[N], PartA_PrivTags:UInt64",Direct-Preceding
PfApLaunchLogPostLaunchAppFail,0x18002b629,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},PfApPrelaunchableAppFailLimitHit,5,0x0,"AUMID:UnicodeString, SecondsSinceLastSwitch:UInt32",Direct-Preceding
PfApLaunchLogAppStateChange,0x18002b4a8,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},PfApPrelaunchableAppStateChange,5,0x400000000000,"AppNameKey:HexInt32, AUMID:UnicodeString, OldState:UInt32, NewState:UInt32, Reason:UInt32",Direct-Preceding
PfApLaunchLogAppStateChange,0x18002b502,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},PfApPrelaunchableAppStateChange,5,0x0,"AppNameKey:HexInt32, AUMID:UnicodeString, OldState:UInt32, NewState:UInt32, Reason:UInt32",Direct-Preceding
PfIuLogAggregatedPredictionStats,0x18001a039,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},PfIuPredictionAggregatedStats,5,0x200000000000,"State:UInt32, HistoryTrueCount:UInt32, ObservedCount:UInt32, ActualTrueCount:UInt32, ActualFalseCount:UInt32",Direct-Preceding
PfIuLogPredictionStats,0x18001a17b,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},PfIuPredictionStats,5,0x400000000000,"State:UInt32, HistoryTrueCount:UInt32, MissingDataCount:UInt32, ActualState:Bool32",Direct-Preceding
PfIuCheckAndEmitHistoryMeasures,0x18001996c,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},PfIu_UpdateLastMeasureTimeFailed,2,0x0,"LocalMeasureTime:SystemTime, ErrorCode:UInt32(Win32Error)",Direct-Preceding
EcbTraceLogTelemetryBootStatistics,0x18006030a,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},PfRbBootStatistics,4,0x400000000000,"BytesMissedNotInPlan:UInt64, BytesMissedPartiallyInPlan:UInt64, BytesMissedTooLarge:UInt64, BytesHit:UInt64, BytesPrefetched:UInt64, MissedNotInPlanCount:UInt32, MissedPartiallyInPlanCount:UInt32, MissedTooLargeCount:UInt32, HitCount:UInt32, PrefetchReadCount:UInt32, HistoryCount:UInt32, PlanAge:UInt32, Flags:UInt32, SyncPhaseIoBytes:UInt64, SyncPhaseIoCount:UInt32, SyncPhaseDurationUs:UInt32, PostSyncPhasePendCount:UInt32, PartA_PrivTags:UInt64",Direct-Preceding
?RdbLogCacheCreation@@YAXPEAU_RDB_DEVICE_ACCESS_INFO@@KKPEAU_RDB_REGISTRY_DATA@@W4_STORAGE_BUS_TYPE@@W4_DVC_FILE_SYSTEM_TYPE@@K@Z,0x1800138da,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},RdbCacheCreation,5,0x400000000000,"ProductName:UnicodeString, DeviceSizeMb:UInt32, CacheSizeMb:UInt32, ReadSpeedKBs:UInt32, WriteSpeedKBs:UInt32, BusType:UInt32, FsType:UInt32, Flags:HexInt32",Direct-Preceding
