Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?RtAdapterQueryChipType@@YA_NPEAU_RT_ADAPTER@@PEAW4_RT_CHIP_TYPE@@@Z,0x14002c16a,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},ChipInfo,5,0x0,"macVer:UInt32, revId:UInt32",SingleProvider
RtInitializeChipType,0x140034805,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},ChipType,5,0x0,adapter->ChipType:UInt32,SingleProvider
RtGetResources,0x1400341ed,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},CmResourceTypeInterrupt,5,0x0,"Interrupt level::HexInt32, Vector::HexInt32",SingleProvider
RtGetResources,0x14003405d,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},CmResourceTypePort,5,0x0,"Memory mapped CSR: :HexInt64, Length: :UInt32",SingleProvider
RtGetResources,0x140034150,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},CmResourceTypePort,5,0x0,"Memory mapped CSR: :HexInt64, Length: :UInt32",SingleProvider
RtGetResources,0x1400342fa,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},CmResourceTypePort,5,0x0,"I/O mapped CSR: :HexInt32, Length: :UInt32",SingleProvider
_RtGetAutoloadMediaType,0x1400322a7,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},EepromId,4,0x0,"eepromId:UInt32, pciId:UInt32",SingleProvider
RtPrintSystemStateD0Exit,0x140060271,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},Exit D0 ,5,0x0,"SysPowerAction: :HexInt32, TargetState: :HexInt32",SingleProvider
?ClearAllRssRegisters@@YAXPEAU_RT_ADAPTER@@@Z,0x14001ce14,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?ClearAllWPDRegisters@@YAXPEAU_RT_ADAPTER@@@Z,0x14001da61,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?ClkReqChange@@YAXPEAU_RT_ADAPTER@@E@Z,0x140022f9a,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?Dash2CmacFillTxRxDescAddress@@YAXPEAU_RT_ADAPTER@@@Z,0x140001d58,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?Dash2CmacHwReset@@YAXPEAU_RT_ADAPTER@@@Z,0x140001ec4,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?Dash2DisableCmacInterrupt@@YAXPEAU_RT_ADAPTER@@@Z,0x14000202c,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?Dash2DisableRx@@YAXPEAU_RT_ADAPTER@@@Z,0x1400020e8,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?Dash2DisableTx@@YAXPEAU_RT_ADAPTER@@@Z,0x1400021d4,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?Dash2DrvInformOobReInit@@YAXPEAU_RT_ADAPTER@@@Z,0x140002338,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?Dash2DrvInformOobToStopCmac@@YAXPEAU_RT_ADAPTER@@@Z,0x1400023fc,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?Dash2DrvReInit@@YAXPEAU_RT_ADAPTER@@@Z,0x1400024c8,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?Dash2EnableCmacInterrupt@@YAXPEAU_RT_ADAPTER@@E@Z,0x140002653,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?Dash2EnableRx@@YAXPEAU_RT_ADAPTER@@@Z,0x140002714,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?Dash2EnableTx@@YAXPEAU_RT_ADAPTER@@@Z,0x1400027f8,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?Dash2ResetTx@@YAXPEAU_RT_ADAPTER@@@Z,0x1400028dc,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?Dash2WriteTxPollingBit@@YAXPEAU_RT_ADAPTER@@@Z,0x140002990,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableD0SpeedUp@@YAXPEAU_RT_ADAPTER@@@Z,0x140023455,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableDash@@YAXPEAU_RT_ADAPTER@@@Z,0x140002cb0,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableDashEp@@YAXPEAU_RT_ADAPTER@@@Z,0x140002d68,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableDashFp@@YAXPEAU_RT_ADAPTER@@@Z,0x140002ef7,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableEEE@@YAXPEAU_RT_ADAPTER@@@Z,0x140042139,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableEEELed@@YAXPEAU_RT_ADAPTER@@@Z,0x14004279f,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableEEEPlus@@YAXPEAU_RT_ADAPTER@@@Z,0x140042905,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableGigaLite@@YAXPEAU_RT_ADAPTER@@@Z,0x140042a2b,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableHwAspmClkReqLock@@YAXPEAU_RT_ADAPTER@@@Z,0x140037fe4,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableHwAspmLock@@YAXPEAU_RT_ADAPTER@@@Z,0x140038091,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableHwClkReqLock@@YAXPEAU_RT_ADAPTER@@@Z,0x140038145,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableHwForceClkEn@@YAXPEAU_RT_ADAPTER@@@Z,0x1400381f9,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableHwPPSW@@YAXPEAU_RT_ADAPTER@@@Z,0x140023614,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableLinkDownWakeUp@@YAXPEAU_RT_ADAPTER@@@Z,0x140023759,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableLinkUpWakeUp@@YAXPEAU_RT_ADAPTER@@@Z,0x14002380c,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableMcu@@YAXPEAU_RT_ADAPTER@@@Z,0x1400382bd,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableMcuBPs@@YAXPEAU_RT_ADAPTER@@@Z,0x1400383c8,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableNicAspm@@YAXPEAU_RT_ADAPTER@@@Z,0x140023a6c,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DisableUpsMode@@YAXPEAU_RT_ADAPTER@@@Z,0x140023b91,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?DrvTakeOverInBand@@YAXPEAU_RT_ADAPTER@@E@Z,0x140003060,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?EnableD0SpeedUp@@YAXPEAU_RT_ADAPTER@@@Z,0x140023f46,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?EnableDash@@YAXPEAU_RT_ADAPTER@@@Z,0x140003138,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?EnableDashEp@@YAXPEAU_RT_ADAPTER@@@Z,0x1400031f0,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?EnableDashFp@@YAXPEAU_RT_ADAPTER@@@Z,0x1400032aa,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?EnableEEE@@YAXPEAU_RT_ADAPTER@@@Z,0x140042d2e,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?EnableEEELed@@YAXPEAU_RT_ADAPTER@@@Z,0x1400437fc,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?EnableEEEPlus@@YAXPEAU_RT_ADAPTER@@@Z,0x140043961,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?EnableGigaLite@@YAXPEAU_RT_ADAPTER@@@Z,0x140043ac7,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?EnableHwAspmClkReqLock@@YAXPEAU_RT_ADAPTER@@@Z,0x140038624,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
?EnableHwPPSW@@YAXPEAU_RT_ADAPTER@@@Z,0x140024100,Realtek.Trace.Provider,{10EC8168-10EC-8168-9E03-D3CB2AA2E03E},FunctionEntry,5,0x0,Function:UnicodeString,SingleProvider
