Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
DriverEntry,0x14003fece,RealtekWindowsWiFi,{6F651B84-F358-4486-BF42-A8D60D911DC6},RealtekWDIDriverTraceLogging,4,0x0,"pDriverObject:HexInt64, RegistryPath:CountedString",Direct-Preceding
N6PciWdiAllocateAdapter,0x140052551,RealtekWindowsWiFi,{6F651B84-F358-4486-BF42-A8D60D911DC6},WDI Allocate Adapter,4,0x0,UE WDI Version:HexInt32,Direct-Preceding
N6PciWdiAllocateAdapter,0x140052cbf,RealtekWindowsWiFi,{6F651B84-F358-4486-BF42-A8D60D911DC6},WDI Allocate Adapter Failure,1,0x0,Status:HexInt32,Direct-Preceding
N6PciWdiCloseAdapter,0x140052f1e,RealtekWindowsWiFi,{6F651B84-F358-4486-BF42-A8D60D911DC6},WDI Close Adapter,4,0x0,pAdapter:HexInt64,Direct-Preceding
N6PciWdiFreeAdapter,0x140053048,RealtekWindowsWiFi,{6F651B84-F358-4486-BF42-A8D60D911DC6},WDI Free Adapter,4,0x0,Adapter:HexInt64,Direct-Preceding
N6WdiHandleOidRequest,0x140058885,RealtekWindowsWiFi,{6F651B84-F358-4486-BF42-A8D60D911DC6},WDI HandleOidRequest,4,0x0,Oid::HexInt32,Direct-Preceding
N6PciWdi_HangDiagnose,0x1400544a3,RealtekWindowsWiFi,{6F651B84-F358-4486-BF42-A8D60D911DC6},WDI HangDiagnose,2,0x0,"DiagnoseLevel:UInt32, BufferSize:UInt32",Direct-Preceding
N6PciWdi_Mgnt_SetPower,0x1400546b6,RealtekWindowsWiFi,{6F651B84-F358-4486-BF42-A8D60D911DC6},WDI Set Power,4,0x0,"NewPowerState:UInt32, CurrentPowerState:UInt32",Direct-Preceding
N6PciWdi_Mgnt_SetPower,0x140054e2d,RealtekWindowsWiFi,{6F651B84-F358-4486-BF42-A8D60D911DC6},WDI Set Power,4,0x0,ndisStatus:HexInt32,Direct-Preceding
N6PciWdiStartOperation,0x14005328b,RealtekWindowsWiFi,{6F651B84-F358-4486-BF42-A8D60D911DC6},WDI Start Operation,4,0x0,pAdapter:HexInt64,Direct-Preceding
N6PciWdiStopOperation,0x1400534a1,RealtekWindowsWiFi,{6F651B84-F358-4486-BF42-A8D60D911DC6},WDI Stop Operation,4,0x0,pAdapter:HexInt64,Direct-Preceding
N6PciWdiTalTxRxDeinitialize,0x140053660,RealtekWindowsWiFi,{6F651B84-F358-4486-BF42-A8D60D911DC6},WDI TalTxRxDeinitialize,4,0x0,pAdapter:HexInt64,Direct-Preceding
N6PciWdiTalTxRxInitialize,0x14005379c,RealtekWindowsWiFi,{6F651B84-F358-4486-BF42-A8D60D911DC6},WDI TalTxRxInitialize,4,0x0,Adapter:HexInt64,Direct-Preceding
