Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
PfXpLogDecompressScenario,0x18001bc1a,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},ALPFDecompressScenario,5,0x0,"CompressedSize:UInt32, DecompressedSize:UInt32, Result:UInt32",Direct-Preceding
PfXpLogDecompressScenario,0x18001bc55,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},ALPFDecompressScenario,5,0x0,"CompressedSize:UInt32, DecompressedSize:UInt32, Result:UInt32",Direct-Preceding
PfXpLogCleanupPrefetchDir,0x18007be56,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},ALPFDirectoryCleanupInfo,5,0x0,"FileCount:UInt32, SizeKb:UInt32, MinDeletedScenAge:UInt32, PrefetchFilesReduction:UInt32, Result:UInt32",Direct-Preceding
PfXpContextGetTraces,0x18004e0c9,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},ALPFLaunchPatternChange,5,0x0,"QueryBuffer->ScenarioId.ScenName:UnicodeString, QueryBuffer->ScenarioId.HashId:UInt32",Direct-Preceding
PfXpLogProcessTrace,0x180073e45,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},ALPFProcessTraceAggregate,5,0x0,"EventCount:Int64, PrefetchedPagesSum:Int64, HitPagesSum:Int64, IgnoredPagesSum:Int64, MissedPagesSum:Int64, NewPagesSum:Int64, PrefetchedPagesMax:Int64, HitPagesMax:Int64, IgnoredPagesMax:Int64, MissedPagesMax:Int64, NewPagesMax:Int64, SensitivityMax:Int64, PrefetchedPagesMin:Int64, HitPagesMin:Int64, IgnoredPagesMin:Int64, MissedPagesMin:Int64, NewPagesMin:Int64, SensitivityMax:Int64, SensitivityMin:Int64, SensitivitySum:Int64, NumLaunchesMax:Int64, NumLaunchesMin:Int64, PartA_PrivTags:UInt64, ScenName:UnicodeString, HashId:UInt32, ErrorCode:UInt32, PrefetchParameter:UInt32, OverridePrefetchParameter:UInt32, ModernApp:Bool32, AppVersionMajor:UInt32, AppVersionMinor:UInt32, AppVersionRevision:UInt32, AppVersionBuild:UInt32",Direct-Preceding
PfXpLogUpdateOptimalLayout,0x18007bf2b,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},ALPFUpdateOptimalLayout,5,0x0,"LastLayoutTime:FileTime, LayoutChanged:Bool32, LayoutFileSize:UInt32, DefraggerLaunched:Bool32, Result:UInt32",Direct-Preceding
HbDrvStart,0x1800b20ca,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},HybridDrive_AttachState,4,0x400000000000,"IsSupported:HexInt32, AttachState:HexInt32, ErrorCode:UInt32(Win32Error), PartA_PrivTags:UInt64",Direct-Preceding
PfIuCheckAndEmitHistoryMeasures,0x180071524,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},IntelligentUpkeepDailySummary,4,0x400000000000,"Date:SystemTime, PreviousDataMissing:Bool32, SummaryArray:UInt16[N], PartA_PrivTags:UInt64",Direct-Preceding
PfApLaunchLogAppStart,0x18006c05f,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},PfApAppStart,5,0x400000000000,AUMID:UnicodeString,Direct-Preceding
PfApLogForegroundStateProcessActionItem,0x18005b106,Microsoft-Windows-Sysmain-Prefetch,{DE441FFA-FAFA-4495-977F-2E9D2509746D},PfApLogAppForegroundStateProcessActionItem,5,0x0,"ForegroundAppCount:Int16, SessionId:UInt32, Moniker:UnicodeString, AppId:UnicodeString, PsmKey:UnicodeString, ReceivingInput:Bool32, PreviousReceivingInput:Bool32, SubAppInFocusCount:UInt32, AppForeground:Bool32, AppForegroundChanged:Bool32",Direct-Preceding
