Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?_ParseAndBind@CTBAuthProtocol@@EEAAJPEBG@Z,0x18000737c,Microsoft.Windows.Security.TokenBroker,{077B8C4A-E425-578D-F1AC-6FDF1220FF68},CTBAuthProtocolParseAndBindInputUri,4,0x0,inputUri:UnicodeString,Direct-Preceding
?_ParseAndBind@CTBAuthProtocol@@EEAAJPEBG@Z,0x18000741d,Microsoft.Windows.Security.TokenBroker,{077B8C4A-E425-578D-F1AC-6FDF1220FF68},CTBAuthProtocolParseAndBindOutputUrl,4,0x0,outputUrl:UnicodeString,Direct-Preceding
?_ParseAndBind@CTBAuthProtocol@@EEAAJPEBG@Z,0x1800077da,Microsoft.Windows.Security.TokenBroker.BrowserSSO,{7ACF487E-104B-533E-F68A-A7E9B0431EDB},CTBAuthProtocolParseAndBind,4,0x400000000000,"HResult:Int32, isIE:UInt8, isEdge:UInt8, codePath:UnicodeString, durationMs:UInt64, URL:UnicodeString",Direct-Preceding
?_ParseAndBind@CTBAuthProtocol@@EEAAJPEBG@Z,0x18000763a,Microsoft.Windows.Security.TokenBroker.BrowserSSO,{7ACF487E-104B-533E-F68A-A7E9B0431EDB},CTBAuthProtocolParseAndBindError,2,0x400000000000,"dwCookieState:UInt32, URL:UnicodeString",Direct-Preceding
?LaunchPushCookieProcessForEdge@@YAKPEBGKPEAUINTERNET_COOKIE2@@K0@Z,0x180009728,Microsoft.Windows.Security.TokenBroker.BrowserSSO,{7ACF487E-104B-533E-F68A-A7E9B0431EDB},CreateEnvironmentBlock_Failed,2,0x0,LastError:UInt32,Direct-Preceding
?LaunchPushCookieProcessForEdge@@YAKPEBGKPEAUINTERNET_COOKIE2@@K0@Z,0x1800097ac,Microsoft.Windows.Security.TokenBroker.BrowserSSO,{7ACF487E-104B-533E-F68A-A7E9B0431EDB},EdgeSid_null_token,2,0x0,LastError:UInt32,Direct-Preceding
?LaunchPushCookieProcessForEdge@@YAKPEBGKPEAUINTERNET_COOKIE2@@K0@Z,0x1800096d2,Microsoft.Windows.Security.TokenBroker.BrowserSSO,{7ACF487E-104B-533E-F68A-A7E9B0431EDB},GetAppContainerFolderPath_Failed,2,0x0,LastError:UInt32,Direct-Preceding
?LaunchPushCookieProcessAtLowIL@@YAKPEAGHPEBG@Z,0x180009365,Microsoft.Windows.Security.TokenBroker.BrowserSSO,{7ACF487E-104B-533E-F68A-A7E9B0431EDB},LaunchPushCookieProcessAtLowILResult,4,0x200000000000,"dwError:UInt32, codePath:UnicodeString, url:UnicodeString",Direct-Preceding
?LaunchPushCookieProcessForEdge@@YAKPEBGKPEAUINTERNET_COOKIE2@@K0@Z,0x18000966c,Microsoft.Windows.Security.TokenBroker.BrowserSSO,{7ACF487E-104B-533E-F68A-A7E9B0431EDB},LaunchPushCookieProcessForEdgeError,2,0x400000000000,"dwError:UInt32, browserProfile:UnicodeString, requestId:UnicodeString",Direct-Preceding
?LaunchPushCookieProcessForEdge@@YAKPEBGKPEAUINTERNET_COOKIE2@@K0@Z,0x180009837,Microsoft.Windows.Security.TokenBroker.BrowserSSO,{7ACF487E-104B-533E-F68A-A7E9B0431EDB},LaunchPushCookieProcessForEdgeParentAcTokenIsNullError,2,0x400000000000,"dwError:UInt32, browserProfile:UnicodeString, requestId:UnicodeString",Direct-Preceding
?LaunchPushCookieProcessForEdge@@YAKPEBGKPEAUINTERNET_COOKIE2@@K0@Z,0x1800098dd,Microsoft.Windows.Security.TokenBroker.BrowserSSO,{7ACF487E-104B-533E-F68A-A7E9B0431EDB},LaunchPushCookieProcessForEdgeResult,4,0x400000000000,"dwError:UInt32, codePath:UnicodeString, requestId:UnicodeString",Direct-Preceding
LookUpTableFlushComplete,0x18000c2d9,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},TlgAggregateSummary,5,0x200000000000,"PartA_PrivTags:UInt64, UtcAggParams:Struct(Boolean), Period:UInt32, MaxEvents:UInt32, Mode:UInt8, Provider:GUID, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt32, Mode:UInt8",Direct-Preceding
