Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?IsAppServerInstalled@CUtils@@SAJAEAH@Z,0x18000e161,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},AppCompat,2,0x0,"msg:AnsiString, lReturn:Int32(HResult)",Direct-Preceding
?IsAppServerInstalled@CUtils@@SAJAEAH@Z,0x18000e215,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},AppCompat,4,0x0,"msg:AnsiString, bIsAppServer:Bool32",Direct-Preceding
?IsAppServerInstalled@CUtils@@SAJAEAH@Z,0x18000e257,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},AppCompat,4,0x0,"msg:AnsiString, lReturn:Int32(HResult), bIsAppServer:Bool32, REG_TERMSRV_APPCOMPAT:UnicodeString",Direct-Preceding
?_DbgPrintMessage@@YAXHPEBDZZ,0x18000c326,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},GenericTrace,5,0x0,szOutput:AnsiString,Direct-Preceding
?_DbgPrintMessage@@YAXHPEBDZZ,0x18000c338,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},GenericTrace,5,0x0,szOutput:AnsiString,Direct-Preceding
?_DbgPrintMessage@@YAXHPEBDZZ,0x18000c34a,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},GenericTrace,1,0x0,szOutput:AnsiString,Direct-Preceding
?_DbgPrintMessage@@YAXHPEBDZZ,0x18000c35c,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},GenericTrace,2,0x0,szOutput:AnsiString,Direct-Preceding
?_DbgPrintMessage@@YAXHPEBDZZ,0x18000c36e,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},GenericTrace,3,0x0,szOutput:AnsiString,Direct-Preceding
?_DbgPrintMessage@@YAXHPEBDZZ,0x18000c380,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},GenericTrace,4,0x0,szOutput:AnsiString,Direct-Preceding
?ProcessData@CRdsAADLicensingPolicy@@UEAAJPEAPEAXPEAPEAEPEAK12PEAW4TSLicenseState@@2@Z,0x180008783,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,3,0x0,msg:AnsiString,Direct-Preceding
?ProcessData@CRdsAADLicensingPolicy@@UEAAJPEAPEAXPEAPEAEPEAK12PEAW4TSLicenseState@@2@Z,0x1800087f5,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,4,0x0,"msg:AnsiString, Status:HexInt32",Direct-Preceding
?ProcessData@CRdsAADLicensingPolicy@@UEAAJPEAPEAXPEAPEAEPEAK12PEAW4TSLicenseState@@2@Z,0x180008851,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,2,0x0,msg:AnsiString,Direct-Preceding
?ProcessData@CRdsAADLicensingPolicy@@UEAAJPEAPEAXPEAPEAEPEAK12PEAW4TSLicenseState@@2@Z,0x18000888c,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,2,0x0,"msg:AnsiString, LsStatus:HexInt32",Direct-Preceding
?ProcessData@CRdsAADLicensingPolicy@@UEAAJPEAPEAXPEAPEAEPEAK12PEAW4TSLicenseState@@2@Z,0x180008914,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,4,0x0,msg:AnsiString,Direct-Preceding
?ProcessData@CRdsAADLicensingPolicy@@UEAAJPEAPEAXPEAPEAEPEAK12PEAW4TSLicenseState@@2@Z,0x180008953,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,4,0x0,msg:AnsiString,Direct-Preceding
?ProcessData@CRdsAADLicensingPolicy@@UEAAJPEAPEAXPEAPEAEPEAK12PEAW4TSLicenseState@@2@Z,0x180008992,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,2,0x0,msg:AnsiString,Direct-Preceding
?ProcessData@CRdsAADLicensingPolicy@@UEAAJPEAPEAXPEAPEAEPEAK12PEAW4TSLicenseState@@2@Z,0x1800089dd,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,2,0x0,msg:AnsiString,Direct-Preceding
?ProcessData@CRdsAADLicensingPolicy@@UEAAJPEAPEAXPEAPEAEPEAK12PEAW4TSLicenseState@@2@Z,0x180008a07,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,2,0x0,"msg:AnsiString, LsStatus:HexInt32",Direct-Preceding
?ProcessData@CRdsAADLicensingPolicy@@UEAAJPEAPEAXPEAPEAEPEAK12PEAW4TSLicenseState@@2@Z,0x180008a95,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,2,0x0,msg:AnsiString,Direct-Preceding
?ProcessData@CRdsAADLicensingPolicy@@UEAAJPEAPEAXPEAPEAEPEAK12PEAW4TSLicenseState@@2@Z,0x180008b17,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,4,0x0,msg:AnsiString,Direct-Preceding
?ProcessData@CRdsAADLicensingPolicy@@UEAAJPEAPEAXPEAPEAEPEAK12PEAW4TSLicenseState@@2@Z,0x180008b69,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,2,0x0,msg:AnsiString,Direct-Preceding
?ProcessData@CRdsECLicensingPolicy@@UEAAJPEAPEAXPEAPEAEPEAK12PEAW4TSLicenseState@@2@Z,0x180009066,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,2,0x0,msg:AnsiString,Direct-Preceding
AADPerUserLogonHandler,0x1800085f9,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,3,0x0,msg:AnsiString,Direct-Preceding
AADPerUserLogonHandler,0x180008622,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,4,0x0,msg:AnsiString,Direct-Preceding
AADPerUserLogonHandler,0x180008652,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,3,0x0,msg:AnsiString,Direct-Preceding
AADPerUserLogonHandler,0x1800086a7,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing,4,0x0,msg:AnsiString,Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b18a,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString",Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b1fa,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,5,0x0,msg:AnsiString,Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b287,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, pszProperty:UnicodeString",Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b30f,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,5,0x0,msg:AnsiString,Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b3c1,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, pszProperty:UnicodeString",Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b448,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,5,0x0,"msg:AnsiString, pszProperty:UnicodeString",Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b505,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, pszProperty:UnicodeString",Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b57f,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,5,0x0,"msg:AnsiString, pszProperty:UnicodeString",Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b623,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, pszProperty:UnicodeString",Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b69d,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,5,0x0,"msg:AnsiString, pszProperty:UnicodeString",Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b75a,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, pszProperty:UnicodeString",Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b7d4,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,5,0x0,"msg:AnsiString, pszProperty:UnicodeString",Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b814,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, pszProperty:UnicodeString",Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b8c0,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString, pszProperty:UnicodeString",Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b936,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,5,0x0,"msg:AnsiString, pszProperty:UnicodeString",Direct-Preceding
?UpdateUserLicenseAttributes@@YAJHPEBGPEAUUSERLICENSEDATA_WIN8@@PEAG@Z,0x18001b994,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Licensing_PerUserHelper,2,0x0,"msg:AnsiString, Result:HexInt32, file:AnsiString, lineNumber:UInt32, function:AnsiString",Direct-Preceding
?Initialize@CWPPConfig@@QEAAJXZ,0x18000c71c,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Logging,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",Direct-Preceding
?Initialize@CWPPConfig@@QEAAJXZ,0x18000c7b8,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Logging,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",Direct-Preceding
?Initialize@CWPPLoggerConfig@@QEAAJPEBGPEAULoggerGuidData@@K@Z,0x18000c8ac,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Logging,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",Direct-Preceding
?ReadTraceConfig@CWPPLoggerConfig@@QEAAJXZ,0x18000cb12,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Logging,2,0x0,"msg:AnsiString, hr:Int32(HResult), szKey:UnicodeString",Direct-Preceding
?ReadTraceConfig@CWPPLoggerConfig@@QEAAJXZ,0x18000cbef,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Logging,5,0x0,"msg:AnsiString, this->m_LogFileSize:UInt64, m_szLoggerName:UnicodeString",Direct-Preceding
?ReadTraceConfig@CWPPLoggerConfig@@QEAAJXZ,0x18000cc41,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Logging,5,0x0,msg:AnsiString,Direct-Preceding
?ReadTraceConfig@CWPPLoggerConfig@@QEAAJXZ,0x18000cc7a,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Logging,5,0x0,"msg:AnsiString, this->m_LogFileSize:UInt64, m_szLoggerName:UnicodeString",Direct-Preceding
?Refresh@CWPPLoggerConfig@@QEAAJXZ,0x18000d339,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Logging,2,0x0,"msg:AnsiString, m_szLoggerName:UnicodeString, dwRet:UInt64",Direct-Preceding
?StartTraceW@CWPPLoggerConfig@@AEAAJXZ,0x18000d6d8,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Logging,2,0x0,"msg:AnsiString, this->m_LogFileSize:UInt64",Direct-Preceding
?StartTraceW@CWPPLoggerConfig@@AEAAJXZ,0x18000d73c,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},Logging,2,0x0,"msg:AnsiString, LoggerName:UnicodeString, hr:Int32(HResult), szpLogFilename:UnicodeString, m_hTrace:UInt64, MaximumFileSize:UInt64",Direct-Preceding
?GetPolicyId@@YAKXZ,0x180009da5,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},SLAPI Checks,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",Direct-Preceding
?Initialize@CSLQuery@@SAJXZ,0x18000e414,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},SLAPI Checks,3,0x0,"msg:AnsiString, hr:UInt32",GlobalFallback
?Initialize@CSLQuery@@SAJXZ,0x18000e497,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},SLAPI Checks,3,0x0,"msg:AnsiString, hr:UInt32",GlobalFallback
?Initialize@CSLQuery@@SAJXZ,0x18000e4fc,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},SLAPI Checks,3,0x0,msg:AnsiString,GlobalFallback
?Initialize@CSLQuery@@SAJXZ,0x18000e536,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},SLAPI Checks,3,0x0,msg:AnsiString,GlobalFallback
?Initialize@CSLQuery@@SAJXZ,0x18000e5a6,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},SLAPI Checks,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",GlobalFallback
?Initialize@CSLQuery@@SAJXZ,0x18000e677,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},SLAPI Checks,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",GlobalFallback
?Initialize@CSLQuery@@SAJXZ,0x18000e704,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},SLAPI Checks,3,0x0,msg:AnsiString,GlobalFallback
?Initialize@CSLQuery@@SAJXZ,0x18000e73e,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},SLAPI Checks,3,0x0,msg:AnsiString,GlobalFallback
?Initialize@CSLQuery@@SAJXZ,0x18000e7ae,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},SLAPI Checks,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",GlobalFallback
?Initialize@CSLQuery@@SAJXZ,0x18000e88b,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},SLAPI Checks,3,0x0,"msg:AnsiString, Failed:AnsiString, Result:HexInt32, function:AnsiString",GlobalFallback
?Initialize@CSLQuery@@SAJXZ,0x18000e918,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},SLAPI Checks,3,0x0,msg:AnsiString,GlobalFallback
?Initialize@CSLQuery@@SAJXZ,0x18000e952,tssrvlic,{9ED727C4-4AB6-4B66-92D7-2072E87C9124},SLAPI Checks,3,0x0,msg:AnsiString,GlobalFallback
