Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?ClassifyLCNs@CONFIG_V1@@QEAAJHK@Z,0x1801551f2,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ClassifyLCNsComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64",CallGraph-d1
?Dispatch@CONFIG@@QEAAJXZ,0x180150ab5,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ConfigDispatchComplete,5,0x400000000000,"RunGuid:GUID, Operation:UInt32, Status:UInt32(NTStatus)",CallGraph-d1
?Dispatch@CONFIG@@QEAAJXZ,0x180150987,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ConfigDispatchStart,5,0x400000000000,"RunGuid:GUID, Operation:UInt32",CallGraph-d1
?Initialize@CONFIG@@QEAAJXZ,0x180151ab6,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ConfigInitializeComplete,5,0x400000000000,"RunGuid:GUID, VolumeId:GUID, Operation:UInt32, WriteProtected:Bool32, Status:UInt32(NTStatus)",CallGraph-d1
?Initialize@CONFIG@@QEAAJXZ,0x1801518f5,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ConfigInitializeLengthInfoFailure,5,0x400000000000,"RunGuid:GUID, Status:UInt32(NTStatus)",CallGraph-d1
?Initialize@CONFIG@@QEAAJXZ,0x180151680,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ConfigInitializeOpenFailure,5,0x400000000000,"RunGuid:GUID, Status:UInt32(NTStatus)",CallGraph-d1
?Initialize@CONFIG@@QEAAJXZ,0x180151811,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ConfigInitializePartitionMapFailure,5,0x400000000000,"RunGuid:GUID, Status:UInt32(NTStatus)",CallGraph-d1
?OpenDeviceFile@CONFIG@@QEAAJV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@EPEAPEAX@Z,0x180151e37,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ConfigInitializeSectorSizeFailure,5,0x400000000000,"RunGuid:GUID, Status:UInt32(NTStatus)",CallGraph-d1
?InitializeIndex@CsalvVolumeContainer@@QEAAJPEAVCsalvTransactionContext@@PEAULcnWithChecksum@@PEAV?$vector@U_LCN_TUPLE_INFO@@V?$allocator@U_LCN_TUPLE_INFO@@@std@@@std@@@Z,0x18016df11,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ContainerIndexTablePages,5,0x400000000000,"RunGuid:GUID, ProcessedPages:UInt32, InvalidPages:UInt32",CallGraph-d1
?Execute@CFixLeaks@@UEAAKPEAUAPPLET_PARAMS@@@Z,0x180143beb,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ContainerIndexTableTraversalComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?Initialize@CsalvVolumeContainer@@QEAAJPEAVCsalvTransactionContext@@PEAVCsalvVolume@@PEAPEAULcnWithChecksum@@KPEAV?$vector@U_LCN_TUPLE_INFO@@V?$allocator@U_LCN_TUPLE_INFO@@@std@@@std@@@Z,0x18016dc6c,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ContainerTableEntryPages,5,0x400000000000,"RunGuid:GUID, ProcessedPages:UInt32, InvalidPages:UInt32",CallGraph-d1
?Execute@CFixLeaks@@UEAAKPEAUAPPLET_PARAMS@@@Z,0x18014433f,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ContainerTableLeavesTraverseComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?CopyAllFiles@CONFIG_V1@@EEAAJE@Z,0x1801557fd,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},CopyAllFilesComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, NumberOfVolumeFiles:UInt32, TotalFilesCopied:UInt64, TotalFilesScanned:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?CopyAllFiles@CONFIG_V1@@EEAAJE@Z,0x180155359,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},CopyAllFilesStart,5,0x400000000000,RunGuid:GUID,CallGraph-d1
?CopyFiles@CONFIG_V1@@EEAAJV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@E@Z,0x180155e09,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},CopyFilesComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, NumberOfFilesCopied:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?CopyFiles@CONFIG_V1@@EEAAJV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@E@Z,0x180155961,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},CopyFilesStart,5,0x400000000000,RunGuid:GUID,CallGraph-d1
?DiagnoseVolume@CONFIG_V1@@EEAAJXZ,0x180156324,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},DiagnoseVolumeComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?DiagnoseVolume@CONFIG_V1@@EEAAJXZ,0x180156042,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},DiagnoseVolumeStart,5,0x400000000000,RunGuid:GUID,CallGraph-d1
?Execute@CFixLeaks@@UEAAKPEAUAPPLET_PARAMS@@@Z,0x1801440c9,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},Enumerate MAA Complete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?EnumerateTables@CsalvVolume@@QEAAJXZ,0x18015e33e,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},EnumerateTables,5,0x400000000000,"RunGuid:GUID, TablesEnumerated:UInt64, TotalTables:UInt64, RunTimeMilliseconds:UInt64",CallGraph-d1
?FullScan@CONFIG_V1@@EEAAJXZ,0x180156743,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},FullScanComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?FullScan@CONFIG_V1@@EEAAJXZ,0x180156408,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},FullScanStart,5,0x400000000000,RunGuid:GUID,CallGraph-d1
?InteractiveConsole@CONFIG_V1@@EEAAJXZ,0x180157610,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},InteractiveConsoleComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?InteractiveConsole@CONFIG_V1@@EEAAJXZ,0x18015746b,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},InteractiveConsoleStart,5,0x400000000000,RunGuid:GUID,CallGraph-d1
?Execute@CFixLeaks@@UEAAKPEAUAPPLET_PARAMS@@@Z,0x180144c3f,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},LeakDetectionComplete,5,0x400000000000,"RunGuid:GUID, LeakedClusters:UInt64, LeakedReferenceCount:UInt64, LeaksFixed:UInt64, RunTimeMilliseconds:UInt64, LastError:UInt32(Win32Error)",CallGraph-d1
?Execute@CFixLeaks@@UEAAKPEAUAPPLET_PARAMS@@@Z,0x180142539,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},LeakDetectionStart,5,0x400000000000,RunGuid:GUID,CallGraph-d1
?ParseArgs@CFixLeaks@@UEAAKQEAPEAGJPEAUAPPLET_PARAMS@@@Z,0x180149784,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},LeakParameters,5,0x400000000000,"RunGuid:GUID, ExclusiveNoSnapshot:UInt8(Boolean), QueryRequiredSpace:UInt8(Boolean), RebuildMAA:UInt8(Boolean), DiagnoseOnly:UInt8(Boolean), Verbose:UInt8(Boolean), ThreadCount:UInt32",CallGraph-d1
?PopulateVolumeParameters@CFixLeaks@@AEAAKPEAX@Z,0x180149ab1,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},LeakVolumeParameters,5,0x400000000000,"RunGuid:GUID, MajorVersion:UInt8, MinorVersion:UInt8, BytesPerCluster:UInt32, SerialNumber:HexInt64, VolumeSize:UInt64",CallGraph-d1
?Execute@CFixLeaks@@UEAAKPEAUAPPLET_PARAMS@@@Z,0x18014367a,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ObjectTableDuplicateTraversalComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?Execute@CFixLeaks@@UEAAKPEAUAPPLET_PARAMS@@@Z,0x180143493,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ObjectTableTraversalComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?Execute@CFixLeaks@@UEAAKPEAUAPPLET_PARAMS@@@Z,0x180143eb5,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ParentChildTableTraversalComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?QuickScan@CONFIG_V1@@EEAAJXZ,0x18015808d,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},QuickScanComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?QuickScan@CONFIG_V1@@EEAAJXZ,0x180157dfe,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},QuickScanStart,5,0x400000000000,RunGuid:GUID,CallGraph-d1
?QuickScanVolume@CONFIG_V1@@QEAAJK_K@Z,0x180158695,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},QuickScanVolumeComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?QuickScanVolume@CONFIG_V1@@QEAAJK_K@Z,0x1801582e7,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},QuickScanVolumeStart,5,0x400000000000,"RunGuid:GUID, ClusterSize:UInt32, ClusterCount:UInt64",CallGraph-d1
?ScanVolumeForLCNs@CONFIG_V1@@QEAAJXZ,0x180158b81,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},ScanVolumeForLCNsComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64",CallGraph-d1
?Execute@CFixLeaks@@UEAAKPEAUAPPLET_PARAMS@@@Z,0x180143a1c,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},SchemaTableDuplicateTraversalComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?Execute@CFixLeaks@@UEAAKPEAUAPPLET_PARAMS@@@Z,0x18014384b,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},SchemaTableTraversalComplete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?GetTableInfos@CsalvVolume@@QEAAJXZ,0x18015f373,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},TableRootValidation,5,0x400000000000,"RunGuid:GUID, TableRootsValidated:UInt64, TotalTableRoots:UInt64, RunTimeMilliseconds:UInt64",CallGraph-d1
?Execute@CFixLeaks@@UEAAKPEAUAPPLET_PARAMS@@@Z,0x180144668,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},VerifyPass1Complete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
?Execute@CFixLeaks@@UEAAKPEAUAPPLET_PARAMS@@@Z,0x180144711,Microsoft.Windows.FileSystem.ReFSUtil,{F9A81F79-369B-443C-9428-FC1DD98316F6},VerifyPass1Complete,5,0x400000000000,"RunGuid:GUID, RunTimeMilliseconds:UInt64, Status:UInt32(NTStatus)",CallGraph-d1
