Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VVSSTraceLogProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180086785,Microsoft.Windows.Storage.VSSTraceLogProvider,{9122168F-2432-45F0-B91C-3AF363C149DD},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VVSSTraceLogProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800868cd,Microsoft.Windows.Storage.VSSTraceLogProvider,{9122168F-2432-45F0-B91C-3AF363C149DD},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180073f6b,Microsoft.Windows.Storage.VSSTraceLogProvider,{9122168F-2432-45F0-B91C-3AF363C149DD},ActivityStoppedAutomatically,5,0x400000000000,(none),GlobalFallback
?StartActivity@CVssRequestorActivity@CVssTelemetry@@QEAAXPEAVCVssBackupComponents@@@Z,0x18004fb71,Microsoft.Windows.Storage.VSSTraceLogProvider,{9122168F-2432-45F0-B91C-3AF363C149DD},CVssRequestorActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?Stop@CVssRequestorActivity@CVssTelemetry@@QEAAXIPEAGU_GUID@@IJJ@Z,0x180039a8e,Microsoft.Windows.Storage.VSSTraceLogProvider,{9122168F-2432-45F0-B91C-3AF363C149DD},CVssRequestorActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, phase:UnicodeString, CVssBackupComponents:Struct(TID), State:UInt32, SessionId:UnicodeString, SnapshotSetId:GUID, StateFlags:UInt32, Context:Int32(HResult), HrCoordInit:Int32(HResult)",CallGraph-d2
?Stop@CVssRequestorActivity@CVssTelemetry@@QEAAXIPEAGU_GUID@@IJJ@Z,0x180039b32,Microsoft.Windows.Storage.VSSTraceLogProvider,{9122168F-2432-45F0-B91C-3AF363C149DD},CVssRequestorActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, phase:UnicodeString, CVssBackupComponents:Struct(TID), State:UInt32, SessionId:UnicodeString, SnapshotSetId:GUID, StateFlags:UInt32, Context:Int32(HResult), HrCoordInit:Int32(HResult)",CallGraph-d2
?StopActivity@CVssRequestorActivity@CVssTelemetry@@MEAAXXZ,0x180091847,Microsoft.Windows.Storage.VSSTraceLogProvider,{9122168F-2432-45F0-B91C-3AF363C149DD},CVssRequestorActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@CVssRequestorActivity@CVssTelemetry@@MEAAXXZ,0x1800919b3,Microsoft.Windows.Storage.VSSTraceLogProvider,{9122168F-2432-45F0-B91C-3AF363C149DD},CVssRequestorActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18008acb5,Microsoft.Windows.Storage.VSSTraceLogProvider,{9122168F-2432-45F0-B91C-3AF363C149DD},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18008ae7e,Microsoft.Windows.Storage.VSSTraceLogProvider,{9122168F-2432-45F0-B91C-3AF363C149DD},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",GlobalFallback
