Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
DisplayScenarioJournalSetResult,0x140015ce9,Microsoft.Windows.Graphics.Display,{DEB96C0A-D2D9-5868-A5D5-50EE13513C8B},AdvancedColorSupportChanged,5,0x40,advancedColorSupported:Bool32,Direct-Preceding
?ReportLeaked@CDisplayScenarioContext@@QEAAXXZ,0x140012343,Microsoft.Windows.Graphics.Display,{DEB96C0A-D2D9-5868-A5D5-50EE13513C8B},DisplayScenarioContextLeaked,5,0x400000000002,"Entry:UInt32, EntryParameter:Binary, Counter:UInt32",Direct-Preceding
?JournalSendReport@CDisplayScenarioJournal@@QEAAXXZ,0x140017872,Microsoft.Windows.Graphics.Display,{DEB96C0A-D2D9-5868-A5D5-50EE13513C8B},DisplayScenarioExpected,5,0x400000000001,"PartA_PrivTags:UInt64, version:UInt16, sdcSeqId:UInt32, Topology:Struct[](33), Flags:UInt64, FixedFlags:UInt64, Luid:UInt64, SourceId:UInt32, TargetId:UInt32, VideoStandard:UInt32, TotalSize:Struct(String), cx:UInt32, cy:UInt32, ActiveSize:Struct(String), cx:UInt32, cy:UInt32, PhysicalRefreshRate:Struct(String), Numerator:UInt32, Denominator:UInt32, VirtualRefreshRate:Struct(String), Numerator:UInt32, Denominator:UInt32, MinimumRefreshRate:Struct(String), Numerator:UInt32, Denominator:UInt32, HSyncFreq:Struct(String), Numerator:UInt32, Denominator:UInt32, PixelRate:UInt32, BoostRefreshRateMultiplier:UInt32, ScanLineOrdering:UInt32, TargetOutputTechnology:UInt32, TargetBaseOutputTechnology:UInt32, SourceModeInfo:Struct(TID), PrimSurfSize:Struct(String), cx:UInt32, cy:UInt32, VisibleRegionSize:Struct(String), cx:UInt32, cy:UInt32, Stride:UInt32, PixelFormat:UInt32, ColorBasis:UInt32, PixelValueAccessMode:UInt32, IsStereo:Bool32, VirtualModeSupported:Bool32, Rotation:UInt32, ScalingToApply:UInt32, ScalingIntent:UInt32, Position:Struct(String), x:UInt32, y:UInt32, ContentResolution:Struct(String), x:UInt32, y:UInt32, DwmClipBox:Struct(Hex), left:Int32, top:Int32, right:Int32, bottom:Int32, PrimaryClonePathIndex:UInt32, DisplayId:UInt32, StatusApply:Int32, WireFormat:UInt32, ColorSpace:UInt32, SyncGroupId:UInt32, TargetUsage:UInt32",Direct-Preceding
?JournalSendReport@CDisplayRestoreVidPnJournal@@QEAAXXZ,0x140017c57,Microsoft.Windows.Graphics.Display,{DEB96C0A-D2D9-5868-A5D5-50EE13513C8B},DisplayScenarioRestore,5,0x400000000002,"PartA_PrivTags:UInt64, Entry:UInt32, EntryParameter:Binary, version:UInt16, sdcSeqId:UInt32, Journal:Struct(IPv4), trigger:UInt32, triggerParam1:UInt32, triggerParam2:UInt32, calloutType:UInt32, adapterLuid:UInt64, scenarioTimestamp:FileTime, endTimeStamp:FileTime, MonitorOnReason:UInt32, Results:Struct[](Boolean), Luid:UInt64, SourceId:UInt32, Result:Int32, SetTimingPathInfo:Struct[](IPv6), AdapterLuid:HexInt64, VidPnTargetId:UInt32, OutputColorSpace:UInt32, SelectedWireFormat:UInt32, InputFlags:UInt32, TargetState:Struct(PID), ConnectionChangeId:UInt64, TargetId:UInt32, ConnectionStatus:UInt32, TargetType:UInt32, VariableData2:UInt32, OutputFlags:UInt32, DiagnosticInfo:UInt32, Status:Int32",Direct-Preceding
?JournalSendReport@CDisplayScenarioJournal@@QEAAXXZ,0x140017681,Microsoft.Windows.Graphics.Display,{DEB96C0A-D2D9-5868-A5D5-50EE13513C8B},DisplayScenarioResult,5,0x400000000001,"PartA_PrivTags:UInt64, version:UInt16, sdcSeqId:UInt32, Journal:Struct(23), trigger:UInt32, triggerParam:UInt32, calloutType:UInt32, adapterLuid:UInt64, timeStamp:FileTime, startTimeStamp:FileTime, endTimeStamp:FileTime, sdcFlags:UInt32, sdcInternalFlags:UInt32, sdcResult:Int32, failureStage:UInt32, sessionType:UInt32, tsdddState:UInt32, dbSettings:UInt32, retryCount:UInt32, lastRetryResult:Int32, DisplayUniqueness:UInt32, AdapterUniqueness:UInt32, displayUniquenessDelta:UInt32, overlapCount:Int32, wasOptimized:Bool32, needModeReset:Bool32, applyPathsModalityReturn:Int32, Topology:Struct[](33), Flags:UInt64, FixedFlags:UInt64, Luid:UInt64, SourceId:UInt32, TargetId:UInt32, VideoStandard:UInt32, TotalSize:Struct(String), cx:UInt32, cy:UInt32, ActiveSize:Struct(String), cx:UInt32, cy:UInt32, PhysicalRefreshRate:Struct(String), Numerator:UInt32, Denominator:UInt32, VirtualRefreshRate:Struct(String), Numerator:UInt32, Denominator:UInt32, MinimumRefreshRate:Struct(String), Numerator:UInt32, Denominator:UInt32, HSyncFreq:Struct(String), Numerator:UInt32, Denominator:UInt32, PixelRate:UInt32, BoostRefreshRateMultiplier:UInt32, ScanLineOrdering:UInt32, TargetOutputTechnology:UInt32, TargetBaseOutputTechnology:UInt32, SourceModeInfo:Struct(TID), PrimSurfSize:Struct(String), cx:UInt32, cy:UInt32, VisibleRegionSize:Struct(String), cx:UInt32, cy:UInt32, Stride:UInt32, PixelFormat:UInt32, ColorBasis:UInt32, PixelValueAccessMode:UInt32, IsStereo:Bool32, VirtualModeSupported:Bool32, Rotation:UInt32, ScalingToApply:UInt32, ScalingIntent:UInt32, Position:Struct(String), x:UInt32, y:UInt32, ContentResolution:Struct(String), x:UInt32, y:UInt32, DwmClipBox:Struct(Hex), left:Int32, top:Int32, right:Int32, bottom:Int32, PrimaryClonePathIndex:UInt32, DisplayId:UInt32, StatusApply:Int32, WireFormat:UInt32, ColorSpace:UInt32, SyncGroupId:UInt32, TargetUsage:UInt32",Direct-Preceding
DisplayLogSetMonitorPowerStage,0x140016348,Microsoft.Windows.Graphics.Display,{DEB96C0A-D2D9-5868-A5D5-50EE13513C8B},DisplayScenarioSetMonitorPowerStage,5,0x80,"Stage:AnsiString, Status:UInt32",Direct-Preceding
DisplayLogSetMonitorPowerStage,0x1400163a8,Microsoft.Windows.Graphics.Display,{DEB96C0A-D2D9-5868-A5D5-50EE13513C8B},DisplayScenarioSetMonitorPowerStage,5,0x80,"Stage:AnsiString, Status:UInt32",Direct-Preceding
?JournalSendReport@CDisplayScenarioJournal@@QEAAXXZ,0x140017939,Microsoft.Windows.Graphics.Display,{DEB96C0A-D2D9-5868-A5D5-50EE13513C8B},DisplayScenarioSpecializedData,5,0x400000000001,"PartA_PrivTags:UInt64, version:UInt16, sdcSeqId:UInt32, type:UInt32, result:UInt32, stage:UInt32",Direct-Preceding
?JournalSendReport@CDisplayScenarioJournal@@QEAAXXZ,0x140017a3f,Microsoft.Windows.Graphics.Display,{DEB96C0A-D2D9-5868-A5D5-50EE13513C8B},DisplayScenarioSpecializedData,5,0x400000000001,"PartA_PrivTags:UInt64, version:UInt16, sdcSeqId:UInt32, type:UInt32, cdsFlags:UInt32, result:UInt32, stage:UInt32",Direct-Preceding
?JournalSendReport@CDisplayScenarioJournal@@QEAAXXZ,0x140017779,Microsoft.Windows.Graphics.Display,{DEB96C0A-D2D9-5868-A5D5-50EE13513C8B},DisplayScenarioStateResults,5,0x400000000001,"PartA_PrivTags:UInt64, version:UInt16, sdcSeqId:UInt32, Entry:UInt32, EntryParameter:Binary, DbTopologyNotFound:UInt8, DisplayState:Struct[](Unsigned), Luid:UInt64, vidPnSrcId:UInt32, finalVisState:UInt32, turnVisCount:UInt32, visOnBits:UInt32, visiOffBits:UInt32, scaleFactor:UInt32, viewDistance:UInt32, desktopOverrideMin:Int32, desktopOverrideMax:Int32, desktopOverrideCur:Int32, optimalZoomX:Int32, optimalZoomY:Int32, dpiFlags:UInt32, physicalDpiX:Int32, physicalDpiY:Int32, prefScaleFactor:UInt32, commitVidPnResult:Int32, SetTimingPathInfo:Struct[](IPv6), AdapterLuid:HexInt64, VidPnTargetId:UInt32, OutputColorSpace:UInt32, SelectedWireFormat:UInt32, InputFlags:UInt32, TargetState:Struct(PID), ConnectionChangeId:UInt64, TargetId:UInt32, ConnectionStatus:UInt32, TargetType:UInt32, VariableData2:UInt32, OutputFlags:UInt32, DiagnosticInfo:UInt32, Status:Int32, rapidHpdType:UInt32, rapidHpdActivityId:GUID, rapidHpdChainStartType:UInt32, rapidHpdTimeSinceChainStartInMs:UInt32",Direct-Preceding
