Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?ApplyEnd@ApplyWindowAction@InputTraceLogging@@SAXPEAUHWND__@@PEBGUtagRECT@@PEBDH@Z,0x1402d3d24,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},ApplyWindowAction::ApplyEnd,4,0x80000,"Window:HexInt64, WindowRect:Struct(Hex), Left:Int32, Top:Int32, Right:Int32, Bottom:Int32, State:AnsiString, FullScreen:Bool32, Result:UnicodeString",Direct-Preceding
?ApplyFailed@ApplyWindowAction@InputTraceLogging@@SAXPEAUHWND__@@PEBGKK@Z,0x1402ca914,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},ApplyWindowAction::ApplyFailed,4,0x80000,"Window:HexInt64, Reason:UnicodeString, Kinds:HexInt32, Modifiers:HexInt32",Direct-Preceding
?ApplyStart@ApplyWindowAction@InputTraceLogging@@SAXPEAUHWND__@@PEBGKKUtagRECT@@PEBDHUtagPOINT@@UtagSIZE@@032I422@Z,0x1402d3f50,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},ApplyWindowAction::ApplyStart,4,0x80000,"Window:HexInt64, CurrentRect:Struct(Hex), Left:Int32, Top:Int32, Right:Int32, Bottom:Int32, CurrentState:AnsiString, FullScreen:Bool32, Reason:UnicodeString, Kinds:HexInt32, Modifiers:HexInt32, Position:Struct(String), X:Int32, Y:Int32, Size:Struct(String), CX:Int32, CY:Int32, Insert After:HexInt64, State Change:AnsiString, Normal Rect:Struct(Hex), Left:Int32, Top:Int32, Right:Int32, Bottom:Int32, DPI:UInt32, Point on Monitor:Struct(String), X:Int32, Y:Int32, Prev Work Area:Struct(Hex), Left:Int32, Top:Int32, Right:Int32, Bottom:Int32, Prev Monitor Rect:Struct(Hex), Left:Int32, Top:Int32, Right:Int32, Bottom:Int32",Direct-Preceding
?ChangeCursorApiMode@Api@Cursor@InputTraceLogging@@SAX_NW4CursorApi@123@1000@Z,0x14021b63b,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::Api::ChangeCursorApiMode,4,0x8,"Previous:AnsiString, New:AnsiString, Operation:AnsiString, DwmCapable:Bool32, Remote:Bool32, MitExists:Bool32",Direct-Preceding
?ForceSetCurrentCursorShape@Api@Cursor@InputTraceLogging@@SAX_N@Z,0x140220557,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::Api::ForceSetCurrentCursorShape,4,0x8,"visibility:UInt8(Boolean), userCrit:UInt8(Boolean), userCritExcl:UInt8(Boolean)",Direct-Preceding
?HidePointer@Api@Cursor@InputTraceLogging@@SAX_N00@Z,0x1400711ac,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::Api::HidePointer,4,0x8,"requestedHideState:UInt8(Boolean), visibilityStateChanged:UInt8(Boolean), finalHideState:UInt8(Boolean), userCrit:UInt8(Boolean), userCritExcl:UInt8(Boolean)",Direct-Preceding
?MovePointer@Api@Cursor@InputTraceLogging@@SAXHHKPEAX_K@Z,0x14002d961,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::Api::MovePointer,4,0x8,"x:Int32, y:Int32, ulFlags:UInt32, handle:HexInt64, inputQpc:UInt64, userCrit:UInt8(Boolean), userCritExcl:UInt8(Boolean)",Direct-Preceding
?MovePointerAsync@Api@Cursor@InputTraceLogging@@SAXHHK@Z,0x14002da71,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::Api::MovePointerAsync,4,0x8,"x:Int32, y:Int32, ulFlags:UInt32, userCrit:UInt8(Boolean), userCritExcl:UInt8(Boolean)",Direct-Preceding
?RequestCursorSynchronizationMode@Api@Cursor@InputTraceLogging@@SAX_N@Z,0x1402dc0e6,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::Api::RequestCursorSynchronizationMode,4,0x8,Mode:AnsiString,Direct-Preceding
?SetCursorSynchronizationMode@Api@Cursor@InputTraceLogging@@SAX_N@Z,0x1402dc77e,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::Api::SetCursorSynchronizationMode,4,0x8,Mode:AnsiString,Direct-Preceding
?SetPointerShape@Api@Cursor@InputTraceLogging@@SAXPEAXKK@Z,0x1401bfb12,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::Api::SetPointerShape,4,0x8,"pci:HexInt64, ulFlags:UInt32, ulTrailLength:UInt32, userCrit:UInt8(Boolean), userCritExcl:UInt8(Boolean)",Direct-Preceding
?UserGetDwmCursorShape@Api@Cursor@InputTraceLogging@@SAXW4UserGetDwmCursorShapeResult@123@KK@Z,0x1402dc9ba,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::Api::UserGetDwmCursorShape,4,0x8,"result:AnsiString, providedBufferSize:UInt32, actualSize:UInt32",Direct-Preceding
?ChangeSize@Cursor@InputTraceLogging@@SAXII@Z,0x140272ca3,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::ChangeSize,4,0x8,"NewSize:UInt32, OldSize:UInt32",Direct-Preceding
?ReloadCursorSizes@Cursor@InputTraceLogging@@SAXI_N@Z,0x1402730a8,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::CleanupSystemDpiCursors,5,0x8,Plateau:UInt32,Direct-Preceding
?ReloadCursorSizes@Cursor@InputTraceLogging@@SAXI_N@Z,0x140273081,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::EnsureAllDpiCursors,5,0x8,Plateau:UInt32,Direct-Preceding
?EnsureDpiCursor@Cursor@InputTraceLogging@@SAXPEAUtagCURSOR@@@Z,0x140127b2c,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::EnsureDpiCursor,5,0x8,"Cursor:HexInt64, DPIBase:HexInt64, Plateau:UInt32, Flags:HexInt32, Size:Struct(String), CX:UInt32, CY:UInt32, HotSpot:Struct(String), X:UInt32, Y:UInt32, MaskBitmap:HexInt64, ColorBitmap:HexInt64, AlphaBitmap:HexInt64, BaseSize:UInt32, DPIBase:HexInt64",Direct-Preceding
?SetCursorImage@Cursor@InputTraceLogging@@SAXPEAUtagCURSOR@@0IW4CursorImageReason@12@KK@Z,0x14012546d,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::SetCursorImage,4,0x8,"Name:AnsiString, Reason:AnsiString, Cursor:HexInt64, DPIBase:HexInt64, Plateau:UInt32, Flags:HexInt32, Size:Struct(String), CX:UInt32, CY:UInt32, HotSpot:Struct(String), X:UInt32, Y:UInt32, MaskBitmap:HexInt64, ColorBitmap:HexInt64, AlphaBitmap:HexInt64, BaseSize:UInt32, OptimalPlateau:UInt32, Flags:UInt32, Trails:UInt32, CursorOwnerQueue:HexInt64, BaseSize:UInt32",Direct-Preceding
?SetCursorSuppression@Cursor@InputTraceLogging@@SAXW4CURSOR_SUPPRESSION_STATE@@00@Z,0x140126ac4,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::SetCursorSuppression,4,0x8,"Previous:AnsiString, Desired:AnsiString, Current:AnsiString",Direct-Preceding
?SetCursorSuppression@Cursor@InputTraceLogging@@SAXW4CURSOR_SUPPRESSION_STATE@@@Z,0x14026e8fa,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::SetCursorSuppression,4,0x8,Current:AnsiString,Direct-Preceding
?SetQueueCursor@Cursor@InputTraceLogging@@SAXPEAUtagQ@@PEAUtagCURSOR@@@Z,0x1401b65e6,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::SetQueueCursor,5,0x8,"Name:AnsiString, Cursor:HexInt64, Queue:HexInt64",Direct-Preceding
?SetSystemCursor@Cursor@InputTraceLogging@@SAXPEAUtagCURSOR@@KPEAU_UNICODE_STRING@@W4InputTracing_SetSystemCursorReason@@PEAGI@Z,0x1401ddb71,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::SetSystemCursor,5,0x8,"Name:AnsiString, Reason:AnsiString, Cursor:HexInt64, DPIBase:HexInt64, Plateau:UInt32, Flags:HexInt32, Size:Struct(String), CX:UInt32, CY:UInt32, HotSpot:Struct(String), X:UInt32, Y:UInt32, MaskBitmap:HexInt64, ColorBitmap:HexInt64, AlphaBitmap:HexInt64, BaseSize:UInt32, Index:UInt32, Path:UnicodeString",Direct-Preceding
?SetSystemCursor@Cursor@InputTraceLogging@@SAXPEAUtagCURSOR@@KPEAU_UNICODE_STRING@@W4InputTracing_SetSystemCursorReason@@PEAGI@Z,0x1401ddd2d,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::SetSystemCursor DPI,5,0x8,"Cursor:HexInt64, DPIBase:HexInt64, Plateau:UInt32, Flags:HexInt32, Size:Struct(String), CX:UInt32, CY:UInt32, HotSpot:Struct(String), X:UInt32, Y:UInt32, MaskBitmap:HexInt64, ColorBitmap:HexInt64, AlphaBitmap:HexInt64, BaseSize:UInt32",Direct-Preceding
?UpdateBaseSize@Cursor@InputTraceLogging@@SAXI@Z,0x14027318b,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Cursor::UpdateBaseSize,4,0x8,BaseSize:UInt32,Direct-Preceding
?HandleDelegatedInput@DManip@InputTraceLogging@@SAXPEBUtagQMSG@@K@Z,0x140027d7e,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},DManip::HandleDelegatedInput Mouse,4,0x1000,"InputQPC:Int64, Message:HexInt32, Response:AnsiString",Direct-Preceding
?HandleDelegatedInput@DManip@InputTraceLogging@@SAXPEBUtagQMSG@@K@Z,0x140027df5,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},DManip::HandleDelegatedInput Pointer,4,0x1000,"InputQPC:Int64, PointerId:UInt16, PointerMsgId:HexInt64, PointerFlags:HexInt32, Message:HexInt32, Response:AnsiString",Direct-Preceding
?ReassignMessage@DManip@InputTraceLogging@@SAXPEBUtagQMSG@@@Z,0x140028b86,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},DManip::ReassignMessage Mouse,4,0x1000,"InputQPC:Int64, Message:HexInt32",Direct-Preceding
?ReassignMessage@DManip@InputTraceLogging@@SAXPEBUtagQMSG@@@Z,0x140028bdf,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},DManip::ReassignMessage Pointer,4,0x1000,"InputQPC:Int64, PointerId:UInt16, PointerMsgId:HexInt64, PointerFlags:HexInt32, Message:HexInt32",Direct-Preceding
?CallDefaultInputHandler@Delivery@InputTraceLogging@@SAXPEBUtagMSG@@@Z,0x140029cb5,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Delivery::CallDefaultInputHandler MiP,4,0x10,"Message:HexInt32, MessageStruct:Struct(PID), WindowMessage:HexInt32, WindowHandle:HexInt64, WParam:HexInt64, LParam:HexInt64, TickCount:HexInt32, PointerFlags:HexInt32",Direct-Preceding
