Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?LogDbgTraceInfo_@DeviceControlTelemetry@@QEAAXPEBDPEBG@Z,0x1800ac652,Microsoft.Windows.Print.DeviceControl,{5FEF3144-EC00-5072-EE6B-5D0A02BB656C},TraceInfo,4,0x0,"Function:AnsiString, Message:UnicodeString",CallGraph-d2
?LogDbgTraceWarning_@DeviceControlTelemetry@@QEAAXPEBDPEBG@Z,0x1800ac6b2,Microsoft.Windows.Print.DeviceControl,{5FEF3144-EC00-5072-EE6B-5D0A02BB656C},TraceWarning,3,0x0,"Function:AnsiString, Message:UnicodeString",CallGraph-d2
?LogDbgTraceError_@DeviceObjectTelemetry@@QEAAXPEBDPEBG@Z,0x1800aae89,Microsoft.Windows.Print.DeviceObject,{D9B46B7A-4096-59BA-61EB-442D19EA8E84},TraceError,2,0x0,"Function:AnsiString, Message:UnicodeString",CallGraph-d1
?LogDbgTraceInfo_@IppAdapterCommonTelemetry@@QEAAXPEBDPEBG@Z,0x1800ddd36,Microsoft.Windows.Print.IppAdapterCommon,{FBFBD628-251D-551D-C4DD-C7820AF723E4},TraceInfo,4,0x0,"Function:AnsiString, Message:UnicodeString",CallGraph-d2
?LogDbgTraceWarning_@IppAdapterCommonTelemetry@@QEAAXPEBDPEBG@Z,0x1800ddd96,Microsoft.Windows.Print.IppAdapterCommon,{FBFBD628-251D-551D-C4DD-C7820AF723E4},TraceWarning,3,0x0,"Function:AnsiString, Message:UnicodeString",CallGraph-d2
?LogDbgTraceInfo_@IppCommonTelemetry@@QEAAXPEBDPEBG@Z,0x1800c6946,Microsoft.Windows.Print.IppCommon,{ACF1E4A7-9241-4FBF-9555-C27638434F8D},TraceInfo,4,0x0,"Function:AnsiString, Message:UnicodeString",CallGraph-d2
??$PinPrint@AEA_NAEA_NPEBG@IppConfigConverterTelemetry@@SAXAEA_N0$$QEAPEBG@Z,0x1800b5e21,Microsoft.Windows.Print.IppConfigConverter,{6184BC1F-417E-4443-BCCE-9F65BF844AA7},PinPrint,5,0x400000000000,"HasPassword:UInt8(Boolean), IsHashed:UInt8(Boolean), EncryptionMethod:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
?LogDbgTraceInfo_@IppConfigConverterTelemetry@@QEAAXPEBDPEBG@Z,0x1800c69a6,Microsoft.Windows.Print.IppConfigConverter,{6184BC1F-417E-4443-BCCE-9F65BF844AA7},TraceInfo,4,0x0,"Function:AnsiString, Message:UnicodeString",CallGraph-d2
?LogDbgTraceWarning_@IppConfigConverterTelemetry@@QEAAXPEBDPEBG@Z,0x1800c6a06,Microsoft.Windows.Print.IppConfigConverter,{6184BC1F-417E-4443-BCCE-9F65BF844AA7},TraceWarning,3,0x0,"Function:AnsiString, Message:UnicodeString",CallGraph-d2
?LogDbgTraceInfo_@IppMonTelemetry@@QEAAXPEBDPEBG@Z,0x18007b396,Microsoft.Windows.Print.IppMon,{6FB61AC3-3455-4DA4-8313-C1A855EE64C5},TraceInfo,4,0x0,"Function:AnsiString, Message:UnicodeString",CallGraph-d2
?LogDbgTraceWarning_@IppMonTelemetry@@QEAAXPEBDPEBG@Z,0x18007b3f6,Microsoft.Windows.Print.IppMon,{6FB61AC3-3455-4DA4-8313-C1A855EE64C5},TraceWarning,3,0x0,"Function:AnsiString, Message:UnicodeString",CallGraph-d2
