Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VVsmStorageProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180009cf2,Microsoft.Windows.Security.Biometrics.VsmStorageAdapter,{BEB1A719-40D1-54E5-C207-232D48AC6DEA},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?NotifyFailure@?$ActivityBase@VVsmStorageProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180009e43,Microsoft.Windows.Security.Biometrics.VsmStorageAdapter,{BEB1A719-40D1-54E5-C207-232D48AC6DEA},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?NotifyFailure@?$ActivityBase@VVsmStorageProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18000a026,Microsoft.Windows.Security.Biometrics.VsmStorageAdapter,{BEB1A719-40D1-54E5-C207-232D48AC6DEA},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?Stop@?$ActivityBase@VVsmStorageProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18000aae7,Microsoft.Windows.Security.Biometrics.VsmStorageAdapter,{BEB1A719-40D1-54E5-C207-232D48AC6DEA},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
?Stop@?$ActivityBase@VVsmStorageProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18000ac0f,Microsoft.Windows.Security.Biometrics.VsmStorageAdapter,{BEB1A719-40D1-54E5-C207-232D48AC6DEA},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180008fdd,Microsoft.Windows.Security.Biometrics.VsmStorageAdapter,{BEB1A719-40D1-54E5-C207-232D48AC6DEA},ActivityStoppedAutomatically,5,0x0,(none),SingleProvider
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180009052,Microsoft.Windows.Security.Biometrics.VsmStorageAdapter,{BEB1A719-40D1-54E5-C207-232D48AC6DEA},ActivityStoppedAutomatically,5,0x400000000000,(none),SingleProvider
?StartActivity@CloseDatabase@VsmStorageProvider@@QEAAXXZ,0x18000a616,Microsoft.Windows.Security.Biometrics.VsmStorageAdapter,{BEB1A719-40D1-54E5-C207-232D48AC6DEA},CloseDatabase,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
?StopActivity@CloseDatabase@VsmStorageProvider@@MEAAXXZ,0x18000ad65,Microsoft.Windows.Security.Biometrics.VsmStorageAdapter,{BEB1A719-40D1-54E5-C207-232D48AC6DEA},CloseDatabase,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?StopActivity@CloseDatabase@VsmStorageProvider@@MEAAXXZ,0x18000aef3,Microsoft.Windows.Security.Biometrics.VsmStorageAdapter,{BEB1A719-40D1-54E5-C207-232D48AC6DEA},CloseDatabase,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
