Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??R_lambda_eebb669654317b22ee5cf43da4fece3b_@@QEBA@PEAUIUnknown@@@Z,0x180004157,Microsoft.Windows.Security.TokenBroker,{077B8C4A-E425-578D-F1AC-6FDF1220FF68},CoAllowSetForegroundWindow failed Before calling ShowForContractByAppID,2,0x0,Error:Int32,SingleProvider
?MemCompleteCallback@TokenBrokerModalImpl@@AEAAXW4ModalExperienceViewState@ModalExperience@Shell@Internal@Windows@@@Z,0x180005c69,Microsoft.Windows.Security.TokenBroker,{077B8C4A-E425-578D-F1AC-6FDF1220FF68},ModalExperienceViewState is being set to Abnormal,5,0x0,(none),SingleProvider
_lambda_9081266fb249e5e74f619d5abb73ca26_::operator(),0x1800040c4,Microsoft.Windows.Security.TokenBroker,{077B8C4A-E425-578D-F1AC-6FDF1220FF68},SetInterfaceSecurityFailed,3,0x0,HResult:Int32(HResult),SingleProvider
?MemCompleteCallback@TokenBrokerModalImpl@@AEAAXW4ModalExperienceViewState@ModalExperience@Shell@Internal@Windows@@@Z,0x180005c17,Microsoft.Windows.Security.TokenBroker,{077B8C4A-E425-578D-F1AC-6FDF1220FF68},"The View was closed, apparently by the user!",2,0x0,(none),SingleProvider
?TokenBrokerActivateApp@TokenBrokerModalImpl@@AEAAJPEBG0PEAUIInspectable@@UWindowId@WindowManagement@ApplicationModel@Internal@Windows@@USize@Foundation@7@@Z,0x180007089,Microsoft.Windows.Security.TokenBroker,{077B8C4A-E425-578D-F1AC-6FDF1220FF68},TokenBrokerActivateAppEx Before calling ShowForContractByAppID,5,0x0,(none),SingleProvider
?TokenBrokerActivateApp@TokenBrokerModalImpl@@AEAAJPEBG0PEAUIInspectable@@UWindowId@WindowManagement@ApplicationModel@Internal@Windows@@USize@Foundation@7@@Z,0x180006e16,Microsoft.Windows.Security.TokenBroker,{077B8C4A-E425-578D-F1AC-6FDF1220FF68},TokenBrokerActivateApp_SuspendImpersonationFailed,3,0x0,Error:Int32,SingleProvider
?DismissExperience@TokenBrokerModalImpl@@UEAAJXZ,0x180004a8e,Microsoft.Windows.Security.TokenBroker,{077B8C4A-E425-578D-F1AC-6FDF1220FF68},TokenBrokerDismissUI Before calling Unregister & Dismiss,5,0x0,(none),SingleProvider
?TokenBrokerWaitForActivation@TokenBrokerModalImpl@@AEAAJPEAXPEAUIInspectable@@@Z,0x1800086a5,Microsoft.Windows.Security.TokenBroker,{077B8C4A-E425-578D-F1AC-6FDF1220FF68},TokenBrokerWaitForActivation_AbnormalDismissalEvent,2,0x0,Error:Int32,SingleProvider
?TokenBrokerWaitForActivation@TokenBrokerModalImpl@@AEAAJPEAXPEAUIInspectable@@@Z,0x180008416,Microsoft.Windows.Security.TokenBroker,{077B8C4A-E425-578D-F1AC-6FDF1220FF68},TokenBrokerWaitForActivation_UserCancelEvent,2,0x0,Error:Int32,SingleProvider
?TokenBrokerWaitForActivation@TokenBrokerModalImpl@@AEAAJPEAXPEAUIInspectable@@@Z,0x1800081d6,Microsoft.Windows.Security.TokenBroker,{077B8C4A-E425-578D-F1AC-6FDF1220FF68},Waiting for the UI to complete Failed,2,0x0,Error:Int32,SingleProvider
