Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
NetworkingTriageScenarioGetConnectedWiFiAllowedConnectivityAction,0x1800cd562,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},WiFiAllowedConnectivityAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, interfaceDescription:UnicodeString, isAutoConnectEnabled:Bool32, isManualConnectEnabled:Bool32, WlanSvcConnectivityBlockReason:UInt32, PartA_PrivTags:UInt64",Direct-Preceding
NetworkingTriageScenarioGetConnectedWiFiConnectedEvent,0x1800a83bb,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},WiFiConnectedEvent,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, interfaceDescription:UnicodeString, isWDI:UInt8, eventType:UnicodeString, isAUserLoggedIn:Bool32, ssid:UnicodeString, authAlgo:UnicodeString, cipherAlgo:UnicodeString, eapType:UInt32, oneXAuthMode:UnicodeString, isHidden:Bool32, bssid:UnicodeString, firstBSSID:UnicodeString, wlanStatusCode:UnicodeString, detailedStatusCode:UnicodeString, firstDetailedStatusCode:UnicodeString, assocDuration:UInt32, associationCount:UInt32, assocRestartCount:UInt32, authDuration:UInt32, authRestartCount:UInt32, rssi:Int32, signalQualityPercentage:Int32, channelFrequency:UInt32, channelNumber:UInt32, interferingAPCount:UInt32, totalVisibleAPCount:UInt32, apCountOnSSID:UInt32, apPhyType:UnicodeString, apMaxChannelWidth:UInt32, apDescription:AnsiString, apManufacturer:AnsiString, apModelName:AnsiString, apModelNum:AnsiString, rxRate:UInt32, txRate:UInt32, PartA_PrivTags:UInt64",Direct-Preceding
NetworkingTriageScenarioGetConnectedWiFiDisconnectedEvent,0x1800d2c8e,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},WiFiDisconnectedEvent,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, connectionMode:UnicodeString, profileName:UnicodeString, ssid:UnicodeString, bssid:UnicodeString, authAlgo:UnicodeString, cipherAlgo:UnicodeString, phyType:UnicodeString, disconnectReason:UnicodeString, lastAssocCompleteStatusCode:UnicodeString, lastDisassocReason:UnicodeString, portUpTimeInMs:UInt64, portDownCount:UInt32, PartA_PrivTags:UInt64",Direct-Preceding
NetworkingTriageScenarioGetConnectedWiFiInitializingInterfaceEvent,0x1800d087f,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},WiFiInitializingInterfaceEvent,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, interfaceDescription:UnicodeString, deviceInstanceId:UnicodeString, driverVersion:UnicodeString, driverService:UnicodeString, deviceMfg:UnicodeString, driverDate:SystemTime, driverFile:UnicodeString, ihvWdiVersion:HexInt32, windowsWdiVersion:HexInt32, bandCount:UInt32, systemCapabilitiesCollection:UnicodeString, authCipher:UnicodeString, autoConnectEnabled:Bool32, manualConnectEnabled:Bool32, windowsWifiCxVersion:HexInt64, ihvWifiCxVersion:HexInt64, PartA_PrivTags:UInt64",Direct-Preceding
NetworkingTriageScenarioGetConnectedWiFiLimitedConnectivityAction,0x18012887c,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},WiFiLimitedConnectivityAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, changeReason:UnicodeString, recoveryAttempted:UnicodeString, error:HexInt32, errorOid:HexInt32, bEnableResetRecoveryOid:Bool32, bDisableRestartDevice:Bool32, bDisableNonWdiRestartDevice:Bool32, bDisableDisconnect:Bool32, PartA_PrivTags:UInt64",Direct-Preceding
NetworkingTriageScenarioGetConnectedWiFiProfileStateUpdatedAction,0x1801377bc,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},WiFiProfileStateUpdatedAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, profileUpdateContext:UnicodeString, profileName:UnicodeString, blockedTimeMsecs:UInt32, blockedSsids:UInt32, failedSsids:UInt32, dynFlags:HexInt32, PartA_PrivTags:UInt64",Direct-Preceding
NetworkingTriageScenarioGetConnectedWiFiRemoveInterfaceEvent,0x1800d379e,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},WiFiRemoveInterfaceEvent,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, interfaceDescription:UnicodeString, PartA_PrivTags:UInt64",Direct-Preceding
NetworkingTriageScenarioGetConnectedWiFiStartConnectionAction,0x1800c5374,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},WiFiStartConnectionAction,5,0x400000000000,"eventSource:AnsiString, interfaceGuid:GUID, interfaceType:AnsiString, interfaceDescription:UnicodeString, profileName:UnicodeString, ssid:UnicodeString, connectionMode:UnicodeString, PartA_PrivTags:UInt64",Direct-Preceding
?WlanLogDisconnectedEvent@@YAKPEAU_GUID@@PEAGPEAXPEAU_WLAN_CONNECTION_ATTRIBUTES@@W4PasspointFlag@@W4_WLAN_INTF_DISCONNECT_REASON@@KKAEBUCONNECTION_PORTUP_TIME@@AEBUDOT11_CONNECTION_QOS_TELEMETRY_INFO@@@Z,0x180145462,Microsoft.OneCore.NetworkingTriage.GetConnected,{60523747-6516-48B7-84B1-3264FA2CB359},WlanDisconnect,5,0x400000000000,"PartA_PrivTags:UInt64, InterfaceGuid:GUID, InterfaceDescription:UnicodeString, ConnectionMode:UInt32, ProfileName:UnicodeString, SSID:UnicodeString, BSSID:UnicodeString, BSSType:UnicodeString, ReasonCode:UInt32, LastAssocCompleteStatusCode:UInt32, LastDisassocReason:UInt32, AuthAlgo:UInt32, CipherAlgo:UInt32, Dot11PhyIndex:UInt32, SignalQualityPercentage:UInt32, RxRate:UInt32, TxRate:UInt32, ClockTimeInMs:UInt64, PortUpTimeInMs:UInt64, PortDownCount:UInt32, VenueInfoAvailable:Bool32, QoSMSCSConfigStatus:UInt16, QoSDSCPToUPMappingConfigStatus:UInt16",CallGraph-d1
?WDiagLogConnectDiagnosticEvent@@YAXPEAU_WD_INTERFACE_CONTEXT@@PEAU_WD_CONNECTION_CONTEXT@@PEAUWDIAG_SQM_RECORD@@@Z,0x1800bba7b,Microsoft.Windows.WiFi.Diag,{4F28A611-E7F9-4FA6-8BF1-8698D06336E9},ConnectDiagnosticInfo,5,0x400000000000,"PartA_PrivTags:UInt64, Version:UInt32, EventType:UnicodeString, InterfaceGuid:GUID, InterfaceDescription:UnicodeString, ConnectionMode:UInt32, SSID:UnicodeString, BSSType:UInt32, AuthAlgo:UInt32, CipherAlgo:HexInt32, OnexEnabled:Bool32, IHVBitmap:HexInt32, IsHidden:Bool32, BSSID:UnicodeString, FirstBSSID:UnicodeString, WLANStatusCode:UInt32, DetailedStatusCode:UInt32, FirstDetailedStatusCode:UInt32, AssocDuration:UInt32, AssociationCount:UInt32, AssocRestartCount:UInt32, AuthDuration:UInt32, AuthRestartCount:UInt32, DeviceInstanceId:UnicodeString, BinaryVersion:UnicodeString, DriverVersion:UnicodeString, DriverService:UnicodeString, DriverFile:UnicodeString, RSSI:Int32, SignalQualityPercentage:Int32, ChannelFrequency:UInt32, ChannelNumber:UInt32, InterferingAPCount:UInt32, TotalVisibleAPCount:UInt32, APCountOnSSID:UInt32, APPhyType:UnicodeString, APMaxChannelWidth:UInt32, APDescription:AnsiString, APManufacturer:AnsiString, APModelName:AnsiString, APModelNum:AnsiString, IsHighestLinkQuality:Bool32, DetailedStatusCodeOnRoam:UInt32, RxRate:UInt32, TxRate:UInt32, DTIMPeriod:UInt16, BeaconPeriod:UInt16, EAPType:UInt32, OneXAuthMode:UnicodeString, HotSpot20IEPresent:Bool32, DeviceMfg:UnicodeString, ProfileTypeUsed:UInt32, SystemRandomizationStatus:UInt32, ProfileRandomizationStatus:UInt32, DriverDate:SystemTime, IsMSConnectivity:Bool32, IsIHVConnectivity:Bool32, IsMSSecurity:Bool32, IsIHVSecurity:Bool32, IsMSTethering:Bool32, IsCosted:Bool32, IsFIPS:Bool32, IsAUserLoggedIn:Bool32, IsWDI:UInt8, PortType:UInt32, ConnectionFlags:UInt64, NumMloLinks:UInt8, PasspointConnection:UInt32, RoamingConsortiumUsed:Bool32",Direct-Preceding
?WDiagQueryDeviceInfo@@YAKPEAU_GUID@@PEAGK1K1K1K1KPEAU_SYSTEMTIME@@1K1K@Z,0x1800761d2,Microsoft.Windows.WiFi.Diag,{4F28A611-E7F9-4FA6-8BF1-8698D06336E9},WDiagQueryDeviceInfo_Fail,5,0x200000000000,"Description:AnsiString, InterfaceGuid:GUID, NetCfgInstanceId:UnicodeString",Direct-Preceding
?WDiagQueryDeviceInfo@@YAKPEAU_GUID@@PEAGK1K1K1K1KPEAU_SYSTEMTIME@@1K1K@Z,0x18007641b,Microsoft.Windows.WiFi.Diag,{4F28A611-E7F9-4FA6-8BF1-8698D06336E9},WDiagQueryDeviceInfo_Fail,5,0x200000000000,Description:AnsiString,Direct-Preceding
