Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
WtdsAllocateEvent,0x180002258,Microsoft.OneCore.WebThreatDefense.Client.Sensor,{E277416D-B4CB-43E7-A037-54C72ACE7812},AllocateSensorEvent,4,0x0,"Context:HexInt64, EventId:UInt16, DataSizeInB:UInt32, EventPacket:HexInt64",SingleProvider
WtdsAllocateEvent,0x180002312,Microsoft.OneCore.WebThreatDefense.Client.Sensor,{E277416D-B4CB-43E7-A037-54C72ACE7812},AllocateSensorEventError,2,0x400000000000,"Context:HexInt64, EventId:UInt16, DataSizeInB:UInt32, Error:UInt32(Win32Error), PartA_PrivTags:UInt64",SingleProvider
WtdsFreeEvent,0x180002457,Microsoft.OneCore.WebThreatDefense.Client.Sensor,{E277416D-B4CB-43E7-A037-54C72ACE7812},FreeSensorEvent,4,0x0,EventPacket:HexInt64,SingleProvider
WtdsFreeEvent,0x1800024c6,Microsoft.OneCore.WebThreatDefense.Client.Sensor,{E277416D-B4CB-43E7-A037-54C72ACE7812},FreeSensorEventError,2,0x400000000000,"EventPacket:HexInt64, Error:UInt32(Win32Error), PartA_PrivTags:UInt64",SingleProvider
WtdsSendEvent,0x180002ba0,Microsoft.OneCore.WebThreatDefense.Client.Sensor,{E277416D-B4CB-43E7-A037-54C72ACE7812},SendEvent,4,0x0,"Context:HexInt64, EventPacket:HexInt64, IoRequestsInProgress:UInt32",SingleProvider
WtdsSendEvent,0x180002a15,Microsoft.OneCore.WebThreatDefense.Client.Sensor,{E277416D-B4CB-43E7-A037-54C72ACE7812},SendEventError,2,0x400000000000,"Context:HexInt64, EventPacket:HexInt64, Error:UInt32(Win32Error), PartA_PrivTags:UInt64",SingleProvider
WtdsRegisterSensor,0x180002817,Microsoft.OneCore.WebThreatDefense.Client.Sensor,{E277416D-B4CB-43E7-A037-54C72ACE7812},SensorRegistered,4,0x0,"SensorId:UInt32, FileHandle:UInt32, Context:HexInt64",SingleProvider
WtdsRegisterSensor,0x1800028b2,Microsoft.OneCore.WebThreatDefense.Client.Sensor,{E277416D-B4CB-43E7-A037-54C72ACE7812},SensorRegistrationError,2,0x400000000000,"SensorId:UInt32, Error:UInt32(Win32Error), PartA_PrivTags:UInt64",SingleProvider
WtdsUnregisterSensor,0x180002d0d,Microsoft.OneCore.WebThreatDefense.Client.Sensor,{E277416D-B4CB-43E7-A037-54C72ACE7812},SensorUnregistered,4,0x0,Context:HexInt64,SingleProvider
WtdsUnregisterSensor,0x180002da0,Microsoft.OneCore.WebThreatDefense.Client.Sensor,{E277416D-B4CB-43E7-A037-54C72ACE7812},SensorUnregistrationError,2,0x400000000000,"Context:HexInt64, Error:UInt32(Win32Error), PartA_PrivTags:UInt64",SingleProvider
