Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?AssertionFailureTelemetry@SyncDiagCriticalProvider@@SAXJPEBDK@Z,0x180010c67,Microsoft.Windows.OneSync.DiagCritical,{B738411F-062A-505A-9AB3-DF11C892082C},Assert,5,0x400000000000,"hr:Int32(HResult), file:AnsiString, line:UInt32",CallGraph-d1
?ErrorOriginateTelemetry@SyncDiagErrorProvider@@SAXJPEBDK@Z,0x180011a24,Microsoft.Windows.OneSync.DiagCritical,{B738411F-062A-505A-9AB3-DF11C892082C},Error,5,0x0,"hr:Int32(HResult), file:AnsiString, line:UInt32",CallGraph-d1
?ErrorPropagateTelemetry@SyncDiagWarningProvider@@SAXJPEBDK@Z,0x18001212c,Microsoft.Windows.OneSync.DiagCritical,{B738411F-062A-505A-9AB3-DF11C892082C},Warning,5,0x0,"hr:Int32(HResult), file:AnsiString, line:UInt32",CallGraph-d1
_lambda_77bc900f864c5cb152a19d3bc7a86315_::operator(),0x18001786f,Microsoft.Windows.OneSync.DiagError,{37EC0F35-026E-5E7E-D3D4-80F32547BFFF},OneSyncService_ServiceOnstartingSucceeded,5,0x200000000000,durationMs:UInt64,CallGraph-d2
?InitializeService@APHostService@@AEAAJXZ,0x180018dda,Microsoft.Windows.OneSync.DiagError,{37EC0F35-026E-5E7E-D3D4-80F32547BFFF},OneSyncService_ServiceStartupError,5,0x0,"service:AnsiString, hr:Int32(HResult)",CallGraph-d2
??$FailureTrigger@AEAJAEAPEBDAEAPEBDAEAH@UnistackFailureTriggerProvider@@SAXAEAJAEAPEBD1AEAH@Z,0x18001b167,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY09$$CBDAEAY0GI@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY09$$CBDAEAY0GI@$$CBD$$QEAH@Z,0x180011ed3,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0BC@$$CBDAEAY0GE@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0BC@$$CBDAEAY0GE@$$CBD$$QEAH@Z,0x18001697f,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0BE@$$CBDAEAY0FI@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0BE@$$CBDAEAY0FI@$$CBD$$QEAH@Z,0x1800104e7,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0BE@$$CBDAEAY0GH@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0BE@$$CBDAEAY0GH@$$CBD$$QEAH@Z,0x180021553,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0BF@$$CBDAEAY0GJ@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0BF@$$CBDAEAY0GJ@$$CBD$$QEAH@Z,0x18001bc37,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0BM@$$CBDAEAY0GE@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0BM@$$CBDAEAY0GE@$$CBD$$QEAH@Z,0x18001ed47,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0BN@$$CBDAEAY0FP@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0BN@$$CBDAEAY0FP@$$CBD$$QEAH@Z,0x180030537,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0BP@$$CBDAEAY0DC@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0BP@$$CBDAEAY0DC@$$CBD$$QEAH@Z,0x180011f67,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0CA@$$CBDAEAY0FI@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0CA@$$CBDAEAY0FI@$$CBD$$QEAH@Z,0x1800246c7,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0CB@$$CBDAEAY0HA@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0CB@$$CBDAEAY0HA@$$CBD$$QEAH@Z,0x18001057b,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0CD@$$CBDAEAY0FF@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0CD@$$CBDAEAY0FF@$$CBD$$QEAH@Z,0x180031d3f,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0CD@$$CBDAEAY0GJ@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0CD@$$CBDAEAY0GJ@$$CBD$$QEAH@Z,0x180011e3f,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0CE@$$CBDAEAY0GE@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0CE@$$CBDAEAY0GE@$$CBD$$QEAH@Z,0x180011863,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0CI@$$CBDAEAY0FI@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0CI@$$CBDAEAY0FI@$$CBD$$QEAH@Z,0x18002475b,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0CL@$$CBDAEAY0CI@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0CL@$$CBDAEAY0CI@$$CBD$$QEAH@Z,0x180010733,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0DA@$$CBDAEAY0GE@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0DA@$$CBDAEAY0GE@$$CBD$$QEAH@Z,0x18001eddb,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0DE@$$CBDAEAY0FB@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0DE@$$CBDAEAY0FB@$$CBD$$QEAH@Z,0x180031dd3,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0DF@$$CBDAEAY0GE@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0DF@$$CBDAEAY0GE@$$CBD$$QEAH@Z,0x18001ee6f,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0DF@$$CBDAEAY0GJ@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0DF@$$CBDAEAY0GJ@$$CBD$$QEAH@Z,0x18001bccb,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0DF@$$CBDAEAY0HA@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0DF@$$CBDAEAY0HA@$$CBD$$QEAH@Z,0x18001e553,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0DI@$$CBDAEAY0HA@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0DI@$$CBDAEAY0HA@$$CBD$$QEAH@Z,0x18001e5e7,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0DJ@$$CBDAEAY0GE@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0DJ@$$CBDAEAY0GE@$$CBD$$QEAH@Z,0x180016a13,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0DJ@$$CBDAEAY0HA@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0DJ@$$CBDAEAY0HA@$$CBD$$QEAH@Z,0x18001e67b,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0DL@$$CBDAEAY0FJ@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0DL@$$CBDAEAY0FJ@$$CBD$$QEAH@Z,0x18003138b,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0DN@$$CBDAEAY0DC@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0DN@$$CBDAEAY0DC@$$CBD$$QEAH@Z,0x180016aa7,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0DN@$$CBDAEAY0FO@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0DN@$$CBDAEAY0FO@$$CBD$$QEAH@Z,0x1800322bf,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0DO@$$CBDAEAY0FJ@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0DO@$$CBDAEAY0FJ@$$CBD$$QEAH@Z,0x18003141f,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0EB@$$CBDAEAY0FJ@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0EB@$$CBDAEAY0FJ@$$CBD$$QEAH@Z,0x1800314b3,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0EJ@$$CBDAEAY0GH@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0EJ@$$CBDAEAY0GH@$$CBD$$QEAH@Z,0x1800215e7,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0EK@$$CBDAEAY0GJ@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0EK@$$CBDAEAY0GJ@$$CBD$$QEAH@Z,0x180011be7,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0EL@$$CBDAEAY0FJ@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0EL@$$CBDAEAY0FJ@$$CBD$$QEAH@Z,0x180031547,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0EN@$$CBDAEAY0GA@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0EN@$$CBDAEAY0GA@$$CBD$$QEAH@Z,0x18002fa2f,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0EP@$$CBDAEAY0GH@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0EP@$$CBDAEAY0GH@$$CBD$$QEAH@Z,0x18002167b,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0FA@$$CBDAEAY0GP@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0FA@$$CBDAEAY0GP@$$CBD$$QEAH@Z,0x180011c7b,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0FC@$$CBDAEAY0GH@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0FC@$$CBDAEAY0GH@$$CBD$$QEAH@Z,0x18002170f,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0FD@$$CBDAEAY0FO@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0FD@$$CBDAEAY0FO@$$CBD$$QEAH@Z,0x180032353,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0FD@$$CBDAEAY0GH@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0FD@$$CBDAEAY0GH@$$CBD$$QEAH@Z,0x1800217a3,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0HJ@$$CBDAEAY0GE@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0HJ@$$CBDAEAY0GE@$$CBD$$QEAH@Z,0x180016b3b,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0O@$$CBDAEAY0DC@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0O@$$CBDAEAY0DC@$$CBD$$QEAH@Z,0x180016bcf,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0O@$$CBDAEAY0FI@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0O@$$CBDAEAY0FI@$$CBD$$QEAH@Z,0x180011d66,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@AEAJAEAY0O@$$CBDAEAY0FO@$$CBDH@UnistackFailureTriggerProvider@@SAXAEAJAEAY0O@$$CBDAEAY0FO@$$CBD$$QEAH@Z,0x1800323e7,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@JAEAY01$$CBDAEAY0CI@$$CBDH@UnistackFailureTriggerProvider@@SAX$$QEAJAEAY01$$CBDAEAY0CI@$$CBD$$QEAH@Z,0x1800247ef,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@JAEAY01$$CBDAEAY0GE@$$CBDH@UnistackFailureTriggerProvider@@SAX$$QEAJAEAY01$$CBDAEAY0GE@$$CBD$$QEAH@Z,0x18001ef03,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@JAEAY01$$CBDAEAY0GJ@$$CBDH@UnistackFailureTriggerProvider@@SAX$$QEAJAEAY01$$CBDAEAY0GJ@$$CBD$$QEAH@Z,0x18001bd5f,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@JAEAY08$$CBDAEAY0GJ@$$CBDH@UnistackFailureTriggerProvider@@SAX$$QEAJAEAY08$$CBDAEAY0GJ@$$CBD$$QEAH@Z,0x18001bdf3,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@JAEAY09$$CBDAEAY0GK@$$CBDH@UnistackFailureTriggerProvider@@SAX$$QEAJAEAY09$$CBDAEAY0GK@$$CBD$$QEAH@Z,0x18000fecf,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@JAEAY0BA@$$CBDAEAY0GH@$$CBDH@UnistackFailureTriggerProvider@@SAX$$QEAJAEAY0BA@$$CBDAEAY0GH@$$CBD$$QEAH@Z,0x180021837,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@JAEAY0BA@$$CBDAEAY0GI@$$CBDH@UnistackFailureTriggerProvider@@SAX$$QEAJAEAY0BA@$$CBDAEAY0GI@$$CBD$$QEAH@Z,0x18001f77f,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
??$FailureTrigger@JAEAY0BB@$$CBDAEAY0DA@$$CBDH@UnistackFailureTriggerProvider@@SAX$$QEAJAEAY0BB@$$CBDAEAY0DA@$$CBD$$QEAH@Z,0x180016c63,Microsoft.Windows.Unistack.FailureTrigger,{FCC174D3-8890-434A-812D-BDED72EDE356},FailureTrigger,5,0x0,"errorCode:Int32, expression:AnsiString, file:AnsiString, line:Int32",CallGraph-d2
