Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?AddDeletedAllUserPackagesIfNeeded@Internal@AppxAllUserStore@@YAJPEAVBasicLogFile@2@PEBGQEAUHKEY__@@AEAV?$Array@GV?$ContainerOperations@GG@Common@@VNoKey@2@V?$ContainerOperations@VNoKey@Common@@G@2@V?$ArrayOperations@GVNoKey@Common@@@2@@Common@@@Z,0x180039b63,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AddDeletedAllUserPackagesIfNeeded,5,0x0,"SystemRoot:UnicodeString, DeletedAppsKeyPath:UnicodeString, DeletedPackagesCount:HexInt64",SingleProvider
AddDownlevelInstalledPackageToRegistryStore,0x18002413c,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AddDownlevelInstalledPackageToRegistryStore,5,0x0,"package:UnicodeString, userSid:UnicodeString",SingleProvider
?AddPackageFullNameToMainArrayIfNeeded@Internal@AppxAllUserStore@@YAJPEAVBasicLogFile@2@PEBG1AEAV?$Array@GV?$ContainerOperations@GG@Common@@VNoKey@2@V?$ContainerOperations@VNoKey@Common@@G@2@V?$ArrayOperations@GVNoKey@Common@@@2@@Common@@AEA_N@Z,0x180039c46,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AddPackageFullNameToMainArrayIfNeeded,5,0x0,"SystemRoot:UnicodeString, FullName:UnicodeString",SingleProvider
AddPackageToPreinstalledAppsVolume,0x1800243ad,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AddPackageToPreinstalledAppsVolume,5,0x0,package:UnicodeString,SingleProvider
AddPackageToRegistryStore,0x18002443e,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AddPackageToRegistryStore,5,0x0,package:UnicodeString,SingleProvider
AddSharedPackageContainerToRegistryStore,0x18002450e,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AddSharedPackageContainerToRegistryStore,5,0x0,container:UnicodeString,SingleProvider
AddStagedPackageToPreinstalledAppsVolume,0x1800245ee,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AddStagedPackageToPreinstalledAppsVolume,5,0x0,package:UnicodeString,SingleProvider
AddStagedPackageToRegistryStore,0x1800246b3,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AddStagedPackageToRegistryStore,5,0x0,package:UnicodeString,SingleProvider
AddUpgradePackageAndStubPreferenceToPreinstalledVolume,0x1800247c2,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AddUpgradePackageAndStubPreferenceToPreinstalledVolume,5,0x0,"package:UnicodeString, isFramework:Bool32, preferStub:Bool32",SingleProvider
AddUpgradePackageToPreinstalledVolume,0x1800248de,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AddUpgradePackageToPreinstalledVolume,5,0x0,"package:UnicodeString, isFramework:Bool32",SingleProvider
AddUpgradePackageToRegistryStore,0x1800249e6,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AddUpgradePackageToRegistryStore,5,0x0,"package:UnicodeString, userSid:UnicodeString",SingleProvider
?AddPackagePathsToMainArrayIfNeeded@Internal@AppxAllUserStore@@YAJPEAVBasicLogFile@2@PEBGAEAV?$Array@GV?$ContainerOperations@GG@Common@@VNoKey@2@V?$ContainerOperations@VNoKey@Common@@G@2@V?$ArrayOperations@GVNoKey@Common@@@2@@Common@@2@Z,0x18003a14c,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AddedPackageFullNamesToMainArray,5,0x0,"Added:HexInt64, Dropped:HexInt64, Total:HexInt64, MainArraySize:HexInt64",SingleProvider
_lambda_ebb192ed1efe42126301f58b4c21e4d6_::operator(),0x18003923b,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AddingFrameworkPackage,5,0x0,DependencyPackage:UnicodeString,SingleProvider
?AdjustRestoredDeletedPackagePath@Internal@AppxAllUserStore@@YAJAEAVBasicLogFile@2@PEBG1AEAVRegistryKey@Common@@@Z,0x180028ee5,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},AdjustRestoredDeletedPackagePathFailed,5,0x400000000000,"ErrorCode:Int32(HResult), FileExists:Bool32, AdjustedPath:UnicodeString",SingleProvider
?FixPreInstalledAppxAllUserStoreIntegrityImplementation@AppxAllUserStore@@YAJXZ,0x180022370,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},Applications key on preinstalled volume does not exist - skipping,5,0x0,(none),SingleProvider
?IsPackageOnPreinstalledVolumeImplementation@AppxAllUserStore@@YAJPEBUCOMMON_STRING@Common@@W4PackageSearchType@1@PEA_N@Z,0x180022bea,Microsoft.Windows.AppXAllUserStore,{4DAB1C21-6842-4376-B7AA-6629AA5E0D2C},Applications key on preinstalled volume does not exist - skipping,5,0x0,(none),SingleProvider
