Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?DeleteDatabaseFiles@CapabilityAccessManagerDesktopTelemetry@Telemetry@Storage@Desktop@CapabilityAccess@Internal@Windows@@SAXJIPEBDPEBG@Z,0x1800ec854,Microsoft.Windows.CapabilityAccessManagerDesktop,{42FEA7D4-630B-5E64-FA2F-B6E040BFE96A},DeleteDatabaseFiles,5,0x400000000000,"failureLineNumber:UInt32, failureFileName:AnsiString, message:UnicodeString, hr:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d1
?OnErrorReported@CapabilityAccessManagerDesktopTelemetry@Telemetry@Storage@Desktop@CapabilityAccess@Internal@Windows@@MEAAX_NAEBUFailureInfo@wil@@@Z,0x1800e7c03,Microsoft.Windows.CapabilityAccessManagerDesktop,{42FEA7D4-630B-5E64-FA2F-B6E040BFE96A},FallbackError,5,0x400000000000,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?ResetDatabase@CapabilityAccessManagerDesktopTelemetry@Telemetry@Storage@Desktop@CapabilityAccess@Internal@Windows@@SAXJ_KIPEBDPEBG@Z,0x1800f3101,Microsoft.Windows.CapabilityAccessManagerDesktop,{42FEA7D4-630B-5E64-FA2F-B6E040BFE96A},ResetDatabase,5,0x400000000000,"schemaVersion:UInt64, failureLineNumber:UInt32, failureFileName:AnsiString, message:UnicodeString, hr:Int32(HResult), PartA_PrivTags:UInt64",CallGraph-d1
?NotifyFailure@?$ActivityBase@VService@Tracing@StateRepository@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18010a226,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VService@Tracing@StateRepository@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18010a38c,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VService@Tracing@StateRepository@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800f8cd6,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VService@Tracing@StateRepository@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800f8e61,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?ReportStopActivity@?$ActivityBase@VService@Tracing@StateRepository@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x18010a478,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?ReportStopActivity@?$ActivityBase@VService@Tracing@StateRepository@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x18010a5ed,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Hex), hresult:UInt32, threadId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?Stop@?$ActivityBase@VService@Tracing@StateRepository@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18010a8df,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?Stop@?$ActivityBase@VService@Tracing@StateRepository@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1800faeb3,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},ActivityIntermediateStop,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@Checkpoint@Database@Logging@StateRepository@@QEAAXXZ,0x1800fad58,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},Checkpoint,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@Checkpoint@Database@Logging@StateRepository@@MEAAXXZ,0x1800fb0b6,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},Checkpoint,5,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@Checkpoint@Database@Logging@StateRepository@@MEAAXXZ,0x1800fb160,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},Checkpoint,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@Clear@DatabaseCache@Logging@StateRepository@@QEAAXXZ,0x18010a765,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},Clear,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@Clear@DatabaseCache@Logging@StateRepository@@MEAAXXZ,0x18010ab66,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},Clear,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@Clear@DatabaseCache@Logging@StateRepository@@MEAAXXZ,0x18010abf2,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},Clear,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?Checkpoint@Database@StateRepository@@QEAAJPEBDW4CheckpointMode@12@PEAH2@Z,0x1800f5756,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},Database.Checkpoint,5,0x200000000000,"Filename:AnsiString, CheckpointMode:Int32, SizeInPages:Int32, NumberOfPagesCheckpointed:Int32, PartA_PrivTags:UInt64",CallGraph-d2
?sqliteLogCallback@Logging@StateRepository@@YAXPEAXHPEBD@Z,0x1801056c5,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},SQLite.AutoIndexWarning,3,0x200000000000,"ErrorCode:Int32, Message:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
?Commit@Database@StateRepository@@QEAAJXZ,0x1800f5b09,Microsoft.Windows.StateRepository.Service,{551FF9B3-0B7E-4408-B008-0068C8DA2FF1},StateRepository.Database.Commit,5,0x0,"Database:AnsiString, TransactionCallerId:GUID, Elapsed:UInt64, PartA_PrivTags:UInt64",CallGraph-d2
