Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_18006B8A0,0x18006b8cc,Microsoft.ClipSvc,{B94D76C5-9D56-454A-8D1B-6CA30898160E},ActivityStoppedAutomatically,5,0x400000000000,(none),SingleProvider
sub_180024DE0,0x180024f0b,Microsoft.ClipSvc,{B94D76C5-9D56-454A-8D1B-6CA30898160E},ClipCallServer_aggregate,5,0x200000000000,"attempts:UInt32, failed:UInt32, total_time_success:UInt64, longest_time_success:UInt64, total_time_failure:UInt64, longest_time_failure:UInt64",SingleProvider
sub_180024DE0,0x180025281,Microsoft.ClipSvc,{B94D76C5-9D56-454A-8D1B-6CA30898160E},ClipCleanUpState_aggregate,5,0x200000000000,"attempts:UInt32, failed:UInt32, total_time_success:UInt64, longest_time_success:UInt64, total_time_failure:UInt64, longest_time_failure:UInt64",SingleProvider
sub_180024DE0,0x1800252d9,Microsoft.ClipSvc,{B94D76C5-9D56-454A-8D1B-6CA30898160E},ClipGenerateClientChallengeData_aggregate,5,0x200000000000,"attempts:UInt32, failed:UInt32, total_time_success:UInt64, longest_time_success:UInt64, total_time_failure:UInt64, longest_time_failure:UInt64",SingleProvider
sub_180024DE0,0x1800250e8,Microsoft.ClipSvc,{B94D76C5-9D56-454A-8D1B-6CA30898160E},ClipGenerateDeviceLicenseRequest_aggregate,5,0x200000000000,"attempts:UInt32, failed:UInt32, total_time_success:UInt64, longest_time_success:UInt64, total_time_failure:UInt64, longest_time_failure:UInt64",SingleProvider
sub_180024DE0,0x180024fd5,Microsoft.ClipSvc,{B94D76C5-9D56-454A-8D1B-6CA30898160E},ClipGetAssociatedResults_aggregate,5,0x200000000000,"attempts:UInt32, failed:UInt32, total_time_success:UInt64, longest_time_success:UInt64, total_time_failure:UInt64, longest_time_failure:UInt64",SingleProvider
sub_180024DE0,0x180024f6b,Microsoft.ClipSvc,{B94D76C5-9D56-454A-8D1B-6CA30898160E},ClipGetFileIdFromAssociateId_aggregate,5,0x200000000000,"attempts:UInt32, failed:UInt32, total_time_success:UInt64, longest_time_success:UInt64, total_time_failure:UInt64, longest_time_failure:UInt64",SingleProvider
sub_180024DE0,0x18002503f,Microsoft.ClipSvc,{B94D76C5-9D56-454A-8D1B-6CA30898160E},ClipGetLicense_aggregate,5,0x200000000000,"attempts:UInt32, failed:UInt32, total_time_success:UInt64, longest_time_success:UInt64, total_time_failure:UInt64, longest_time_failure:UInt64",SingleProvider
sub_180024DE0,0x180024fa0,Microsoft.ClipSvc,{B94D76C5-9D56-454A-8D1B-6CA30898160E},ClipGetQueryResults_aggregate,5,0x200000000000,"attempts:UInt32, failed:UInt32, total_time_success:UInt64, longest_time_success:UInt64, total_time_failure:UInt64, longest_time_failure:UInt64",SingleProvider
sub_180024DE0,0x1800250b3,Microsoft.ClipSvc,{B94D76C5-9D56-454A-8D1B-6CA30898160E},ClipInstallLicense_aggregate,5,0x400000000000,"attempts:UInt32, failed:UInt32, total_time_success:UInt64, longest_time_success:UInt64, total_time_failure:UInt64, longest_time_failure:UInt64",SingleProvider
sub_180024DE0,0x18002520d,Microsoft.ClipSvc,{B94D76C5-9D56-454A-8D1B-6CA30898160E},ClipManagedSwitchFromSMode_aggregate,5,0x200000000000,"attempts:UInt32, failed:UInt32, total_time_success:UInt64, longest_time_success:UInt64, total_time_failure:UInt64, longest_time_failure:UInt64",SingleProvider
sub_180024DE0,0x18002500a,Microsoft.ClipSvc,{B94D76C5-9D56-454A-8D1B-6CA30898160E},ClipQueryAssociateId_aggregate,5,0x200000000000,"attempts:UInt32, failed:UInt32, total_time_success:UInt64, longest_time_success:UInt64, total_time_failure:UInt64, longest_time_failure:UInt64",SingleProvider
sub_180024DE0,0x18002524c,Microsoft.ClipSvc,{B94D76C5-9D56-454A-8D1B-6CA30898160E},ClipRecordSubscriptionState_aggregate,5,0x400000000000,"attempts:UInt32, failed:UInt32, total_time_success:UInt64, longest_time_success:UInt64, total_time_failure:UInt64, longest_time_failure:UInt64",SingleProvider
