Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_1800F2470,0x1800f25f6,Microsoft.ClipSp,{B4B126DE-32FE-4591-9AC5-B0778D79A0E7},ClipSpAcHmac,5,0x200000000000,"Result:UInt32(NTStatus), PartA_PrivTags:UInt64, micros:UInt64",Direct-Preceding
sub_1800F2660,0x1800f2783,Microsoft.ClipSp,{B4B126DE-32FE-4591-9AC5-B0778D79A0E7},ClipSpAcRequest,5,0x200000000000,"Result:UInt32(NTStatus), PartA_PrivTags:UInt64, micros:UInt64",Direct-Preceding
sub_1800EF7E0,0x1800efa33,Microsoft.ClipSp,{B4B126DE-32FE-4591-9AC5-B0778D79A0E7},ClipSpClepKdf,5,0x200000000000,"Result:UInt32(NTStatus), PartA_PrivTags:UInt64, micros:UInt64",Direct-Preceding
sub_1800F1CE0,0x1800f1e66,Microsoft.ClipSp,{B4B126DE-32FE-4591-9AC5-B0778D79A0E7},ClipSpClepSign,5,0x400000000000,"Count:Int64, DurationTotal_ms:Int64, DurationMin_ms:Int64, DurationMax_ms:Int64, DeviceLicenseIssueTime:UInt32, Result:UInt32(NTStatus), PartA_PrivTags:UInt64",Direct-Preceding
sub_1800F2880,0x1800f29a2,Microsoft.ClipSp,{B4B126DE-32FE-4591-9AC5-B0778D79A0E7},ClipSpCreateDirectoryLicenseHeader,5,0x200000000000,"Count:Int64, DurationTotal_ms:Int64, DurationMin_ms:Int64, DurationMax_ms:Int64, ParentEfsHeaderSize:UInt32, LicenseHeaderSize:UInt32, Result:UInt32(NTStatus), PartA_PrivTags:UInt64",Direct-Preceding
sub_1800F0E10,0x1800f0fe9,Microsoft.ClipSp,{B4B126DE-32FE-4591-9AC5-B0778D79A0E7},ClipSpCreateFileLicenseHeaderAndKey,5,0x200000000000,"ParentEfsHeaderSize:UInt32, FekSize:UInt32, LicenseHeaderSize:UInt32, Result:UInt32(NTStatus), PartA_PrivTags:UInt64, micros:UInt64",Direct-Preceding
sub_1800F2A90,0x1800f2c2c,Microsoft.ClipSp,{B4B126DE-32FE-4591-9AC5-B0778D79A0E7},ClipSpCreateLicenseEfsHeader,5,0x200000000000,"Count:Int64, DurationTotal_ms:Int64, DurationMin_ms:Int64, DurationMax_ms:Int64, KeyIdsSize:UInt32, FekSize:UInt32, LicenseEfsHeaderSize:UInt32, Result:UInt32(NTStatus), PartA_PrivTags:UInt64",Direct-Preceding
sub_1800F2E70,0x1800f3018,Microsoft.ClipSp,{B4B126DE-32FE-4591-9AC5-B0778D79A0E7},ClipSpDecryptFek,5,0x200000000000,"EfsHeaderSize:UInt32, FekSize:UInt32, NewEfsHeaderSize:UInt32, Result:UInt32(NTStatus), PartA_PrivTags:UInt64, micros:UInt64",Direct-Preceding
sub_1800EB4D0,0x1800eb66c,Microsoft.ClipSp,{B4B126DE-32FE-4591-9AC5-B0778D79A0E7},ClipSpDecryptFekEx,5,0x200000000000,"Count:Int64, DurationTotal_ms:Int64, DurationMin_ms:Int64, DurationMax_ms:Int64, PartA_PrivTags:UInt64, EfsHeaderSize:UInt32, FekSize:UInt32, Result:UInt32(NTStatus), PartA_PrivTags:UInt64",Direct-Preceding
sub_1800F31F0,0x1800f3348,Microsoft.ClipSp,{B4B126DE-32FE-4591-9AC5-B0778D79A0E7},ClipSpGetBaseContentKeyFromKeyID,5,0x200000000000,"Count:Int64, DurationTotal_ms:Int64, DurationMin_ms:Int64, DurationMax_ms:Int64, KeyIdSize:UInt32, KeySize:UInt32, Result:UInt32(NTStatus), PartA_PrivTags:UInt64",Direct-Preceding
sub_1800F3440,0x1800f359f,Microsoft.ClipSp,{B4B126DE-32FE-4591-9AC5-B0778D79A0E7},ClipSpGetBaseContentKeyFromLicense,5,0x200000000000,"AppOrigin:UInt32, PFN:UnicodeString, UserIdSize:UInt32, KeyIdSize:UInt32, ContentKeySize:UInt32, Result:UInt32(NTStatus), PartA_PrivTags:UInt64, micros:UInt64",Direct-Preceding
