Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_180026710,0x180026919,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},AssignedAccessCheck,5,0x400000000000,"Result:Int32(HResult), PackageFamilyName:UnicodeString, PolicyName:UnicodeString",Direct-Preceding
ClipCallServer,0x18002054d,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipCallServer,5,0x400000000000,"Command:UnicodeString, InBlobSize:UInt32, Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipCleanUpState,0x180020b74,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipCleanUpState,5,0x200000000000,"Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipClose,0x180020d3e,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipClose,5,0x400000000000,"Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipGatherDiagnostics,0x180020f29,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipGatherDiagnostics,5,0x400000000000,"Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipGenerateClientChallengeData,0x180021176,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipGenerateClientChallengeData,5,0x400000000000,"Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipGenerateDeviceLicenseRequest,0x18002141e,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipGenerateDeviceLicenseRequest,5,0x400000000000,"ChallengeSize:UInt32, Result:Int32(HResult), ms:UInt64, Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipGetAssociatedResults,0x1800217fa,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipGetAssociatedResults,5,0x400000000000,"Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipGetFileIdFromAssociateId,0x180021b70,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipGetFileIdFromAssociateId,5,0x400000000000,"Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipGetLicenseAndPolicyForPfn,0x180024d4e,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipGetLicenseAndPolicyForPfn,5,0x400000000000,"PartA_PrivTags:UInt64, PackageFamilyName:UnicodeString, PolicyName:UnicodeString, Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipGetLicenseData,0x180024fe1,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipGetLicenseData,5,0x400000000000,"Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipGetQueryResults,0x1800252b5,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipGetQueryResults,5,0x400000000000,"Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipGetSubscriptionStatus,0x180025457,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipGetSubscriptionStatus,5,0x400000000000,"Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipInstallLicense,0x180025832,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipInstallLicense,5,0x400000000000,"LicenseBlobSize:UInt32, LicenseType:UInt32, Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipInstallLicense,0x1800256b7,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipInstallLicense_FAILURE,5,0x400000000000,"LicenseBlobSize:UInt32, LicenseType:UInt32, Result:Int32(HResult), ProcessName:UnicodeString, CallerModule:UnicodeString, LicenseReportedData:UInt32, LicenseData:Binary",Direct-Preceding
ClipOpen,0x1800259ae,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipOpen,5,0x400000000000,"Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipQueryAssociateId,0x180025c33,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipQueryAssociateId,5,0x400000000000,"Query:UnicodeString, Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipRecordSubscriptionState,0x180025e7b,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipRecordSubscriptionState,5,0x400000000000,"Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipRefreshLicense,0x18002601e,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipRefreshLicense,5,0x400000000000,"Result:Int32(HResult), ms:UInt64",Direct-Preceding
ClipUninstallLicense,0x1800261f2,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},ClipUninstallLicense,5,0x400000000000,"Result:Int32(HResult), ms:UInt64",Direct-Preceding
GetExchangeDeviceUniqueID,0x180006dac,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},GetExchangeDeviceUniqueID,5,0x400000000000,"Result:Int32(HResult), TimeTaken_MS:UInt64",Direct-Preceding
GetOfflineDeviceUniqueID,0x18000742a,Microsoft.ClipC,{ED0C10A5-5396-4A96-9EE3-6F4AA0D1120D},GetOfflineDeviceUniqueID,5,0x400000000000,"Result:Int32(HResult), TimeTaken_MS:UInt64, RetrievalMethod:UInt32",Direct-Preceding
