Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VDeviceConfidenceTelemetry@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18000e075,Microsoft.Windows.DeviceConsentUX,{4ED93EB9-C197-582F-ADA9-4939EC475C92},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VDeviceConfidenceTelemetry@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18000e1bd,Microsoft.Windows.DeviceConsentUX,{4ED93EB9-C197-582F-ADA9-4939EC475C92},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18000a003,Microsoft.Windows.DeviceConsentUX,{4ED93EB9-C197-582F-ADA9-4939EC475C92},ActivityStoppedAutomatically,5,0x400000000000,(none),GlobalFallback
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000e93d,Microsoft.Windows.DeviceConsentUX,{4ED93EB9-C197-582F-ADA9-4939EC475C92},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000eb06,Microsoft.Windows.DeviceConsentUX,{4ED93EB9-C197-582F-ADA9-4939EC475C92},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",GlobalFallback
?StartActivity@HandleConsentResponseRequest@DeviceConfidenceTelemetry@@QEAAXPEBG0PEAUConsentRequestParameters@@0KK@Z,0x180003c16,Microsoft.Windows.DeviceConsentUX,{4ED93EB9-C197-582F-ADA9-4939EC475C92},HandleConsentResponseRequest,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, requestingProcessPackageFullName:UnicodeString, requestingProcessAumid:UnicodeString, requestType:UInt32, requestingPackageSid:UnicodeString, requestingProcessId:UInt32, requestingThreadId:UInt32, idRequestParameter:UnicodeString, interfaceIdRequestParameter:UnicodeString, BTDeviceAddress:UnicodeString, nameRequestParameter:UnicodeString, expectedDurationMsRequestParameter:UInt32, callerInBackgroundTask:Bool32, mustShowUsernameInPrompt:Bool32, challengeUserIfRequired:Bool32",CallGraph-d1
?Stop@HandleConsentResponseRequest@DeviceConfidenceTelemetry@@QEAAX_N00000PEBGW4__MIDL_IConsentResponseCallback_0001@@@Z,0x180005d7b,Microsoft.Windows.DeviceConsentUX,{4ED93EB9-C197-582F-ADA9-4939EC475C92},HandleConsentResponseRequest,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, wasRequestDeniedByPolicy:Bool32, wasRequestAllowedByPolicy:Bool32, wasRequestMadeWithInvalidThreadId:Bool32, wasUserChallengeFailed:Bool32, wasConsentCallbackMade:Bool32, wasResponseSuppliedByTestOverride:Bool32, requestingAppDisplayName:UnicodeString, consentResponse:UInt32",CallGraph-d1
?Stop@HandleConsentResponseRequest@DeviceConfidenceTelemetry@@QEAAX_N00000PEBGW4__MIDL_IConsentResponseCallback_0001@@@Z,0x180005e2d,Microsoft.Windows.DeviceConsentUX,{4ED93EB9-C197-582F-ADA9-4939EC475C92},HandleConsentResponseRequest,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, wasRequestDeniedByPolicy:Bool32, wasRequestAllowedByPolicy:Bool32, wasRequestMadeWithInvalidThreadId:Bool32, wasUserChallengeFailed:Bool32, wasConsentCallbackMade:Bool32, wasResponseSuppliedByTestOverride:Bool32, requestingAppDisplayName:UnicodeString, consentResponse:UInt32",CallGraph-d1
?StopActivity@HandleConsentResponseRequest@DeviceConfidenceTelemetry@@MEAAXXZ,0x18000fe77,Microsoft.Windows.DeviceConsentUX,{4ED93EB9-C197-582F-ADA9-4939EC475C92},HandleConsentResponseRequest,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@HandleConsentResponseRequest@DeviceConfidenceTelemetry@@MEAAXXZ,0x18000ffe3,Microsoft.Windows.DeviceConsentUX,{4ED93EB9-C197-582F-ADA9-4939EC475C92},HandleConsentResponseRequest,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
