Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VDesktopShellQuickActionsLogging@@$00$0EAAAAAAAAAAA@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1801353a8,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VDesktopShellQuickActionsLogging@@$00$0EAAAAAAAAAAA@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1801354f0,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VDesktopShellQuickActionsLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1801366b1,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$ContextMenuAction@KKPEB_W_NPEB_WPEB_W@QuickActionsTelemetry@@SAX$$QEAK0$$QEAPEB_W$$QEA_N11@Z,0x180217e1d,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},ContextMenuAction,5,0x400000000000,"location:UInt32, action:UInt32, quickActionId:UnicodeString, isOverflowExpanded:UInt8(Boolean), declaredName:UnicodeString, groupName:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
?ControlCenterViewHidden@QuickActionsTelemetry@@SAXXZ,0x180154703,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},ControlCenterViewHidden,5,0x400000000000,(none),CallGraph-d1
??$ControlCenterViewVisible@K_N@QuickActionsTelemetry@@SAX$$QEAK$$QEA_N@Z,0x18014fba2,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},ControlCenterViewVisible,5,0x400000000000,"viewStateOnInvoke:UInt32, isWin32ControlCenter:UInt8(Boolean)",CallGraph-d1
??$DismissAdvancedPage@PEB_WAEAW4DismissAdvancedPageAction@QuickActionsTelemetry@@@QuickActionsTelemetry@@SAX$$QEAPEB_WAEAW4DismissAdvancedPageAction@0@@Z,0x180169f32,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},DismissAdvancedPage,5,0x400000000000,"quickActionFriendlyName:UnicodeString, dismissAdvancedPageAction:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
?StartActivity@EditCommandInvoked@QuickActionsTelemetry@@QEAAXW4EditCommand@2@@Z,0x18015ad99,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},EditCommandInvoked,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, EditCommand:UInt32",CallGraph-d1
?StopActivity@EditCommandInvoked@QuickActionsTelemetry@@MEAAXXZ,0x18015b062,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},EditCommandInvoked,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@EditCommandInvoked@QuickActionsTelemetry@@MEAAXXZ,0x18015b1c4,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},EditCommandInvoked,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$EnteringEditMode@KAEAY00$$CB_W_N@QuickActionsTelemetry@@SAX$$QEAKAEAY00$$CB_W$$QEA_N@Z,0x1802179be,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},EnteringEditMode,5,0x400000000000,"location:UInt32, quickActionId:UnicodeString, isOverflowExpanded:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d1
?StartActivity@InitializingQuickActions@QuickActionsTelemetry@@QEAAXXZ,0x18015aeb3,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},InitializingQuickActions,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@InitializingQuickActions@QuickActionsTelemetry@@MEAAXXZ,0x18015b292,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},InitializingQuickActions,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@InitializingQuickActions@QuickActionsTelemetry@@MEAAXXZ,0x18015b3f1,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},InitializingQuickActions,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
