Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VDesktopStickerEditorTelemetryLogging@@$00$0EAAAAAAAAAAA@$04$0CAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800365d8,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VDesktopStickerEditorTelemetryLogging@@$00$0EAAAAAAAAAAA@$04$0CAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18003671b,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VDesktopStickerEditorTelemetryLogging@@$00$0EAAAAAAAAAAA@$04$0CAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18003c39a,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18002d893,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},ActivityStoppedAutomatically,5,0x400000000000,(none),GlobalFallback
?StartActivity@AddStickerActivity@DesktopStickerEditorTelemetry@@QEAAXXZ,0x180039505,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},AddStickerActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@AddStickerActivity@DesktopStickerEditorTelemetry@@MEAAXXZ,0x18003c480,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},AddStickerActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@AddStickerActivity@DesktopStickerEditorTelemetry@@MEAAXXZ,0x18003c5e0,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},AddStickerActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?ApplicationStarted@DesktopStickerEditorTelemetry@@SAXXZ,0x180082107,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},ApplicationStarted,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d2
??$BackgroundStickersAppLaunched@AEAH@DesktopStickerEditorTelemetry@@SAXAEAH@Z,0x18006eebc,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},BackgroundStickersAppLaunched,5,0x0,sessionid:UInt32,CallGraph-d2
?StartActivity@DeleteStickerAnimationActivity@DesktopStickerEditorTelemetry@@QEAAXXZ,0x180044891,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},DeleteStickerAnimationActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@DeleteStickerAnimationActivity@DesktopStickerEditorTelemetry@@MEAAXXZ,0x180046810,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},DeleteStickerAnimationActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@DeleteStickerAnimationActivity@DesktopStickerEditorTelemetry@@MEAAXXZ,0x180046970,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},DeleteStickerAnimationActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180004cd9,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180004e9e,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",GlobalFallback
?StartActivity@InvokeStickerPickerActivity@DesktopStickerEditorTelemetry@@QEAAXXZ,0x1800395c5,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},InvokeStickerPickerActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@InvokeStickerPickerActivity@DesktopStickerEditorTelemetry@@MEAAXXZ,0x18003c6b0,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},InvokeStickerPickerActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@InvokeStickerPickerActivity@DesktopStickerEditorTelemetry@@MEAAXXZ,0x18003c810,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},InvokeStickerPickerActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@LoadEditorActivity@DesktopStickerEditorTelemetry@@QEAAXXZ,0x180039685,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},LoadEditorActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
