Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VCDNDownloaderProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x14004fd21,Microsoft.Windows.DeviceManagement.CDNDownloader,{C280A7FD-E32E-4594-A073-C29658BEA931},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VCDNDownloaderProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x14004fe74,Microsoft.Windows.DeviceManagement.CDNDownloader,{C280A7FD-E32E-4594-A073-C29658BEA931},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VCDNDownloaderProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x140051615,Microsoft.Windows.DeviceManagement.CDNDownloader,{C280A7FD-E32E-4594-A073-C29658BEA931},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?LogTelemetryError@@YAXPEBGZZ,0x140052ca4,Microsoft.Windows.DeviceManagement.CDNDownloader,{C280A7FD-E32E-4594-A073-C29658BEA931},Error,2,0x200000000000,"Message:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
?StartActivity@HandleWatchDog_Activity@CDNDownloaderProvider@@QEAAXXZ,0x140050e7b,Microsoft.Windows.DeviceManagement.CDNDownloader,{C280A7FD-E32E-4594-A073-C29658BEA931},HandleWatchDog_Activity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@HandleWatchDog_Activity@CDNDownloaderProvider@@MEAAXXZ,0x140051763,Microsoft.Windows.DeviceManagement.CDNDownloader,{C280A7FD-E32E-4594-A073-C29658BEA931},HandleWatchDog_Activity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@HandleWatchDog_Activity@CDNDownloaderProvider@@MEAAXXZ,0x1400518f0,Microsoft.Windows.DeviceManagement.CDNDownloader,{C280A7FD-E32E-4594-A073-C29658BEA931},HandleWatchDog_Activity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?LogTelemetryInfo@@YAXPEBGZZ,0x140052db0,Microsoft.Windows.DeviceManagement.CDNDownloader,{C280A7FD-E32E-4594-A073-C29658BEA931},Info,4,0x200000000000,"Message:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
?LogConfigRefreshEnd@CConfigRefreshLogger@@QEAAXJ@Z,0x14003a2e8,Microsoft.Windows.DeviceManagement.ConfigRefresh,{5DC29D2F-408E-46DC-AF04-274C9B468B92},ConfigRefreshEnd,5,0x400000000000,"PartA_PrivTags:UInt64, HResult:Int32(HResult), __TlgCV__:AnsiString",Direct-Preceding
?LogConfigRefreshJustPerUserEnd@CConfigRefreshLogger@@QEAAXJ@Z,0x14003a404,Microsoft.Windows.DeviceManagement.ConfigRefresh,{5DC29D2F-408E-46DC-AF04-274C9B468B92},ConfigRefreshJustPerUserEnd,5,0x400000000000,"PartA_PrivTags:UInt64, HResult:Int32(HResult), __TlgCV__:AnsiString",Direct-Preceding
