Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?LogDeviceSetupEvent@@YAXPEAU_GUID@@PEBGIIIIKJ_K22222@Z,0x18001b7d2,Microsoft.Windows.DeviceSetupManager,{AB11A476-79F6-5026-7D54-2E9B9E539A2D},DeviceSetupEvent,5,0x200000000000,"PartA_PrivTags:UInt64, ContainerId:GUID, DeviceIdentifier:UnicodeString, DeviceCategory:UInt32, DeviceDiscoveryMethod:UInt32, ConfigFlags:UInt32, SetupInfoFlags:UInt32, BitFieldGroup1:UInt32, FirstFailureCode:Int32(HResult), QueueWaitTime:UInt64, SetupDuration:UInt64, DriverTaskDuration:UInt64, MetadataTaskDuration:UInt64, SoftwareTaskDuration:UInt64, HeuristicTaskDuration:UInt64",Direct-Preceding
?_WriteDsmUsageStatistics@CDsmCore@@AEAAXXZ,0x18002139c,Microsoft.Windows.DeviceSetupManager,{AB11A476-79F6-5026-7D54-2E9B9E539A2D},UsageStats,5,0x200000000000,"Time:UInt32, RetryCycles:UInt32, ServiceUpTime:UInt32, WorkingTime:UInt32, PausedTime:UInt32, RetryTime:UInt32, IdleTime:UInt32, OOBE:Bool32, Offline:Bool32, WUSoftErrors:Bool32, RunningTimeOverflow:Bool32, WorkCycles:UInt32, SessionNumber:UInt32",Direct-Preceding
?DrvRecoveryLogBegin@@YAXPEAU_DRVRECOVERY_INFO@@@Z,0x18003efbb,Microsoft.Windows.DriverInstall,{A23BD382-12AB-4F02-A0D7-273153F8B65A},DrvRecoveryBegin,5,0x200000000000,"PartA_PrivTags:UInt64, RecoveryId:UnicodeString, InstanceId:UnicodeString",Direct-Preceding
?DrvRecoveryLogEnd@@YAXPEAU_DRVRECOVERY_INFO@@H@Z,0x18003f252,Microsoft.Windows.DriverInstall,{A23BD382-12AB-4F02-A0D7-273153F8B65A},DrvRecoveryEnd,5,0x400000000000,"PartA_PrivTags:UInt64, RecoveryId:UnicodeString, InstanceId:UnicodeString, RecoveryType:UInt32, State:UInt32, BehaviorFlags:UInt32, DriverPackageIds:UnicodeString, DeviceInstanceIds:UnicodeString, FaultDetected:Bool32, DeviceMethodId:UInt32, DriverMethodId:UInt32, ActionResult:UInt32, ElapsedTime:SystemTime",Direct-Preceding
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18001d511,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18001d723,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18001d47c,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureUsage,5,0x2,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18001d5ff,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureVariantUsage,5,0x4,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), variantKind:UInt32, variant:UInt8, addend:UInt64",CallGraph-d2
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18001f6b5,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18001f877,Unknown,Unknown,FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Unresolved
