Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VDispBrokerTelemetry@@$00$0CAAAAAAAAAAA@$04$0BAAAIAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180041df5,Microsoft-Windows-DispBroker,{2B1BBE78-BF8D-57C1-007A-E8628F64E8B3},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VDispBrokerTelemetry@@$00$0CAAAAAAAAAAA@$04$0BAAAIAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180041f3d,Microsoft-Windows-DispBroker,{2B1BBE78-BF8D-57C1-007A-E8628F64E8B3},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VDispBrokerTelemetry@@$00$0EAAAAAAAAAAA@$04$0BAAAIAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180042145,Microsoft-Windows-DispBroker,{2B1BBE78-BF8D-57C1-007A-E8628F64E8B3},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VDispBrokerTelemetry@@$00$0EAAAAAAAAAAA@$04$0BAAAIAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18004228d,Microsoft-Windows-DispBroker,{2B1BBE78-BF8D-57C1-007A-E8628F64E8B3},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VDispBrokerTelemetry@@$00$0CAAAAAAAAAAA@$04$0BAAAIAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180042ac1,Microsoft-Windows-DispBroker,{2B1BBE78-BF8D-57C1-007A-E8628F64E8B3},ActivityIntermediateStop,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?Stop@?$ActivityBase@VDispBrokerTelemetry@@$00$0EAAAAAAAAAAA@$04$0BAAAIAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18001cb1c,Microsoft-Windows-DispBroker,{2B1BBE78-BF8D-57C1-007A-E8628F64E8B3},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$DisplayMuxApiPreferredTargetv2@PEBGAEA_KAEAIAEAU_GUID@@AEAUhresult@winrt@@AEAI@DispBrokerTelemetry@@SAX$$QEAPEBGAEA_KAEAIAEAU_GUID@@AEAUhresult@winrt@@2@Z,0x1800460b3,Microsoft-Windows-DispBroker,{2B1BBE78-BF8D-57C1-007A-E8628F64E8B3},DisplayMuxApiPreferredTargetv2,5,0x400000000000,"muxId:UnicodeString, adapterLuid:UInt64, targetIdx:UInt32, appGuid:GUID, result:Int32, errorStage:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
??$DisplayMuxApiSetAutomaticTargetSwitching@Uguid@winrt@@@DispBrokerTelemetry@@SAX$$QEAUguid@winrt@@@Z,0x180046157,Microsoft-Windows-DispBroker,{2B1BBE78-BF8D-57C1-007A-E8628F64E8B3},DisplayMuxApiSetAutomaticTargetSwitching,5,0x400000000000,"appGuid:GUID, PartA_PrivTags:UInt64",CallGraph-d2
?StartActivity@DisplayPathQueryModes@DispBrokerTelemetry@@QEAAXXZ,0x180055a08,Microsoft-Windows-DispBroker,{2B1BBE78-BF8D-57C1-007A-E8628F64E8B3},DisplayPathQueryModes,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@DisplayPathQueryModes@DispBrokerTelemetry@@MEAAXXZ,0x180055ab2,Microsoft-Windows-DispBroker,{2B1BBE78-BF8D-57C1-007A-E8628F64E8B3},DisplayPathQueryModes,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
