Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?DialogVisible@FirewallUX@NetworkingTriageScenario@@SAXAEBURequiredFields@12@AEBUNotificationFields@12@PEBG@Z,0x180017ea7,Microsoft.OneCore.NetworkingTriage.FirewallUX,{8E6F4905-0D1C-5EFE-B6B3-0180234333E2},DialogVisible,5,0x400000000000,"eventSource:AnsiString, dialogType:AnsiString, askOnProfiles:HexInt32, otherAllowedProfiles:HexInt32, otherBlockedProfiles:HexInt32, otherEdgeAllowedProfiles:HexInt32, newBlockProfilesPlumbed:HexInt32, shouldHint:UInt8(Boolean), shouldConfigure:UInt8(Boolean), isDynEdge:UInt8(Boolean), isETOnly:UInt8(Boolean), imageName:UnicodeString, PartA_PrivTags:UInt64, PartA_PrivTags:UInt64",CallGraph-d1
?LinkClicked@FirewallUX@NetworkingTriageScenario@@SAXAEBURequiredFields@12@@Z,0x180012a1c,Microsoft.OneCore.NetworkingTriage.FirewallUX,{8E6F4905-0D1C-5EFE-B6B3-0180234333E2},LinkClicked,5,0x400000000000,"eventSource:AnsiString, dialogType:AnsiString, PartA_PrivTags:UInt64, PartA_PrivTags:UInt64",CallGraph-d1
?NotificationDialogAllowed@FirewallUX@NetworkingTriageScenario@@SAXAEBURequiredFields@12@AEBUUnblockFields@12@J@Z,0x18001f9fe,Microsoft.OneCore.NetworkingTriage.FirewallUX,{8E6F4905-0D1C-5EFE-B6B3-0180234333E2},NotificationDialogAllowed,5,0x400000000000,"eventSource:AnsiString, dialogType:AnsiString, profilesToUnblock:HexInt32, profilesToBlock:HexInt32, result:Int32(HResult), PartA_PrivTags:UInt64, PartA_PrivTags:UInt64",CallGraph-d1
?NotificationDialogCanceled@FirewallUX@NetworkingTriageScenario@@SAXAEBURequiredFields@12@@Z,0x18001faf8,Microsoft.OneCore.NetworkingTriage.FirewallUX,{8E6F4905-0D1C-5EFE-B6B3-0180234333E2},NotificationDialogCanceled,5,0x400000000000,"eventSource:AnsiString, dialogType:AnsiString, PartA_PrivTags:UInt64, PartA_PrivTags:UInt64",CallGraph-d1
?NotificationDialogCheckboxChanged@FirewallUX@NetworkingTriageScenario@@SAXAEBURequiredFields@12@I_N@Z,0x18001fca3,Microsoft.OneCore.NetworkingTriage.FirewallUX,{8E6F4905-0D1C-5EFE-B6B3-0180234333E2},NotificationDialogCheckboxChanged,5,0x400000000000,"eventSource:AnsiString, dialogType:AnsiString, networkType:HexInt32, allow:UInt8(Boolean), PartA_PrivTags:UInt64, PartA_PrivTags:UInt64",CallGraph-d1
?NotificationDialogShowMoreExpanded@FirewallUX@NetworkingTriageScenario@@SAXAEBURequiredFields@12@@Z,0x18001ff40,Microsoft.OneCore.NetworkingTriage.FirewallUX,{8E6F4905-0D1C-5EFE-B6B3-0180234333E2},NotificationDialogShowMoreExpanded,5,0x400000000000,"eventSource:AnsiString, dialogType:AnsiString, PartA_PrivTags:UInt64, PartA_PrivTags:UInt64",CallGraph-d1
?WarningDialogClosed@FirewallUX@NetworkingTriageScenario@@SAXAEBURequiredFields@12@@Z,0x1800189d4,Microsoft.OneCore.NetworkingTriage.FirewallUX,{8E6F4905-0D1C-5EFE-B6B3-0180234333E2},WarningDialogClosed,5,0x200000000000,"eventSource:AnsiString, dialogType:AnsiString, PartA_PrivTags:UInt64, PartA_PrivTags:UInt64",CallGraph-d1
?NotifyFailure@?$ActivityBase@VFirewallUxTraceLoggingProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180007fa1,Microsoft.Windows.FirewallUX,{3E7D64A0-6123-5772-93F1-48FBE195A162},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VFirewallUxTraceLoggingProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18001334e,Microsoft.Windows.FirewallUX,{3E7D64A0-6123-5772-93F1-48FBE195A162},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@AllowApplication@FirewallUxTelemetry@@QEAAXPEAUHWND__@@PEBGKK_NK@Z,0x18002087f,Microsoft.Windows.FirewallUX,{3E7D64A0-6123-5772-93F1-48FBE195A162},AllowApplication,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, HWND:HexInt64, AppPath:UnicodeString, ProfileTypesAllowed:UInt32, ProfileTypesBlocked:UInt32, IsDynEdge:UInt8(Boolean), NewBlockProfilesPlumbed:UInt32",CallGraph-d1
?StopActivity@AllowApplication@FirewallUxTelemetry@@MEAAXXZ,0x180020ae3,Microsoft.Windows.FirewallUX,{3E7D64A0-6123-5772-93F1-48FBE195A162},AllowApplication,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@AllowApplication@FirewallUxTelemetry@@MEAAXXZ,0x180020c92,Microsoft.Windows.FirewallUX,{3E7D64A0-6123-5772-93F1-48FBE195A162},AllowApplication,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$AllowButtonEnabled@_N@FirewallUxTelemetry@@SAX$$QEA_N@Z,0x18001af5c,Microsoft.Windows.FirewallUX,{3E7D64A0-6123-5772-93F1-48FBE195A162},AllowButtonEnabled,5,0x0,isEnabled:UInt8(Boolean),CallGraph-d1
?AppDisplayInfo@FirewallUxTelemetry@@SAXUhstring@winrt@@0PEAUHICON__@@@Z,0x18000f911,Microsoft.Windows.FirewallUX,{3E7D64A0-6123-5772-93F1-48FBE195A162},AppDisplayInfo,5,0x0,"DisplayName:UnicodeString, Company:UnicodeString, Icon:HexInt64",CallGraph-d1
