Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?StartActivity@ActivityAddHistory@FluencyDSTelemetry@@QEAAXXZ,0x1800e85e8,Microsoft.Windows.TextInput.FluencyDS,{9384638B-DB04-57ED-AF12-E492DA02D5D6},ActivityAddHistory,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@ActivityAddHistory@FluencyDSTelemetry@@MEAAXXZ,0x1800e8cf3,Microsoft.Windows.TextInput.FluencyDS,{9384638B-DB04-57ED-AF12-E492DA02D5D6},ActivityAddHistory,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@ActivityAddHistory@FluencyDSTelemetry@@MEAAXXZ,0x1800e8ea2,Microsoft.Windows.TextInput.FluencyDS,{9384638B-DB04-57ED-AF12-E492DA02D5D6},ActivityAddHistory,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@ActivityClearSpellingDictionaryData@FluencyDSTelemetry@@QEAAXXZ,0x1800e8730,Microsoft.Windows.TextInput.FluencyDS,{9384638B-DB04-57ED-AF12-E492DA02D5D6},ActivityClearSpellingDictionaryData,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@ActivityClearSpellingDictionaryData@FluencyDSTelemetry@@MEAAXXZ,0x1800e8f83,Microsoft.Windows.TextInput.FluencyDS,{9384638B-DB04-57ED-AF12-E492DA02D5D6},ActivityClearSpellingDictionaryData,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@ActivityClearSpellingDictionaryData@FluencyDSTelemetry@@MEAAXXZ,0x1800e9132,Microsoft.Windows.TextInput.FluencyDS,{9384638B-DB04-57ED-AF12-E492DA02D5D6},ActivityClearSpellingDictionaryData,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@ActivityDeleteHistory@FluencyDSTelemetry@@QEAAXXZ,0x1800e8878,Microsoft.Windows.TextInput.FluencyDS,{9384638B-DB04-57ED-AF12-E492DA02D5D6},ActivityDeleteHistory,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@ActivityDeleteHistory@FluencyDSTelemetry@@MEAAXXZ,0x1800e9213,Microsoft.Windows.TextInput.FluencyDS,{9384638B-DB04-57ED-AF12-E492DA02D5D6},ActivityDeleteHistory,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@ActivityDeleteHistory@FluencyDSTelemetry@@MEAAXXZ,0x1800e93c2,Microsoft.Windows.TextInput.FluencyDS,{9384638B-DB04-57ED-AF12-E492DA02D5D6},ActivityDeleteHistory,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?NotifyFailure@?$ActivityBase@VFluencyDSLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800e4601,Microsoft.Windows.TextInput.FluencyDS,{9384638B-DB04-57ED-AF12-E492DA02D5D6},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VFluencyDSLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800e472e,Microsoft.Windows.TextInput.FluencyDS,{9384638B-DB04-57ED-AF12-E492DA02D5D6},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?ReportStopActivity@?$ActivityBase@VFluencyDSLogging@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x1800e72f0,Microsoft.Windows.TextInput.FluencyDS,{9384638B-DB04-57ED-AF12-E492DA02D5D6},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
