Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?RuntimeClassInitialize@GraphicsPerformanceMonitor@@QEAAJK@Z,0x18000d633,Microsoft.Windows.Graphics.GPM,{9143E88C-3068-446D-8782-2848CF0034B7},AddConsumer,5,0x1,"PartA_PrivTags:UInt64, UTCReplace_AppSessionGuid:Bool32, TargetProcessId:UInt32, Consumer:HexInt64, Type:Int32, PresentConsumersAdded:UInt32[N], PresentConsumersCurrentCount:UInt32[N], ProcessesTrackedAdded:UInt32, ProcessesTrackedCurrentCount:UInt32",CallGraph-d2
?WnfEventHandlerForTelemetryTarget@@YAJU_WNF_STATE_NAME@@KPEAU_WNF_TYPE_ID@@PEAXPEBXK@Z,0x180010947,Microsoft.Windows.Graphics.GPM,{9143E88C-3068-446D-8782-2848CF0034B7},AddConsumer,5,0x1,"PartA_PrivTags:UInt64, UTCReplace_AppSessionGuid:Bool32, TargetProcessId:UInt32, Consumer:HexInt64, Type:Int32, PresentConsumersAdded:UInt32[N], PresentConsumersCurrentCount:UInt32[N], ProcessesTrackedAdded:UInt32, ProcessesTrackedCurrentCount:UInt32",CallGraph-d2
?PresentTimeout@TelemetryEventConsumer@@UEAAXXZ,0x180012eff,Microsoft.Windows.Graphics.GPM,{9143E88C-3068-446D-8782-2848CF0034B7},ConsumerTimeout,5,0x1,"PartA_PrivTags:UInt64, UTCReplace_AppSessionGuid:Bool32, TargetProcessId:UInt32, IsProcessIdValid:Bool32, TargetAppSessionGuid:GUID, Consumer:HexInt64, Type:Int32, StopTracingReasons:Int32",CallGraph-d2
?LogCreatePresentEventConsumer@TraceProvider@gpm@@SAXKW4TrackingReason@12@@Z,0x18001220b,Microsoft.Windows.Graphics.GPM,{9143E88C-3068-446D-8782-2848CF0034B7},CreatePresentEventConsumer,5,0x400000000000,"PartA_PrivTags:UInt64, UTCReplace_AppSessionGuid:Bool32, TargetAppSessionGuid:GUID, ProcessId:UInt32, ProcessName:AnsiString, TrackingReason:UInt32",Direct-Preceding
?LogDiagnostic@TelemetrySink@@UEAAXPEBGU_GUID@@@Z,0x1800130ac,Microsoft.Windows.Graphics.GPM,{9143E88C-3068-446D-8782-2848CF0034B7},Diagnostic,5,0x1,"PartA_PrivTags:UInt64, UTCReplace_AppSessionGuid:Bool32, TargetAppSessionGuid:GUID, Message:UnicodeString",CallGraph-d2
?LogBufferData@@YAXPEBU_EVENT_TRACE_LOGFILEW@@@Z,0x180023c99,Microsoft.Windows.Graphics.GPM,{9143E88C-3068-446D-8782-2848CF0034B7},ETWTraceSession_TraceBufferCallback,4,0x0,"BufferSize:UInt32, Filled:UInt32, EventsLost:UInt32",Direct-Preceding
?LogTraceStart@@YAXPEBDKPEBU_EVENT_TRACE_PROPERTIES@@@Z,0x180023df9,Microsoft.Windows.Graphics.GPM,{9143E88C-3068-446D-8782-2848CF0034B7},ETWTraceSession_TraceProperties,5,0x0,"Message:AnsiString, Win32Error:UInt32, BufferSize:UInt32, MinimumBuffers:UInt32, MaximumBuffers:UInt32, MaximumFileSize:UInt32, LogFileMode:UInt32, FlushTimer:UInt32, EnableFlags:UInt32, AgeLimit:Int32, NumberOfBuffers:UInt32, FreeBuffers:UInt32, EventsLost:UInt32, BuffersWritten:UInt32, LogBuffersLost:UInt32, RealTimeBuffersLost:UInt32, LogFileNameOffset:UInt32, LoggerNameOffset:UInt32",Direct-Preceding
?OnErrorReported@TraceProvider@gpm@@UEAAX_NAEBUFailureInfo@wil@@@Z,0x180012661,Microsoft.Windows.Graphics.GPM,{9143E88C-3068-446D-8782-2848CF0034B7},FallbackError,5,0x400000000000,"PartA_PrivTags:UInt64, UTCReplace_AppSessionGuid:Bool32, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Direct-Preceding
?LogCheckProcess@TraceProvider@gpm@@SAXKV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UConfig@PresentTraceConsumerCore@@U_GUID@@@Z,0x180012021,Microsoft.Windows.Graphics.GPM,{9143E88C-3068-446D-8782-2848CF0034B7},FoundTarget,5,0x400000000000,"PartA_PrivTags:UInt64, UTCReplace_AppSessionGuid:Bool32, SchemaVersion:UInt32, TargetAppSessionGuid:GUID, ProcessId:UInt32, ProcessName:AnsiString, HistogramFpsBuckets:Float[N], HistogramBucketCount:UInt32, HistogramTimingMsBuckets:Float[N], HistogramTimingMsBucketCount:UInt32, SamplingPeriodSeconds:UInt32, TimeoutIntervalSeconds:UInt32",Direct-Preceding
?OnSamplingFrequency@TraceProvider@gpm@@SAXAEBUCounters@PresentTraceConsumerCore@@@Z,0x1800129e2,Microsoft.Windows.Graphics.GPM,{9143E88C-3068-446D-8782-2848CF0034B7},OnSamplingFrequency,5,0x1,"PartA_PrivTags:UInt64, UTCReplace_AppSessionGuid:Bool32, StatisticsSchema:UInt32, PageFaultCount:UInt32, PeakPagefileUsage:UInt64, PeakWorkingSetSize:UInt64, WorkingSetSize:UInt64, QuotaPeakPagedPoolUsage:UInt64, QuotaPagedPoolUsage:UInt64, QuotaPeakNonPagedPoolUsage:UInt64, QuotaNonPagedPoolUsage:UInt64, Cb:UInt32, PresentConsumersAdded:UInt32[N], PresentConsumersCurrentCount:UInt32[N], EventsProcessed:UInt32, SamplingFrequencyEventCounters:Struct(Boolean), EventsProcessed:UInt32, EventsLost:UInt32, RealTimeBuffersLost:UInt32, TargetProcessEventsProcessed:UInt32, PresentsStarted:UInt32, PresentsLost:UInt32, ProcessesTrackedAdded:UInt32, ProcessesTrackedCurrentCount:UInt32, StatSummaryEventCount:UInt32, PresentDataCurrentInQueuePresents:UInt64, PresentDataPeakInQueuePresents:UInt64, CurrentPrivateWorkingSetSize:UInt64, PeakPrivateWorkingSetSize:UInt64, PresentDataPeakInQueueAppName:AnsiString, PresentDataPeakInQueueAppPresents:UInt64, PresentDataPeakInQueueAppSessionGuid:GUID, PresentDataPeakInQueueAppSessionGuidHr:Int32",Direct-Preceding
