Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VIrisServiceLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18006bb16,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?NotifyFailure@?$ActivityBase@VIrisServiceLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18006bc67,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?NotifyFailure@?$ActivityBase@VIrisServiceLogging@@$00$0IAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18007cbf6,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityError,2,0xa00000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?NotifyFailure@?$ActivityBase@VIrisServiceLogging@@$00$0IAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18007cd47,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityError,2,0x800000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?Stop@?$ActivityBase@VIrisServiceLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1800284a8,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
?Stop@?$ActivityBase@VIrisServiceLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1800284ce,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x1800612b9,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityStoppedAutomatically,5,0x400000000000,(none),SingleProvider
??$_tlgWriteActivityAutoStop@$0IAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18007a3c1,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityStoppedAutomatically,5,0x800000000000,(none),SingleProvider
??$AssetDownloadingHttpResponse@PEB_WPEB_W@IrisServiceLogging@@SAX$$QEAPEB_W0@Z,0x18009ceb2,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},AssetDownloadingHttpResponse,5,0x400000000000,"host:UnicodeString, statusCode:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
??$BackgroundTaskAction@PEB_WPEB_WPEB_WAEA_N@IrisServiceLogging@@SAX$$QEAPEB_W00AEA_N@Z,0x1800820b1,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},BackgroundTaskAction,5,0x400000000000,"pId:UnicodeString, action:UnicodeString, timestamp:UnicodeString, success:UInt8(Boolean), PartA_PrivTags:UInt64",SingleProvider
??$BackgroundTaskCompleted@AEAW4BackgroundTaskTrigger@IrisService@winrt@@@IrisServiceLogging@@SAXAEAW4BackgroundTaskTrigger@IrisService@winrt@@@Z,0x180028bde,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},BackgroundTaskCompleted,5,0x400000000000,"trigger:UInt32, PartA_PrivTags:UInt64",SingleProvider
??$BackgroundTaskException@AEAJ@IrisServiceLogging@@SAXAEAJ@Z,0x18008216a,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},BackgroundTaskException,5,0x400000000000,"hr:UInt32, PartA_PrivTags:UInt64",SingleProvider
??$BackgroundTaskTriggered@AEAW4BackgroundTaskTrigger@IrisService@winrt@@@IrisServiceLogging@@SAXAEAW4BackgroundTaskTrigger@IrisService@winrt@@@Z,0x1800260f4,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},BackgroundTaskTriggered,5,0x400000000000,"trigger:UInt32, PartA_PrivTags:UInt64",SingleProvider
??$BackgroundTaskTriggered@AEAW4BackgroundTaskTrigger@IrisService@winrt@@@IrisServiceLogging@@SAXAEAW4BackgroundTaskTrigger@IrisService@winrt@@@Z,0x180026131,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},BackgroundTaskTriggered,5,0x400000000000,"trigger:UInt32, PartA_PrivTags:UInt64",SingleProvider
??$CTACFlightIds@PEB_W@IrisServiceLogging@@SAX$$QEAPEB_W@Z,0x180028dc3,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},CTACFlightIds,5,0x400000000000,"FlightIds:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
??$ConcurrentBackgroundTasksRunning@AEAJAEAW4BackgroundTaskTrigger@IrisService@winrt@@@IrisServiceLogging@@SAXAEAJAEAW4BackgroundTaskTrigger@IrisService@winrt@@@Z,0x18005d215,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ConcurrentBackgroundTasksRunning,5,0x400000000000,"runningTask:Int32, newTask:UInt32, PartA_PrivTags:UInt64",SingleProvider
??$CreativeControl@PEB_W@IrisServiceLogging@@SAX$$QEAPEB_W@Z,0x180025dd7,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},CreativeControl,5,0x400000000000,"CreativeId:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
??$CreativeExpired@PEB_W@IrisServiceLogging@@SAX$$QEAPEB_W@Z,0x180079feb,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},CreativeExpired,5,0x400000000000,"CreativeId:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
?StartActivity@DataCacheService_Available@IrisServiceLogging@@QEAAXXZ,0x18007052d,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},DataCacheService_Available,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
?Stop@DataCacheService_Available@IrisServiceLogging@@QEAAXPEB_W0_N1@Z,0x180070909,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},DataCacheService_Available,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, PlacementId:UnicodeString, Key:UnicodeString, FullContext:UInt8(Boolean), Found:UInt8(Boolean)",SingleProvider
?Stop@DataCacheService_Available@IrisServiceLogging@@QEAAXPEB_W0_N1@Z,0x180070ad4,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},DataCacheService_Available,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, PlacementId:UnicodeString, Key:UnicodeString, FullContext:UInt8(Boolean), Found:UInt8(Boolean)",SingleProvider
?StopActivity@DataCacheService_Available@IrisServiceLogging@@MEAAXXZ,0x180070edf,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},DataCacheService_Available,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?StopActivity@DataCacheService_Available@IrisServiceLogging@@MEAAXXZ,0x180071049,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},DataCacheService_Available,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
?StartActivity@DataCacheService_CleanupExpiredEntries@IrisServiceLogging@@QEAAXXZ,0x1800705f1,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},DataCacheService_CleanupExpiredEntries,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
?Stop@DataCacheService_CleanupExpiredEntries@IrisServiceLogging@@QEAAXHI@Z,0x180070c01,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},DataCacheService_CleanupExpiredEntries,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, EntriesDeleted:Int32, HResult:UInt32",SingleProvider
