Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VLanguageComponentsInstallerTelemetryProvider@@$00$0EAAAAAAAAAAA@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800183c1,Microsoft.Windows.Shell.LanguageComponentsInstaller,{A245F3C6-C600-5D61-6978-14299DB0CB16},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VLanguageComponentsInstallerTelemetryProvider@@$00$0EAAAAAAAAAAA@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180018514,Microsoft.Windows.Shell.LanguageComponentsInstaller,{A245F3C6-C600-5D61-6978-14299DB0CB16},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VLanguageComponentsInstallerTelemetryProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800248e1,Microsoft.Windows.Shell.LanguageComponentsInstaller,{A245F3C6-C600-5D61-6978-14299DB0CB16},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VLanguageComponentsInstallerTelemetryProvider@@$00$0EAAAAAAAAAAA@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18001bb53,Microsoft.Windows.Shell.LanguageComponentsInstaller,{A245F3C6-C600-5D61-6978-14299DB0CB16},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?Stop@?$ActivityBase@VLanguageComponentsInstallerTelemetryProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180024f2c,Microsoft.Windows.Shell.LanguageComponentsInstaller,{A245F3C6-C600-5D61-6978-14299DB0CB16},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@InstallationRequest@LanguageComponentsInstallerTelemetry@@QEAAXAEBV?$vector@VCbsLanguageFeature@@V?$allocator@VCbsLanguageFeature@@@std@@@std@@@Z,0x180024c98,Microsoft.Windows.Shell.LanguageComponentsInstaller,{A245F3C6-C600-5D61-6978-14299DB0CB16},InstallationRequest,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, FeatureList:UnicodeString",CallGraph-d1
?StopActivity@InstallationRequest@LanguageComponentsInstallerTelemetry@@MEAAXXZ,0x180025073,Microsoft.Windows.Shell.LanguageComponentsInstaller,{A245F3C6-C600-5D61-6978-14299DB0CB16},InstallationRequest,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@InstallationRequest@LanguageComponentsInstallerTelemetry@@MEAAXXZ,0x180025222,Microsoft.Windows.Shell.LanguageComponentsInstaller,{A245F3C6-C600-5D61-6978-14299DB0CB16},InstallationRequest,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@InstallationTaskRun@LanguageComponentsInstallerTelemetry@@QEAAXV?$vector@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@V?$allocator@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@2@@std@@@Z,0x18001b752,Microsoft.Windows.Shell.LanguageComponentsInstaller,{A245F3C6-C600-5D61-6978-14299DB0CB16},InstallationTaskRun,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, LanguagesToInstall:UnicodeString",CallGraph-d1
?StopActivity@InstallationTaskRun@LanguageComponentsInstallerTelemetry@@MEAAXXZ,0x18001bcd3,Microsoft.Windows.Shell.LanguageComponentsInstaller,{A245F3C6-C600-5D61-6978-14299DB0CB16},InstallationTaskRun,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@InstallationTaskRun@LanguageComponentsInstallerTelemetry@@MEAAXXZ,0x18001be63,Microsoft.Windows.Shell.LanguageComponentsInstaller,{A245F3C6-C600-5D61-6978-14299DB0CB16},InstallationTaskRun,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@UninstallationRequest@LanguageComponentsInstallerTelemetry@@QEAAXAEBV?$vector@VCbsLanguageFeature@@V?$allocator@VCbsLanguageFeature@@@std@@@std@@@Z,0x180024dfc,Microsoft.Windows.Shell.LanguageComponentsInstaller,{A245F3C6-C600-5D61-6978-14299DB0CB16},UninstallationRequest,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, FeatureList:UnicodeString",CallGraph-d1
