Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VLockScreenDataLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800077f1,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VLockScreenDataLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180007839,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VLockScreenDataLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180007941,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VLockScreenDataLogging@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180014917,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Direct-Preceding
?NotifyFailure@?$ActivityBase@VLockScreenDataLogging@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180014954,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Direct-Preceding
?Stop@?$ActivityBase@VLockScreenDataLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180006145,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?Stop@?$ActivityBase@VLockScreenDataLogging@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18000558c,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?AdaptiveCardTileHintFound@LockScreenDataTelemetry@@SAXXZ,0x180039a97,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},AdaptiveCardTileHintFound,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d1
?AdaptiveCardTileHintNotFound@LockScreenDataTelemetry@@SAXXZ,0x180039ae7,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},AdaptiveCardTileHintNotFound,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d1
?StartActivity@AddTileToPinnedTilesCTCActivity@LockScreenDataTelemetry@@QEAAXXZ,0x1800326e0,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},AddTileToPinnedTilesCTCActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?Stop@AddTileToPinnedTilesCTCActivity@LockScreenDataTelemetry@@QEAAXPEBGI@Z,0x180032d7f,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},AddTileToPinnedTilesCTCActivity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString, tileId:UnicodeString, slot:UInt32",CallGraph-d1
?Stop@AddTileToPinnedTilesCTCActivity@LockScreenDataTelemetry@@QEAAXPEBGI@Z,0x180032dc2,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},AddTileToPinnedTilesCTCActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, tileId:UnicodeString, slot:UInt32",CallGraph-d1
?StopActivity@AddTileToPinnedTilesCTCActivity@LockScreenDataTelemetry@@MEAAXXZ,0x1800333a9,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},AddTileToPinnedTilesCTCActivity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@AddTileToPinnedTilesCTCActivity@LockScreenDataTelemetry@@MEAAXXZ,0x18003352e,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},AddTileToPinnedTilesCTCActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$AlarmBadgeCreated@AEAPEBG@LockScreenDataTelemetry@@SAXAEAPEBG@Z,0x18000cd14,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},AlarmBadgeCreated,5,0x0,aumId:UnicodeString,CallGraph-d1
??$AlarmBadgeCreated@AEAPEBG@LockScreenDataTelemetry@@SAXAEAPEBG@Z,0x18000cd49,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},AlarmBadgeCreated,5,0x0,aumId:UnicodeString,CallGraph-d1
?StartActivity@AllUnifiedTilesEnumerateActivity@LockScreenDataTelemetry@@QEAAXXZ,0x1800253c8,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},AllUnifiedTilesEnumerateActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@AllUnifiedTilesEnumerateActivity@LockScreenDataTelemetry@@MEAAXXZ,0x1800335e9,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},AllUnifiedTilesEnumerateActivity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@AllUnifiedTilesEnumerateActivity@LockScreenDataTelemetry@@MEAAXXZ,0x18003376e,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},AllUnifiedTilesEnumerateActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@BadgeNotificationProcessActivity@LockScreenDataTelemetry@@QEAAXPEBG@Z,0x180006493,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},BadgeNotificationProcessActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, aumId:UnicodeString",CallGraph-d1
?StartActivity@BadgeNotificationProcessActivity@LockScreenDataTelemetry@@QEAAXPEBG@Z,0x1800064ce,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},BadgeNotificationProcessActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, aumId:UnicodeString",CallGraph-d1
?Stop@BadgeNotificationProcessActivity@LockScreenDataTelemetry@@QEAAX_N0@Z,0x180003d8e,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},BadgeNotificationProcessActivity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString, isAlarm:UInt8(Boolean), fireBadgeChanged:UInt8(Boolean)",CallGraph-d1
?Stop@BadgeNotificationProcessActivity@LockScreenDataTelemetry@@QEAAX_N0@Z,0x180003e37,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},BadgeNotificationProcessActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, isAlarm:UInt8(Boolean), fireBadgeChanged:UInt8(Boolean)",CallGraph-d1
?Stop@BadgeNotificationProcessActivity@LockScreenDataTelemetry@@QEAAX_N0@Z,0x180003e70,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},BadgeNotificationProcessActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, isAlarm:UInt8(Boolean), fireBadgeChanged:UInt8(Boolean)",CallGraph-d1
?StopActivity@BadgeNotificationProcessActivity@LockScreenDataTelemetry@@MEAAXXZ,0x18003cf39,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},BadgeNotificationProcessActivity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@BadgeNotificationProcessActivity@LockScreenDataTelemetry@@MEAAXXZ,0x18003d0be,Microsoft.Windows.Shell.LockScreenData,{3D14CA27-6EB2-4789-9B52-33EC88ECF5B0},BadgeNotificationProcessActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
