Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?Initialize@CGuestXvmAudioObject@@IEAAJIAEAVWeakRef@WRL@Microsoft@@PEAUXvmActivateProxyAudioObject@@@Z,0x180056589,Microsoft.Windows.Audio.CrossVmApi,{1C422688-6E75-5D05-80B0-757366B0A5DE},GuestXvmObjectInitialize,4,0x0,"xvmId:UInt32, guestObject:HexInt64",CallGraph-d2
??$SendAndValidateResponse@UXvmActivateProxyAudioObject@@@CGuestXvmAudioObject@@QEAAJIUXvmActivateProxyAudioObject@@PEAPEAUXvmMessage@@PEAPEAU1@@Z,0x180054297,Microsoft.Windows.Audio.CrossVmApi,{1C422688-6E75-5D05-80B0-757366B0A5DE},XvmActivateCall,4,0x0,"ObjectType:Int32, ParentXvmId:Int32, CreateOptions:Int32, ParentObjectId:Int32, parentObject:HexInt64, duration:Float, HResult:Int32(HResult)",CallGraph-d2
??$SendAndValidateResponse@UXvmMMDE_BulkGetDefaultDevices@@@CGuestXvmAudioObject@@QEAAJIUXvmMMDE_BulkGetDefaultDevices@@PEAPEAUXvmMessage@@PEAPEAU1@@Z,0x180057e80,Microsoft.Windows.Audio.CrossVmApi,{1C422688-6E75-5D05-80B0-757366B0A5DE},XvmActivateCall,4,0x0,"ObjectType:Int32, ParentXvmId:Int32, CreateOptions:Int32, ParentObjectId:Int32, parentObject:HexInt64, duration:Float, HResult:Int32(HResult)",CallGraph-d2
??$SendAndValidateResponse@UXvmMMDE_BulkGetDevicesIdAndState@@@CGuestXvmAudioObject@@QEAAJIUXvmMMDE_BulkGetDevicesIdAndState@@PEAPEAUXvmMessage@@PEAPEAU1@@Z,0x180058238,Microsoft.Windows.Audio.CrossVmApi,{1C422688-6E75-5D05-80B0-757366B0A5DE},XvmActivateCall,4,0x0,"ObjectType:Int32, ParentXvmId:Int32, CreateOptions:Int32, ParentObjectId:Int32, parentObject:HexInt64, duration:Float, HResult:Int32(HResult)",CallGraph-d2
??$SendAndValidateResponse@UXvmMMDE_RegisterInternalEndpointNotificationCallback@@@CGuestXvmAudioObject@@QEAAJIUXvmMMDE_RegisterInternalEndpointNotificationCallback@@PEAPEAUXvmMessage@@PEAPEAU1@@Z,0x180058587,Microsoft.Windows.Audio.CrossVmApi,{1C422688-6E75-5D05-80B0-757366B0A5DE},XvmActivateCall,4,0x0,"ObjectType:Int32, ParentXvmId:Int32, CreateOptions:Int32, ParentObjectId:Int32, parentObject:HexInt64, duration:Float, HResult:Int32(HResult)",CallGraph-d2
??$SendAndValidateResponse@UXvmMMDE_UnregisterInternalEndpointNotificationCallback@@@CGuestXvmAudioObject@@QEAAJIUXvmMMDE_UnregisterInternalEndpointNotificationCallback@@PEAPEAUXvmMessage@@PEAPEAU1@@Z,0x1800588d7,Microsoft.Windows.Audio.CrossVmApi,{1C422688-6E75-5D05-80B0-757366B0A5DE},XvmActivateCall,4,0x0,"ObjectType:Int32, ParentXvmId:Int32, CreateOptions:Int32, ParentObjectId:Int32, parentObject:HexInt64, duration:Float, HResult:Int32(HResult)",CallGraph-d2
??$SendAndValidateResponse@UXvmMMD_GetIsDefault@@@CGuestXvmAudioObject@@QEAAJIUXvmMMD_GetIsDefault@@PEAPEAUXvmMessage@@PEAPEAU1@@Z,0x1800545e8,Microsoft.Windows.Audio.CrossVmApi,{1C422688-6E75-5D05-80B0-757366B0A5DE},XvmActivateCall,4,0x0,"ObjectType:Int32, ParentXvmId:Int32, CreateOptions:Int32, ParentObjectId:Int32, parentObject:HexInt64, duration:Float, HResult:Int32(HResult)",CallGraph-d2
??$SendAndValidateResponse@UXvmMMD_GetState@@@CGuestXvmAudioObject@@QEAAJIUXvmMMD_GetState@@PEAPEAUXvmMessage@@PEAPEAU1@@Z,0x180054937,Microsoft.Windows.Audio.CrossVmApi,{1C422688-6E75-5D05-80B0-757366B0A5DE},XvmActivateCall,4,0x0,"ObjectType:Int32, ParentXvmId:Int32, CreateOptions:Int32, ParentObjectId:Int32, parentObject:HexInt64, duration:Float, HResult:Int32(HResult)",CallGraph-d2
??$SendAndValidateResponse@UXvmMMD_IsHardwareAudioEngineEnabled@@@CGuestXvmAudioObject@@QEAAJIUXvmMMD_IsHardwareAudioEngineEnabled@@PEAPEAUXvmMessage@@PEAPEAU1@@Z,0x180054c87,Microsoft.Windows.Audio.CrossVmApi,{1C422688-6E75-5D05-80B0-757366B0A5DE},XvmActivateCall,4,0x0,"ObjectType:Int32, ParentXvmId:Int32, CreateOptions:Int32, ParentObjectId:Int32, parentObject:HexInt64, duration:Float, HResult:Int32(HResult)",CallGraph-d2
??$SendAndValidateResponse@UXvmPS_GetAt@@@CGuestXvmAudioObject@@QEAAJIUXvmPS_GetAt@@PEAPEAUXvmMessage@@PEAPEAU1@@Z,0x18005d67d,Microsoft.Windows.Audio.CrossVmApi,{1C422688-6E75-5D05-80B0-757366B0A5DE},XvmActivateCall,4,0x0,"ObjectType:Int32, ParentXvmId:Int32, CreateOptions:Int32, ParentObjectId:Int32, parentObject:HexInt64, duration:Float, HResult:Int32(HResult)",CallGraph-d2
