Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VManageCIProvider@Telemetry@Management@CodeIntegrity@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180010c85,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?NotifyFailure@?$ActivityBase@VManageCIProvider@Telemetry@Management@CodeIntegrity@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180010dcd,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?Stop@?$ActivityBase@VManageCIProvider@Telemetry@Management@CodeIntegrity@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1800114c5,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18000ce67,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},ActivityStoppedAutomatically,5,0x400000000000,(none),SingleProvider
?InstrumentRemoveCIPolicy@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXAEBVSiPolicyView@45@@Z,0x18001037e,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},BeginRemoveCIPolicy,5,0x400000000000,"PartA_PrivTags:UInt64, PolicyID:GUID, BasePolicyID:GUID, FriendlyName:UnicodeString, PolicyVersion:UInt64, IsDeployed:UInt8(Boolean), IsAuthorized:UInt8(Boolean), IsActive:UInt8(Boolean), IsSystemPolicy:UInt8(Boolean), IsBasePolicy:UInt8(Boolean), IsSignedPolicy:UInt8(Boolean), HRESULT:Int32(HResult)",SingleProvider
?InstrumentRemoveCIPolicy@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXJ@Z,0x180010464,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},BeginRemoveCIPolicy,5,0x400000000000,"PartA_PrivTags:UInt64, HRESULT:Int32(HResult)",SingleProvider
?InstrumentRemoveSBCPToken@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXAEBVAuthorizationToken@45@@Z,0x180010795,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},BeginRemoveSBCPToken,5,0x400000000000,"PartA_PrivTags:UInt64, TokenID:UnicodeString, ConfigurationSource:UnicodeString, TokenType:UInt8, SHA256TBSHashes:UInt8[](Hex), SHA384TBSHashes:UInt8[](Hex), SHA512TBSHashes:UInt8[](Hex), HRESULT:Int32(HResult)",SingleProvider
?InstrumentRemoveSBCPToken@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXJ@Z,0x180010824,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},BeginRemoveSBCPToken,5,0x400000000000,"PartA_PrivTags:UInt64, HRESULT:Int32(HResult)",SingleProvider
?InstrumentAddCIPolicy@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXAEBVSiPolicyView@45@@Z,0x18000fbee,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},BeginUpsertCIPolicy,5,0x400000000000,"PartA_PrivTags:UInt64, PolicyID:GUID, BasePolicyID:GUID, FriendlyName:UnicodeString, PolicyVersion:UInt64, IsDeployed:UInt8(Boolean), IsAuthorized:UInt8(Boolean), IsActive:UInt8(Boolean), IsSystemPolicy:UInt8(Boolean), IsBasePolicy:UInt8(Boolean), IsSignedPolicy:UInt8(Boolean), HRESULT:Int32(HResult)",SingleProvider
?InstrumentAddCIPolicy@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXJ@Z,0x18000fcd4,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},BeginUpsertCIPolicy,5,0x400000000000,"PartA_PrivTags:UInt64, HRESULT:Int32(HResult)",SingleProvider
?InstrumentAddSBCPToken@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXAEBVAuthorizationToken@45@@Z,0x180010005,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},BeginUpsertSBCPToken,5,0x400000000000,"PartA_PrivTags:UInt64, TokenID:UnicodeString, ConfigurationSource:UnicodeString, TokenType:UInt8, SHA256TBSHashes:UInt8[](Hex), SHA384TBSHashes:UInt8[](Hex), SHA512TBSHashes:UInt8[](Hex), HRESULT:Int32(HResult)",SingleProvider
?InstrumentCommitCiPolicy@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXAEBVSiPolicyView@45@@Z,0x1800100a8,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},CommitCiPolicy,5,0x400000000000,"PartA_PrivTags:UInt64, PolicyID:GUID, BasePolicyID:GUID, FriendlyName:UnicodeString, PolicyVersion:UInt64",SingleProvider
?InstrumentCommitFailure@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXJPEBV?$set@V?$AuthorizationTokenTransaction@UUpsertTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@U?$less@X@std@@V?$allocator@V?$AuthorizationTokenTransaction@UUpsertTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@@5@@std@@PEBV?$set@V?$AuthorizationTokenTransaction@UDeleteTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@U?$less@X@std@@V?$allocator@V?$AuthorizationTokenTransaction@UDeleteTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@@5@@7@PEBV?$set@V?$SiPolicyTransaction@UUpsertTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@U?$less@X@std@@V?$allocator@V?$SiPolicyTransaction@UUpsertTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@@5@@7@PEBV?$set@V?$SiPolicyTransaction@UDeleteTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@U?$less@X@std@@V?$allocator@V?$SiPolicyTransaction@UDeleteTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@@5@@7@@Z,0x1800101d4,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},CommitFailure,5,0x400000000000,"PartA_PrivTags:UInt64, NumInsertsSbcp:UInt64, NumDeletesSbcp:UInt64, NumInsertsCiPolicy:UInt64, NumDeletesCiPolicy:UInt64, HRESULT:Int32(HResult)",SingleProvider
?InstrumentCommitSbcpToken@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXAEBVAuthorizationToken@45@@Z,0x18001028d,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},CommitSbcpToken,5,0x400000000000,"PartA_PrivTags:UInt64, TokenID:UnicodeString, ConfigurationSource:UnicodeString",SingleProvider
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000713d,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180007306,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?StartActivity@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXXZ,0x18001138a,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},ManageCITransaction,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
?StopActivity@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@MEAAXXZ,0x180011592,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},ManageCITransaction,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?StopActivity@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@MEAAXXZ,0x1800116f7,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},ManageCITransaction,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
?InstrumentRollbackCiPolicy@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXAEBVSiPolicyView@45@@Z,0x1800108b4,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},RollbackCiPolicy,5,0x400000000000,"PartA_PrivTags:UInt64, PolicyID:GUID, BasePolicyID:GUID, FriendlyName:UnicodeString, PolicyVersion:UInt64",SingleProvider
?InstrumentRollbackFailure@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXJPEBV?$set@V?$AuthorizationTokenTransaction@UUpsertTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@U?$less@X@std@@V?$allocator@V?$AuthorizationTokenTransaction@UUpsertTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@@5@@std@@PEBV?$set@V?$AuthorizationTokenTransaction@UDeleteTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@U?$less@X@std@@V?$allocator@V?$AuthorizationTokenTransaction@UDeleteTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@@5@@7@PEBV?$set@V?$SiPolicyTransaction@UUpsertTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@U?$less@X@std@@V?$allocator@V?$SiPolicyTransaction@UUpsertTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@@5@@7@PEBV?$set@V?$SiPolicyTransaction@UDeleteTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@U?$less@X@std@@V?$allocator@V?$SiPolicyTransaction@UDeleteTag@detail@Management@CodeIntegrity@@@Management@CodeIntegrity@@@5@@7@@Z,0x1800109e0,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},RollbackFailure,5,0x400000000000,"PartA_PrivTags:UInt64, NumInsertsSbcp:UInt64, NumDeletesSbcp:UInt64, NumInsertsCiPolicy:UInt64, NumDeletesCiPolicy:UInt64, HRESULT:Int32(HResult)",SingleProvider
?InstrumentRollbackSbcpToken@ManageCITransaction@ManageCIProvider@Telemetry@Management@CodeIntegrity@@QEAAXAEBVAuthorizationToken@45@@Z,0x180010a99,Microsoft.Windows.Security.CodeIntegrity.Management,{0004884B-60D6-5027-F2CE-3F61AB6777BF},RollbackSbcpToken,5,0x400000000000,"PartA_PrivTags:UInt64, TokenID:UnicodeString, ConfigurationSource:UnicodeString",SingleProvider
