Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?counterJSHook@tracing@react@facebook@@YAX_KAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@H@Z,0x1800870a2,Microsoft.ReactNativeWindows,{910FB9A1-75DD-4CF4-BEEC-DA21341F20C8},SystraceCounter,5,0x0,"profile_name:AnsiString, tag:UInt64, value:Int64",SingleProvider
?asyncFlowBeginJSHook@tracing@react@facebook@@YAX_KAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@H@Z,0x180086d52,Microsoft.ReactNativeWindows,{910FB9A1-75DD-4CF4-BEEC-DA21341F20C8},SystraceJSAsyncFlow,5,0x0,"op:AnsiString, profile_name:AnsiString, tag:UInt64, cookie:Int64",SingleProvider
?asyncFlowEndJSHook@tracing@react@facebook@@YAX_KAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@H@Z,0x180086dc6,Microsoft.ReactNativeWindows,{910FB9A1-75DD-4CF4-BEEC-DA21341F20C8},SystraceJSAsyncFlow,5,0x0,"op:AnsiString, profile_name:AnsiString, tag:UInt64, cookie:Int64",SingleProvider
?asyncSectionBeginJSHook@tracing@react@facebook@@YAX_KAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@H@Z,0x180086e3a,Microsoft.ReactNativeWindows,{910FB9A1-75DD-4CF4-BEEC-DA21341F20C8},SystraceJSAsyncSection,5,0x0,"op:AnsiString, profile_name:AnsiString, tag:UInt64, cookie:Int64",SingleProvider
?asyncSectionEndJSHook@tracing@react@facebook@@YAX_KAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@H@Z,0x180086eae,Microsoft.ReactNativeWindows,{910FB9A1-75DD-4CF4-BEEC-DA21341F20C8},SystraceJSAsyncSection,5,0x0,"op:AnsiString, profile_name:AnsiString, tag:UInt64, cookie:Int64",SingleProvider
?syncSectionBeginJSHook@tracing@react@facebook@@YAX_KAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@1@Z,0x180087ad2,Microsoft.ReactNativeWindows,{910FB9A1-75DD-4CF4-BEEC-DA21341F20C8},SystraceJSSection,5,0x0,"op:AnsiString, tag:UInt64, profile_name:AnsiString, arg:AnsiString",SingleProvider
?syncSectionEndJSHook@tracing@react@facebook@@YAX_K@Z,0x180087b59,Microsoft.ReactNativeWindows,{910FB9A1-75DD-4CF4-BEEC-DA21341F20C8},SystraceJSSection,5,0x0,"op:AnsiString, tag:UInt64",SingleProvider
?begin@FbSystraceAsyncFlow@fbsystrace@@SAX_KPEBDH@Z,0x180086fd6,Microsoft.ReactNativeWindows,{910FB9A1-75DD-4CF4-BEEC-DA21341F20C8},SystraceNativeAsyncFlow,5,0x0,"op:AnsiString, profile_name:AnsiString, tag:UInt64, cookie:Int64",SingleProvider
?end@FbSystraceAsyncFlow@fbsystrace@@SAX_KPEBDH@Z,0x180087280,Microsoft.ReactNativeWindows,{910FB9A1-75DD-4CF4-BEEC-DA21341F20C8},SystraceNativeAsyncFlow,5,0x0,"op:AnsiString, profile_name:AnsiString, tag:UInt64, cookie:Int64",SingleProvider
?trace_begin_section@tracing@react@facebook@@YAX_K0AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@$$QEAV?$array@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@$07@5@E@Z,0x180087c90,Microsoft.ReactNativeWindows,{910FB9A1-75DD-4CF4-BEEC-DA21341F20C8},SystraceNativeSection,5,0x0,"op:AnsiString, profile_name:AnsiString, tag:UInt64, arg0:AnsiString, arg1:AnsiString, arg2:AnsiString, arg3:AnsiString, arg4:AnsiString, arg5:AnsiString, arg6:AnsiString, arg7:AnsiString",SingleProvider
?trace_end_section@tracing@react@facebook@@YAX_K0AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@N@Z,0x180087d40,Microsoft.ReactNativeWindows,{910FB9A1-75DD-4CF4-BEEC-DA21341F20C8},SystraceNativeSection,5,0x0,"op:AnsiString, profile_name:AnsiString, tag:UInt64, duration:Double",SingleProvider
?error@tracing@react@facebook@@YAXPEBD@Z,0x180087317,Microsoft.ReactNativeWindows,{910FB9A1-75DD-4CF4-BEEC-DA21341F20C8},Trace,2,0x0,message:AnsiString,SingleProvider
?log@tracing@react@facebook@@YAXPEBD@Z,0x1800879e5,Microsoft.ReactNativeWindows,{910FB9A1-75DD-4CF4-BEEC-DA21341F20C8},Trace,4,0x0,message:AnsiString,SingleProvider
