Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x1800c1d2a,Microsoft.Windows.AppMan.UEV,{E4DDA0AF-D7B4-5D40-4174-4D0BE05AE338},ActivityStoppedAutomatically,5,0x400000000000,(none),GlobalFallback
?ExitProcess_Detour@DllMainContext@Uev@@CAXI@Z,0x1800308ef,Microsoft.Windows.AppMan.UEV,{E4DDA0AF-D7B4-5D40-4174-4D0BE05AE338},ApplicationExitSync,5,0x400000000000,"UTCReplace_AppSessionGuid:Bool32, HRESULT:Int32(HResult)",Direct-Preceding
?TerminateProcess_Detour@DllMainContext@Uev@@CAHPEAXI@Z,0x180035b26,Microsoft.Windows.AppMan.UEV,{E4DDA0AF-D7B4-5D40-4174-4D0BE05AE338},ApplicationExitSync,5,0x400000000000,"UTCReplace_AppSessionGuid:Bool32, HRESULT:Int32(HResult)",Direct-Preceding
?ExeMainDetour@DllMainContext@Uev@@CAHXZ,0x1800302aa,Microsoft.Windows.AppMan.UEV,{E4DDA0AF-D7B4-5D40-4174-4D0BE05AE338},ApplicationLaunchSync,5,0x400000000000,"UTCReplace_AppSessionGuid:Bool32, HRESULT:Int32(HResult)",Direct-Preceding
?Write@LogImpl@Uev@@QEBAXW4UEV_LOG_LEVEL@2@AEBV?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@PEB_W@Z,0x18003dfaf,Microsoft.Windows.AppMan.UEV,{E4DDA0AF-D7B4-5D40-4174-4D0BE05AE338},DebugMessage,5,0x200000000000,"LOGLEVEL:UInt32, MESSAGE:UnicodeString, UTCReplace_AppSessionGuid:Bool32",Direct-Preceding
?WorkRoutine@ExportSettingsWork@Uev@@UEAAJV?$shared_ptr@VITemplate@Uev@@@std@@V?$shared_ptr@VIChangeManager@Uev@@@4@AEAVWorkToDoEvent@2@@Z,0x180129431,Microsoft.Windows.AppMan.UEV,{E4DDA0AF-D7B4-5D40-4174-4D0BE05AE338},ExportSettingsFailedUEVException,5,0x400000000000,"UTCReplace_AppSessionGuid:Bool32, ExceptionString:UnicodeString",Direct-Preceding
?WorkRoutine@ExportSettingsWork@Uev@@UEAAJV?$shared_ptr@VITemplate@Uev@@@std@@V?$shared_ptr@VIChangeManager@Uev@@@4@AEAVWorkToDoEvent@2@@Z,0x1801296a8,Microsoft.Windows.AppMan.UEV,{E4DDA0AF-D7B4-5D40-4174-4D0BE05AE338},ExportSettingsFailedUnknownException,5,0x400000000000,"UTCReplace_AppSessionGuid:Bool32, ExceptionString:UnicodeString",Direct-Preceding
?WorkRoutine@ImportSettingsWork@Uev@@UEAAJV?$shared_ptr@VITemplate@Uev@@@std@@V?$shared_ptr@VIChangeManager@Uev@@@4@AEAVWorkToDoEvent@2@@Z,0x180127c94,Microsoft.Windows.AppMan.UEV,{E4DDA0AF-D7B4-5D40-4174-4D0BE05AE338},ImportSettingsFailedUEVException,5,0x400000000000,"UTCReplace_AppSessionGuid:Bool32, ExceptionString:UnicodeString",Direct-Preceding
?ProcessNotificationShellWindowMessage@DllMainContext@Uev@@AEAA_JPEAUHWND__@@I_K_J@Z,0x180034ad6,Microsoft.Windows.AppMan.UEV,{E4DDA0AF-D7B4-5D40-4174-4D0BE05AE338},LockSync,5,0x400000000000,"UTCReplace_AppSessionGuid:Bool32, Operation:Int32, HRESULT:Int32(HResult)",Direct-Preceding
?ExportSettingsAtShellLogoff@DllMainContext@Uev@@CAXXZ,0x180031018,Microsoft.Windows.AppMan.UEV,{E4DDA0AF-D7B4-5D40-4174-4D0BE05AE338},LogoffSync,5,0x400000000000,"UTCReplace_AppSessionGuid:Bool32, HRESULT:Int32(HResult)",Direct-Preceding
