Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$ApiInfoCreateDependencyWithFileArtifactEnd@PEB_WPEB_WAEAPEA_W@TraceLogger@@SAX$$QEAPEB_W0AEAPEA_W@Z,0x18000a132,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},ApiInfoCreateDependencyWithFileArtifactEnd,5,0x0,"packageFamilyName:UnicodeString, fileArtifact:UnicodeString, packageDependencyId:UnicodeString",CallGraph-d1
??$ApiInfoCreateDependencyWithFileArtifactEnd@PEB_WPEB_WAEAPEA_W@TraceLogger@@SAX$$QEAPEB_W0AEAPEA_W@Z,0x18000a177,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},ApiInfoCreateDependencyWithFileArtifactEnd,5,0x0,"packageFamilyName:UnicodeString, fileArtifact:UnicodeString, packageDependencyId:UnicodeString",CallGraph-d1
?CreateAndAddDependencyWithFileArtifact@ApiInfo@implementation@Workloads@Windows@Microsoft@winrt@@AEAA?AV?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@AEBV78@UPackageVersion@ApplicationModel@46@0@Z,0x180008a20,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},ApiInfoCreateDependencyWithFileArtifactStart,5,0x0,"packageFamilyName:UnicodeString, fileArtifact:UnicodeString",CallGraph-d1
?DetectNpu@WorkloadManager@implementation@Workloads@Windows@Microsoft@winrt@@AEAAXXZ,0x180021ea5,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},NpuTypeDetected,5,0x0,npuType:Int32,CallGraph-d1
?DetectNpu@WorkloadManager@implementation@Workloads@Windows@Microsoft@winrt@@AEAAXXZ,0x180021ec8,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},NpuTypeDetected,5,0x0,npuType:Int32,CallGraph-d1
?DetectNpu@WorkloadManager@implementation@Workloads@Windows@Microsoft@winrt@@AEAAXXZ,0x1800220f5,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},UnknownNpu,5,0x0,"family:AnsiString, npuId:AnsiString",CallGraph-d1
?DetectNpu@WorkloadManager@implementation@Workloads@Windows@Microsoft@winrt@@AEAAXXZ,0x180022118,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},UnknownNpu,5,0x0,"family:AnsiString, npuId:AnsiString",CallGraph-d1
?BrokerMakeAvailableOperation@implementation@Workloads@Windows@Microsoft@winrt@@YAXPEAU_TP_CALLBACK_INSTANCE@@PEAXPEAU_TP_WORK@@@Z,0x180022c88,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerBrokerMakeAvailableEnd,5,0x0,"resourceDllPath:UnicodeString, apiSet:UnicodeString",CallGraph-d1
?BrokerMakeAvailableOperation@implementation@Workloads@Windows@Microsoft@winrt@@YAXPEAU_TP_CALLBACK_INSTANCE@@PEAXPEAU_TP_WORK@@@Z,0x180022b1f,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerBrokerMakeAvailableStart,5,0x0,"resourceDllPath:UnicodeString, apiSet:UnicodeString",CallGraph-d1
winrt::Microsoft::Windows::Workloads::implementation::WorkloadManager::DeploySinglePackageAsync$_ResumeCoro$1,0x18003a114,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerDeploySinglePackageEnd,5,0x0,apiSet:UnicodeString,CallGraph-d1
winrt::Microsoft::Windows::Workloads::implementation::WorkloadManager::DeploySinglePackageAsync$_ResumeCoro$1,0x180039ae8,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerDeploySinglePackageStart,5,0x0,apiSet:UnicodeString,CallGraph-d1
?FindApiInfo@WorkloadManager@implementation@Workloads@Windows@Microsoft@winrt@@QEAA?AUApiInfo@3456@AEBUhstring@6@@Z,0x18001d970,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerFindApiInfoEnd,5,0x0,apiClass:UnicodeString,CallGraph-d1
?FindApiInfo@WorkloadManager@implementation@Workloads@Windows@Microsoft@winrt@@QEAA?AUApiInfo@3456@AEBUhstring@6@@Z,0x18001d81c,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerFindApiInfoStart,5,0x0,apiClass:UnicodeString,CallGraph-d1
?FindWorkload@?$produce@UWorkloadManager@implementation@Workloads@Windows@Microsoft@winrt@@UIWorkloadManager6@3456@@impl@winrt@@UEAAHPEAXPEAPEAX@Z,0x1800259f7,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerFindWorkloadEnd,5,0x0,workloadId:UnicodeString,CallGraph-d1
?FindWorkload@?$produce@UWorkloadManager@implementation@Workloads@Windows@Microsoft@winrt@@UIWorkloadManager6@3456@@impl@winrt@@UEAAHPEAXPEAPEAX@Z,0x18002594d,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerFindWorkloadStart,5,0x0,workloadId:UnicodeString,CallGraph-d1
