Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?run@client@http@com@@YAJPEBU_GUID@@@Z,0x14006e42b,Microsoft.Defender.ComHttp_TLG_Provider,{456D323C-31F9-5853-290F-E63B662DEF26},ClientConfig,4,0x1,(none),Direct-Preceding
_lambda_75ebbe2a5149fa57b90d73b4ca9195c2_::operator(),0x14006ee10,Microsoft.Defender.ComHttp_TLG_Provider,{456D323C-31F9-5853-290F-E63B662DEF26},ClientConfigFailed,2,0x1,HRESULT:Int32(HResult),Direct-Preceding
?run@client@http@com@@YAJPEBU_GUID@@@Z,0x14006e566,Microsoft.Defender.ComHttp_TLG_Provider,{456D323C-31F9-5853-290F-E63B662DEF26},ClientConfigInfo,4,0x1,"MsRootCheck:UInt8(Boolean), CustomRootCheck:UInt8(Boolean), TrustedOrgs:UInt32, CertHashes:UInt32",Direct-Preceding
_lambda_75ebbe2a5149fa57b90d73b4ca9195c2_::operator(),0x14006ee60,Microsoft.Defender.ComHttp_TLG_Provider,{456D323C-31F9-5853-290F-E63B662DEF26},ClientConfigSuccess,4,0x1,(none),Direct-Preceding
_lambda_3e079bf40fa09c522011e0ccffb7ca47_::operator(),0x14006ed66,Microsoft.Defender.ComHttp_TLG_Provider,{456D323C-31F9-5853-290F-E63B662DEF26},ClientExit,2,0x1,HRESULT:Int32(HResult),Direct-Preceding
?run@client@http@com@@YAJPEBU_GUID@@@Z,0x14006e7bc,Microsoft.Defender.ComHttp_TLG_Provider,{456D323C-31F9-5853-290F-E63B662DEF26},ClientProxyInfo,4,0x1,"AccessType:UInt32, Proxy:AnsiString, ProxyBypass:AnsiString, ProxySetOk:UInt8(Boolean)",Direct-Preceding
_anonymous_namespace_::HttpResponseCallback::OnHttpResponse,0x14006dd36,Microsoft.Defender.ComHttp_TLG_Provider,{456D323C-31F9-5853-290F-E63B662DEF26},ClientRequestComplete,5,0x1,"Id:AnsiString, Result:UInt32, HttpStatus:UInt32, BodyLength:UInt32",Direct-Preceding
_anonymous_namespace_::HttpResponseCallback::OnHttpResponse,0x14006de04,Microsoft.Defender.ComHttp_TLG_Provider,{456D323C-31F9-5853-290F-E63B662DEF26},ClientRequestCompleteFailed,2,0x1,"Id:AnsiString, Result:UInt32, HttpStatus:UInt32, BodyLength:UInt32, HRESULT:Int32(HResult)",Direct-Preceding
?run@client@http@com@@YAJPEBU_GUID@@@Z,0x14006e39e,Microsoft.Defender.ComHttp_TLG_Provider,{456D323C-31F9-5853-290F-E63B662DEF26},ClientRequestReadyEventOk,4,0x1,(none),Direct-Preceding
?run@client@http@com@@YAJPEBU_GUID@@@Z,0x14006e96e,Microsoft.Defender.ComHttp_TLG_Provider,{456D323C-31F9-5853-290F-E63B662DEF26},ClientRequestReceived,5,0x1,"Id:AnsiString, Url:AnsiString, Method:AnsiString, BodyLength:UInt32, Priority:UInt32",Direct-Preceding
